id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4506005504062795,J2weih2UX,5689292200,陈之南,#05后的文风#看看00后的“情书”1他们告诉我女孩的心是水做的也难怪我的爱，是横波啊。2你离开的那一天如自西向东越过180°只剩昨日，没有明天。3我看过加那利寒流与日本暖流的相遇看过撒哈拉沙漠的暴雨看过反气旋上的锋面没看过你。4我很想你但我无法见到你你深呼吸能否闻到我的气息？我知道你，有很多话和我说，可惜，我没空找你！,,,,05后的文风,0,0,0,2020-05-18 18:48,,,,
4506005499465101,J2wehDIiV,5657080043,笔沾黑墨,#05后的文风#放过我们吧，都快高一了，真不这么发朋友圈,,,,05后的文风,0,0,0,2020-05-18 18:48,华为手机 畅享玩不停,,,
4506005495264183,J2wehm5sb,5908963021,半了一半,#05后的文风#年轻人有他们自己的想法吧，年轻真好。,,,,05后的文风,0,0,0,2020-05-18 18:48,OPPO R15x,['http://ww1.sinaimg.cn/large/006rTpdbly1gewsp0fxygj306n0660t3.jpg'],,
4506005460839344,J2wee3wlO,5387859015,赵Allen霆·草莓,#05后的文风#温馨提示一下，05的今年15了我们聊天哪来的那么多奇奇怪怪的玩意，就是正常的聊天好吗？🙃对我们的误解不要太大了,,,,05后的文风,0,0,0,2020-05-18 18:48,追星女孩Android,,,
4506005453655794,J2wedfl2q,6551393129,羊妈在线护崽,#05后的文风#爷……就……是……05……后……啊……爷……没……这么……傻……逼……啊,,,,05后的文风,0,0,0,2020-05-18 18:48,笨蛋越酱Android,,,
4506005386384185,J2we6qMOJ,6229057051,起不了什么好名字了,#05后的文风#我们到底给0809年的小朋友背了多少锅,,,,05后的文风,0,0,0,2020-05-18 18:47,华为手机 畅享玩不停,,,
4506005289957015,J2wdWFMh1,6140049209,夏曦曦Selina,#05后的文风#咱都要中考了都被一模整得头疼了哪有那闲工夫打省略号？？？别老cue05蟹蟹,,,,05后的文风,0,0,0,2020-05-18 18:47,OPPO随光而变R17,,,
4506005206132967,J2wdOpJsP,5222969812,贵阳师兄,#05后的文风#05后的文风我不知道你们见过这种字母缩写吗字母缩写属实让人头疼,,,,05后的文风,6,9,10,2020-05-18 18:47,,"['http://ww3.sinaimg.cn/large/005Ht32Agy1gewsnc0krgj30880880ss.jpg', 'http://ww1.sinaimg.cn/large/005Ht32Agy1gewsncmi9uj3088088t8v.jpg', 'http://ww4.sinaimg.cn/large/005Ht32Agy1gewsnd1d94j3088088glo.jpg', 'http://ww1.sinaimg.cn/large/005Ht32Agy1gewsndk7nyj3088088mxa.jpg', 'http://ww1.sinaimg.cn/large/005Ht32Agy1gewsne62bnj3088088t8s.jpg', 'http://ww3.sinaimg.cn/large/005Ht32Agy1gewsnet0tmj30880883yp.jpg', 'http://ww1.sinaimg.cn/large/005Ht32Agy1gewsnf7e2kj302s02twea.jpg', 'http://ww3.sinaimg.cn/large/005Ht32Agy1gewsng67g4j3088088aa8.jpg', 'http://ww1.sinaimg.cn/large/005Ht32Agy1gewsngos50j30ga0glgma.jpg']",,
4506005071848864,J2wdB7KYo,6731429355,啾咪小杏酱,#05后的文风#我觉得各位是不是对05后的文风有什么误解啊……你们看见的所谓“中二”大多数是装出来用来开玩笑的……举个例子，几个05后去黑一点的地方，比如说楼道里，一个人说我是古娜拉黑暗之神，乌漆嘛黑看不见，几个人哈哈一笑就过去了，类似于“玩梗”或者就是。不知情的人认为这几个人中二，或者直接认为是傻子，所以有人说偶尔中二一下还是挺好的，就是这个意思。至于叛逆，你们看见的也不是真正的叛逆，是家长惯得。05后大多数人还是正常人，只不过年纪小而已，大家多给他们一点时间吧不要嘲笑他们，谁没有这个时候呢。,,,,05后的文风,0,1,3,2020-05-18 18:47,,,,
4506004920295800,J2wdm1eWY,5888719983,玙Yuki鱼,#05后的文风#00后过时了吗现在开始05后了,,,,05后的文风,0,0,0,2020-05-18 18:46,vivo AI智慧拍照X21,,,
4506004853738906,J2wdffGEW,6303201351,来人那我刀呢,#05后的文风#我就庆幸我弟没有社交账号吧,,,,05后的文风,0,0,0,2020-05-18 18:46,iPhone客户端,,,
4506004811483419,J2wdb6dU7,5483477853,雅以为美De玺欢,#05后的文风#给你们看一下05后的手机屏幕我,,,,05后的文风,0,1,0,2020-05-18 18:46,OPPO R9s,['http://ww3.sinaimg.cn/large/005Z675bly1gewslzzw6fj32o03k0kjn.jpg'],,
4506004690483509,J2wcZ21Mx,3131556315,星辰雅娜,#05后的文风#“05后，10后，20后”？这个投票20后是认真的吗？还是给我们没有选项的人面子？,,,,05后的文风,0,0,0,2020-05-18 18:45,OPPO超视野全面屏R15,,,
4506004676503596,J2wcXrhSI,5966972560,张啊怡啊你,#05后的文风#这种毫无意义的讨论让我觉得很无语只想网络实名制强烈呼吁网络环境急需净化,,,,05后的文风,0,0,1,2020-05-18 18:45,OPPO R15 梦镜版,,,
4506004618147908,J2wcRybDS,5579072783,是秦霄贤的小可爱鸭,#05后的文风#05的小朋友都中考了，能不能别捎带,,,,05后的文风,0,0,0,2020-05-18 18:45,华为手机,,,
