id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4506007625271114,J2whIm7fY,3094452711,泉州网警巡查执法,#净网2020#【什么朋友圈？#26岁女生靠朋友圈人设诈骗1400多万#】一个26岁的女生，在朋友圈打造“完美”人设，借助群众演员、假截图、假视频，2年内向身边的朋友、同学借款1400多万元，被抓时卡里仅剩4万余元……近期，浙江杭州公安破获一起集资诈骗案件，被害人40余名。L新京报我们视频的秒拍视频,,,,"净网2020,26岁女生靠朋友圈人设诈骗1400多万",0,0,1,2020-05-18 18:56,微博 weibo.com,,"http://miaopai.video.weibocdn.com/jTyrSAmwlx07DmuJr3jW010412006Ubl0E013.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1589803022&ssig=IfWNliIUOp&KID=unistore,video",
4506007482464243,J2whual3R,6294123962,你的眼里尽是星河,#26岁女生涉嫌集资诈骗1400万#这能力真是用错了地方,,,,26岁女生涉嫌集资诈骗1400万,0,0,0,2020-05-18 18:56,ToBe程序员Android,,,
4506007458415144,J2whrzja8,5509810414,谢坤看见,【#26岁女生涉嫌集资诈骗1400万#请群众演员假装买房骗取信任】26岁的卢某，在浙江临安开了一家房产中介公司。她多次以垫资和银行验资为由，向朋友高息借钱，累计到了1400多万。为骗取出借人的信任，卢某请群众演员来拍摄所谓房产交易的流程，甚至伪造个人银行流水存款约2000万元。近日，卢某因涉嫌集资诈骗罪，已被检察院批准逮捕。L新京报我们视频的秒拍视频,,,,26岁女生涉嫌集资诈骗1400万,0,0,0,2020-05-18 18:56,封面观察超话,,"http://miaopai.video.weibocdn.com/jTyrSAmwlx07DmuJr3jW010412006Ubl0E013.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1589803022&ssig=IfWNliIUOp&KID=unistore,video",
4506007432581756,J2whpaPDe,5569896798,给小倪摘颗星星,#天门山翼装飞行失联女大学生已找到#看到找到以为是平安的...太可惜了#26岁女生涉嫌集资诈骗1400万#26岁骗了1400w？？,,,,"天门山翼装飞行失联女大学生已找到,26岁女生涉嫌集资诈骗1400万",0,0,0,2020-05-18 18:56,橙土飞扬超话,,,
4506007395608284,J2whlnwYc,5874727670,爱吃蒜苗的派大星,#26岁女生涉嫌集资诈骗1400万#什么什么？？？26岁？？？1400w？？惊呆了我！,,,,26岁女生涉嫌集资诈骗1400万,0,0,0,2020-05-18 18:56,红脚脚小分队超话,,,
4506007340610568,J2whg2yPS,5474920379,谢怜-YiBo,#26岁女生涉嫌集资诈骗1400万#这数目太大了吧骗什么骗的这么多,,,,26岁女生涉嫌集资诈骗1400万,0,0,0,2020-05-18 18:56,花城主超话,,,
4506007328676928,J2wheApgs,5238240104,中捷司法,#法治热评#【#26岁女生涉嫌集资诈骗1400万#，做美容花掉300万】杭州临安一26岁女子，因需20万买二手房陷入“死循环”，她通过允诺高利息骗取周边好友信任，还通过请群演、假截图假视频，在朋友圈里把自己打造成资本雄厚的样子。两年内她拆东墙补西墙内积累了1400万元的债务，警方找到她时，她的资金余额只有4万，其余的全部用于偿还欠款和利息以及挥霍性消费，仅个人美容就花了300多万。L浙样红TV的微博视频,,,,"法治热评,26岁女生涉嫌集资诈骗1400万",0,0,0,2020-05-18 18:56,iPhone客户端,,"http://f.video.weibocdn.com/003HLmFKgx07DkRy5EJx010412004k120E010.mp4?label=mp4_ld&template=360x640.24.0&trans_finger=81b11b8c5ffb62d33ceb3244bdd17e7b&Expires=1589802970&ssig=iUNZzQgSQe&KID=unistore,video",
4506006706656855,J2wgerVKD,5695680282,二马行空独来独往,#26岁女生涉嫌集资诈骗1400万#手法并不高明，怎么就会有那么多人上当呢？都知道天上不会掉馅饼，可依然有那么多人相信天上会掉馅饼，一千四百万数目不小上当的人自然不会少，挥霍一空只剩四万，被骗人的结局只有一个，连本相送！贪小便宜吃大亏，骗子自然可恶，被骗的人呢？只能自己去回答了！,,池州·东至县,,26岁女生涉嫌集资诈骗1400万,0,0,0,2020-05-18 18:53,荣耀20i,['http://ww2.sinaimg.cn/large/006dsuD0ly1gewslvj5goj30u01t0ka2.jpg'],,
4506006417174462,J2wfLu6p8,1906123125,五加红,#26岁女生涉嫌集资诈骗1400万#找到她时，她的资金余额只有4万，其余的全部用于偿还欠款和利息以及挥霍性消费，仅个人美容就花了300多万。戳↓☟——她可真是个败家孩子。#魔性##今日说法#L五加红的微博视频,,,,"26岁女生涉嫌集资诈骗1400万,魔性,今日说法",0,8,3,2020-05-18 18:52,微博视频,,"http://f.video.weibocdn.com/t3zfZYwZlx07DmUCXtUI0104120049qu0E010.mp4?label=mp4_ld&template=360x640.24.0&trans_finger=81b11b8c5ffb62d33ceb3244bdd17e7b&Expires=1589803006&ssig=tJZg1NKl1Y&KID=unistore,video",
4506006404896557,J2wfKkxOJ,3479598825,爱看甜文的柚子菇凉,#26岁女生涉嫌集资诈骗1400万#天厉害26岁胆子真大本来可以靠颜值吃饭，硬是要去犯罪。,,,,26岁女生涉嫌集资诈骗1400万,0,0,0,2020-05-18 18:52,华为畅享10 Plus,,,
