id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4506007541985107,J2whA8kpR,6006366180,Y丞丞Y-Adam,#N号房创建者godgod正脸公开#天网恢恢，疏而不漏，N号房创建人godgod终于被逮捕了,,,,N号房创建者godgod正脸公开,0,0,0,2020-05-18 18:56,ॱଳ͘iPhone客户端,,,
4506007508953095,J2whwBz6L,6052638404,恋濃讯号,#N号房创建者godgod正脸公开#知人知面不知心啊好可怕,,,,N号房创建者godgod正脸公开,0,0,0,2020-05-18 18:56,OPPO R15x,,,
4506007504752390,J2whwjWjs,5457808097,超级妈妈茜茜,#N号房创建者godgod正脸公开#真是人不可貌相，谁知同学眼里的“性格内向”，被师生称赞的“做事踏实”的建筑学小伙儿竟然是一个披着羊皮的狼,,,,N号房创建者godgod正脸公开,0,0,0,2020-05-18 18:56,,,,
4506007479526581,J2whtDYix,1727784950,xiaZH_0714,#N号房创建者godgod正脸公开#人面兽心又丑又脏垃圾人渣,,,,N号房创建者godgod正脸公开,0,0,0,2020-05-18 18:56,王嘉尔的Jacky,,,
4506007441292137,J2whq5q8V,6170323844,小坤给小怡摘星星,#N号房创建者godgod正脸公开#长的就是一脸猥琐样一定要严惩啊！！,,,,N号房创建者godgod正脸公开,0,0,0,2020-05-18 18:55,蔡徐坤的ikun,,,
4506007336400030,J2whfqQWi,5833551558,還-L,求求你做个人#N号房创建者godgod正脸公开#,,,,N号房创建者godgod正脸公开,0,0,0,2020-05-18 18:55,HUAWEI P20 Pro,['http://ww1.sinaimg.cn/large/006mMZfggy1gewswcwsxrj30ku497qku.jpg'],,
4506007290399470,J2whb1FV4,1847995174,清风纸巾真是太好用了,#高温天能摘口罩吗#该带还得带为自己也为他人负责！#N号房创建者godgod正脸公开#人不可貌相在人群中肯定不会想到他就是N号创建者🙊,,,,"高温天能摘口罩吗,N号房创建者godgod正脸公开",0,0,0,2020-05-18 18:55,最初的梦还在吗超话,,,
4506007274010515,J2wh9gPjJ,5219506757,淳安检察,【#N号房创建者godgod正脸公开#：感到后悔和抱歉】5月18日，韩国“N号房”创始人godgod被公开示众。godgod承认指使3起性暴力事件，受害者达50余人。他表示自己之所以会犯罪，是因为有错误的性观念。现年24岁的godgod涉嫌通过运营“N号房”，散布销售包括未成年人在内的女性性剥削视频。@世面L世面的秒拍视频,,,世面,N号房创建者godgod正脸公开,0,0,0,2020-05-18 18:55,微博 weibo.com,,"http://miaopai.video.weibocdn.com/h3jhOkjHlx07DmGQPQf601041200bpUI0E013.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1589802948&ssig=BHFPVaMCQU&KID=unistore,video",
4506007135280637,J2wgVm9Jz,5236214995,安静的肉肉baby,#N号房创建者godgod正脸公开#看了这逼的照片果然是相由心生小时候虽丑但一脸憨厚长大真的是一脸的心术不正💢,,,,N号房创建者godgod正脸公开,0,0,0,2020-05-18 18:55,KrisGalaxyAndroid,,,
4506007009595330,J2wgIEgbo,3015778912,大鼻孔二丫,#n号房创建者godgod正脸公开#希望这个世界对女性能友好一点,,,,n号房创建者godgod正脸公开,0,0,0,2020-05-18 18:54,iPhone客户端,"['http://ww1.sinaimg.cn/large/b3c12260gy1gewsr97opjj20r20xxaho.jpg', 'http://ww4.sinaimg.cn/large/b3c12260gy1gewsrcvv8mj20r20zbn0g.jpg', 'http://ww2.sinaimg.cn/large/b3c12260gy1gewsr9wa7hj20mi08a402.jpg', 'http://ww2.sinaimg.cn/large/b3c12260gy1gewsrayrrpj20k00s9ter.jpg', 'http://ww2.sinaimg.cn/large/b3c12260gy1gewsrbzfgzj20k015nq7e.jpg', 'http://ww1.sinaimg.cn/large/b3c12260gy1gewsr7x30tj20k00k0n5f.jpg']",,
4506006988575516,J2wgGzYSM,7186390860,yvarh,#高温天能摘口罩吗#该戴还得戴的不仅为了自己也要为他人负责！！！虽说戴口罩确实挺闷的可是现在疫情还没结束还是多加防护比较好！！！#N号房创建者godgod正脸公开#真的应了那句话“人不可貌相海水不可斗量”光看表面就会觉得他的长相很普通,,,,"高温天能摘口罩吗,N号房创建者godgod正脸公开",0,0,0,2020-05-18 18:54,GR48超话,,,
4506006543535930,J2wfYePR8,6471080315,雾似书中人,#N号房创建者godgod正脸公开#竟然是大学生，说真的这个长相真是让人看不出来心这么歪啊！错误❌的性观念？这就是理由？？,,,,N号房创建者godgod正脸公开,0,0,0,2020-05-18 18:52,兔牙甜品店超话,,,
4506006530498160,J2wfX25AQ,6346956738,WSY吴舒媛,#N号房创建者godgod正脸公开#做事踏实性格内向只不过是一些表面而已谁知道他内心是怎么想的这种人一定要严惩,,,,N号房创建者godgod正脸公开,0,0,0,2020-05-18 18:52,荣耀8青春版 颜值担当,,,
4506006522503413,J2wfWavfD,3749318895,李大蹄子,#中国移动拿去年全年利润投资5G#这速度两年地级市主城区也覆盖不完#N号房创建者godgod正脸公开#,,,,"中国移动拿去年全年利润投资5G,N号房创建者godgod正脸公开",0,0,0,2020-05-18 18:52,全世界最爱李易峰的小胖蜂,,,
4506006514506996,J2wfViUtu,5018035093,河马小嘴,#N号房创建者godgod正脸公开#就在昨天看完的杀人回忆...,,,,N号房创建者godgod正脸公开,0,0,1,2020-05-18 18:52,vivo AI智慧拍照X21,"['http://ww1.sinaimg.cn/large/005tBa9Tgy1gewssn136ij315o0tutaz.jpg', 'http://ww3.sinaimg.cn/large/005tBa9Tgy1gewssoxzp7j30u013ugpa.jpg', 'http://ww4.sinaimg.cn/large/005tBa9Tgy1gewsso2b54j30u00unn06.jpg', 'http://ww3.sinaimg.cn/large/005tBa9Tgy1gewsspqu0xj30u00g7gmv.jpg']",,
4506006489875816,J2wfSFr9m,5554930543,惡魔觀月不食人心,#N号房创建者godgod正脸公开#这就是所谓的憨厚老实面相,,,,N号房创建者godgod正脸公开,0,0,0,2020-05-18 18:52,工藤新二iPhone 11,,,
