id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4506023459708054,J2wHfEJvw,6933837821,TXT记录库,"TXT组合#TXT新歌#【200518油管】M2更新TOMORROWXTOGETHER回归秀-《世界烧毁的夜晚,我们...(Can‘tYouSeeMe?)》直拍-泰现LTXT记录库的微博视频",,,,TXT新歌,1,1,13,2020-05-18 19:59,TXT组合超话,,"http://f.video.weibocdn.com/sQ3gHvcflx07DmZh6Kwo01041201TxIF0E010.mp4?label=mp4_ld&template=360x640.24.0&trans_finger=81b11b8c5ffb62d33ceb3244bdd17e7b&Expires=1589806855&ssig=eDSdKG9o8G&KID=unistore,video",
4506023400833829,J2wHa3uUR,6665134864,诶呦呵呵呵呵呵呵呵,TXT未来可期新歌太好听了,,,,,0,0,0,2020-05-18 19:59,TXT未来可期超话,['http://ww4.sinaimg.cn/large/007h4e3ely1gewuqyi79gj30u01rcn7q.jpg'],,
4506022666117065,J2wFYpFkl,6932452557,TXT_安利站,#TXT新歌#🌿#TXT5月18回归大发#【200518推特】kr_now更新TXT相关🌈【安利站招新】O网页链接🌈【安利站提问箱】O网页链接🌈【长期心愿储蓄计划】O网页链接🌈【TXT安利合集汇总】O网页链接🌈【安利站运回不运回合集】O网页链接,,,,"TXT新歌,TXT5月18回归大发",0,0,1,2020-05-18 19:56,TXT组合超话,['http://ww1.sinaimg.cn/large/007z9RAVgy1gewuo06h42j30v80ukdlx.jpg'],,
4506021219757593,J2wDDEWox,2774352607,井小哇,#TXT新歌#还以为哪位有才的给txt文档做了售歌，还准备进来夸夸有想法,,武汉,,TXT新歌,0,1,0,2020-05-18 19:50,nova 5i Pro,,,
4506020795403400,J2wCXmFFC,5107011092,杏岛环游,#txt新歌#快点入股崔连准获得搞一等爱豆的乐趣吧！大黑传奇练习生男友照富人！什么都能做好的全能ACE准准子,,,,txt新歌,0,0,0,2020-05-18 19:49,HUAWEI P30,"['http://ww3.sinaimg.cn/large/005zCuSEly1gewufi8jp9j30rs1jlthf.jpg', 'http://ww2.sinaimg.cn/large/005zCuSEly1gewtrxr652j30u01bwadt.jpg', 'http://ww1.sinaimg.cn/large/005zCuSEly1gewufgc3wfg30qo0u01l4.jpg', 'http://ww3.sinaimg.cn/large/005zCuSEly1gewufhuepig31b80qk7wp.jpg']",,
4506020230147130,J2wC30Ch4,6933837821,TXT记录库,TXT组合#TXT新歌#《TheDreamChapter：Eternity》全专歌曲歌词翻译翻译by.屁咻莫西十一村长制图by.Louis烧贝壳禁二改转载请注明出处,,,,TXT新歌,32,13,162,2020-05-18 19:46,TXT组合超话,"['http://ww2.sinaimg.cn/large/007zfFXTly1gewud4zx82j30tj317nd1.jpg', 'http://ww3.sinaimg.cn/large/007zfFXTly1gewud5gldbj30tj35hqpt.jpg', 'http://ww1.sinaimg.cn/large/007zfFXTly1gewud5uwqxj30tj2icgyj.jpg', 'http://ww1.sinaimg.cn/large/007zfFXTly1gewud6gh1uj30tj3ak7lx.jpg', 'http://ww1.sinaimg.cn/large/007zfFXTly1gewud769urj30tj3n84hv.jpg', 'http://ww4.sinaimg.cn/large/007zfFXTly1gewud7rt6kj30tj2p2k5o.jpg']",,
4506019390199353,J2wAH0PRn,6933837821,TXT记录库,"TXT组合#TXT新歌#【200518视频】TOMORROWXTOGETHER回归秀-《世界烧毁的夜晚,我们...(Can‘tYouSeeMe?)》舞台LTXT记录库的微博视频",,,,TXT新歌,50,19,189,2020-05-18 19:43,TXT组合超话,,"http://f.video.weibocdn.com/ObCDaTF2lx07DmYabdO801041201IMSg0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1589806855&ssig=nb5fbfUUM4&KID=unistore,video",
4506017787853676,J2wy6wX6c,2994129853,一支冬菇,#TXT新歌#好看。,,,,TXT新歌,0,0,1,2020-05-18 19:37,Android,"['http://ww2.sinaimg.cn/large/b276cbbdly1gewu3kwoffg20m80cib2g.jpg', 'http://ww4.sinaimg.cn/large/b276cbbdly1gewu3pn1nig20ls0cce85.jpg', 'http://ww3.sinaimg.cn/large/b276cbbdly1gewu3sas6gg20m80ci7wi.jpg', 'http://ww1.sinaimg.cn/large/b276cbbdly1gewu3u3vw0g20m80ci7wi.jpg']",,
4506017499474517,J2wxDDKKN,6968989397,采一捧向日葵,#TXT新歌#我们小档太棒了呀真的i了i了,,,,TXT新歌,0,0,1,2020-05-18 19:35,iPhone客户端,['http://ww1.sinaimg.cn/large/007BDauNgy1gewu27nthhj30ku03mgmm.jpg'],,
4506016811808234,J2wwx7Ap4,5786790027,NIEWS-27,#TXT新歌#可以可以很好听！！！！！,,,,TXT新歌,0,0,1,2020-05-18 19:33,Redmi K30 全速热爱,,,
