id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4506007880990511,J2wi849FZ,6478869102,judy麻麻521,#上海中小学暑假时间#刚刚开学,,,,上海中小学暑假时间,0,0,0,2020-05-18 18:57,朱正廷的珍珠糖,,,
4506007650813474,J2whL3pCy,1743331463,是大竹吖,#上海中小学暑假时间#放假就可以睡懒觉休息了嘛？！天真！还有语数英物化生政史地的自由组合+兴趣班要上。。。不过，只要胆子大，天天在放假,,,,上海中小学暑假时间,0,0,0,2020-05-18 18:56,iPhone 7 Plus,,,
4506007588582627,J2whEA0Jt,2011647927,小甜甜1209,#上海中小学暑假时间#暑假都出来了，上一个多月就可以放暑假了,,,,上海中小学暑假时间,0,0,0,2020-05-18 18:56,iPhone XR,,,
4506007550117908,J2whB0uFK,1818381935,徒手摘月亮吖,#上海中小学暑假时间#上海开学了吗😂😂怎么都出放假时间了,,,,上海中小学暑假时间,0,0,0,2020-05-18 18:56,李现老婆iPhone客户端,,,
4506007324052114,J2wheh08G,2650591473,太行日报,#上海暑假时间#【孩子们，暑假就快来了#上海中小学暑假时间#定了！】据@上海教育经研究决定，上海市基础教育各学段2019学年第二学期暑假开始时间安排如下：小学本学期至2020年6月30日结束，7月1日起放暑假；初中本学期至2020年7月7日结束，7月8日起放暑假；高中本学期至2020年7月14日结束，7月15日起放暑假。,,,上海教育,"上海暑假时间,上海中小学暑假时间",0,0,0,2020-05-18 18:55,HUAWEI Mate30 Pro 5G,,,
4506007298230160,J2whbyx2w,6254044802,星河奶俊,#上海中小学暑假时间#@山东省教育厅抄作业会不会，能不能看看人家，要求不大，放个暑假，学学人家,,,山东省教育厅,上海中小学暑假时间,0,0,1,2020-05-18 18:55,俊俊的Android,,,
4506007251917285,J2wh782LX,6499321277,-Noooo-,#上海中小学暑假时间#小学等于没影响啊？,,,,上海中小学暑假时间,0,0,0,2020-05-18 18:55,拽姐的iPhone客户端,,,
4506007143699369,J2wgWfwnf,5722621089,还是要微笑,#上海中小学暑假时间#只要胆子大，天天寒暑假,,,,上海中小学暑假时间,0,0,0,2020-05-18 18:54,异世界的iPhone客户端,,,
4506007134405288,J2wgViu12,7337326789,王甜甜是冰激凌啊,#上海中小学暑假时间#很多地方还没开学，暑假就要开始了。今年孩子们真的是全年都在放假了,,,,上海中小学暑假时间,0,0,0,2020-05-18 18:54,甜甜粉丝聚集地超话,,,
4506006921079003,J2wgA4wHh,5784482332,-及時行樂-_Y,#上海中小学暑假时间#我还没开学呢🙃,,,,上海中小学暑假时间,0,0,0,2020-05-18 18:53,iPhone X,,,
4506006870422042,J2wgv1LN8,3094452711,泉州网警巡查执法,"【灵魂拷问：为什么校园贷中招的是你？】全国各地学校陆续复课，喜欢""买买买""、想要""秀秀秀""、各种""忙忙忙""的同学们可要当心了，实施校园贷的犯罪分子也可能会""复工""……为此，检察官专门来提醒：为什么中招的会是你！#上海市中小学暑假时间##净网2020#L中国长安网的微博视频",,,,"上海市中小学暑假时间,净网2020",0,0,0,2020-05-18 18:53,微博 weibo.com,,"http://f.video.weibocdn.com/ARucQvAWlx07Dmt92ec001041200d0Yp0E010.mp4?label=mp4_ld&template=360x632.24.0&trans_finger=81b11b8c5ffb62d33ceb3244bdd17e7b&Expires=1589803040&ssig=sWnWCyDPL3&KID=unistore,video",
4506006862191951,J2wgu9ce3,2191880203,天中晚报,#各地暑假时间#【#上海市中小学暑假时间#确定】上海市公布基础教育各学段2019学年第二学期暑假开始时间：①小学本学期至2020年6月30日结束，7月1日起放暑假；②初中本学期至2020年7月7日结束，7月8日起放暑假；③高中本学期至2020年7月14日结束，7月15日起放暑假。@央视新闻,,,央视新闻,"各地暑假时间,上海市中小学暑假时间",0,0,0,2020-05-18 18:53,360安全浏览器,['http://ww2.sinaimg.cn/large/82a5700bly1gewsulqaamj20j60bbt9d.jpg'],,
4506006719855671,J2wgfFlUr,6056732922,易起看更好的峰景,#上海中小学暑假时间#家长：神兽终于回学校了孩子：妈妈，我去去就回是不是像及了你侄女@连淮伟,,,连淮伟,上海中小学暑假时间,0,0,0,2020-05-18 18:53,nova5Pro人像超级夜景,,,
4506006611000427,J2wg54cfV,5300813592,努力进阶的大草莓,#上海中小学暑假时间#小学生的暑假几乎没耽误,,,,上海中小学暑假时间,0,0,0,2020-05-18 18:52,大草莓🍓Android,,,
4506006535599835,J2wfXnuLV,1642512402,中国新闻周刊,【#上海市中小学暑假时间#定了！】据@上海教育经研究决定，上海市基础教育各学段2019学年第二学期暑假开始时间安排如下：小学本学期至2020年6月30日结束，7月1日起放暑假；初中本学期至2020年7月7日结束，7月8日起放暑假；高中本学期至2020年7月14日结束，7月15日起放暑假。（人民日报）,,,上海教育,上海市中小学暑假时间,3,2,8,2020-05-18 18:52,,['http://ww1.sinaimg.cn/large/61e6c012ly1gewsd01fp3j20k00bkq4n.jpg'],,
4506006471957287,J2wfR8db9,2557375422,浦东发布,【久违了！老师、同学、美丽校园！浦东150所小学喜迎学子归】#上海中小学暑假时间#背上书包，穿好校服，戴上口罩，美丽的校园，我们回来啦！今天，浦东150所小学喜迎四五年级学生返校开学。快跟着小布的镜头，看看“小神兽”们的开学第一天吧！#上海战疫#O久违了！老师、同学、美丽校园！浦东150所小学喜迎学子归,,,,"上海中小学暑假时间,上海战疫",0,0,0,2020-05-18 18:52,微博 weibo.com,,,
4506006434966648,J2wfNkQ3e,5817988031,娱乐剧有范,#上海市中小学暑假时间#不愧是魔都寒暑假无缝衔接的节奏么,,,,上海市中小学暑假时间,0,0,0,2020-05-18 18:52,,['http://ww1.sinaimg.cn/large/006lJGsDgy1gewssbrqpxj30u00scn1x.jpg'],,
4506006363984236,J2wfGgItS,5660469060,格格环游,#上海中小学暑假时间#@山东省教育厅@山东省教育厅@山东省教育厅@山东省教育厅大哥你在🐴,,,山东省教育厅,上海中小学暑假时间,0,0,0,2020-05-18 18:51,,,,
4506006170611759,J2wfn2z95,1960780965,CHENJN-YO,#上海中小学暑假时间#看来非毕业生是开不了学了@陕西省教育厅,,,陕西省教育厅,上海中小学暑假时间,0,0,0,2020-05-18 18:50,iPhone客户端,,,
4506006048683929,J2wfaAr5n,6154920611,蓄贵自然临,#上海中小学暑假时间#@山东省教育厅滚出来学,,,山东省教育厅,上海中小学暑假时间,0,0,0,2020-05-18 18:50,小米10 Pro,,,
4506005940296917,J2wf01feZ,1975995305,西安晚报,#上海暑假时间#【#上海中小学暑假时间#定了！】据@上海教育经研究决定，上海市基础教育各学段2019学年第二学期暑假开始时间安排如下：小学本学期至2020年6月30日结束，7月1日起放暑假；初中本学期至2020年7月7日结束，7月8日起放暑假；高中本学期至2020年7月14日结束，7月15日起放暑假。,,,上海教育,"上海暑假时间,上海中小学暑假时间",0,0,0,2020-05-18 18:50,,['http://ww2.sinaimg.cn/large/75c74ba9ly1gewsqurlf1j20gn0590tk.jpg'],,
4506005523692275,J2wekfuwP,1733634782,煙雨秦淮夢,#各地暑假时间##上海市中小学暑假时间#真的太盼望暑假了！,,,,"各地暑假时间,上海市中小学暑假时间",1,0,0,2020-05-18 18:48,小鞠配骑超话,,,
4506005516038874,J2wejpkZc,1776638553,婷婷大王666,#上海中小学暑假时间#,,,,上海中小学暑假时间,0,0,0,2020-05-18 18:48,iPhone客户端,,,
4506005491448545,J2weh64PD,3579075452,就叫CiCi吧_,#上海中小学暑假时间#我就想知道上海高校什么时候开学,,,,上海中小学暑假时间,0,0,2,2020-05-18 18:48,,,,
