id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4506012932293030,J2wqh9Cwm,1926565783,白日梦大赛一等奖凉笙,#不欢迎中国人的德国主厨道歉#为💰道歉罢了，还不是想赚中国人的钱,,,,不欢迎中国人的德国主厨道歉,0,0,0,2020-05-18 19:18,朱一龙の土拨鼠尖叫客户端,,,
4506012340301596,J2wpk1gss,6439954031,碟影-,#不欢迎中国人的德国主厨道歉#哦是吗不管你米其林几星都不如五星红旗的五星#李慧琼当选香港立法会内委会主席#真的真的希望香港的形势早日稳定下来！！,,,,"不欢迎中国人的德国主厨道歉,李慧琼当选香港立法会内委会主席",0,0,0,2020-05-18 19:15,缺一颗兔牙超话,,,
4506010344371181,J2wm6il8V,5658122406,长歌陌路ww,#不欢迎中国人的德国主厨道歉#只怕是要开业了，想赚钱而已只为钱而低头呢,,,,不欢迎中国人的德国主厨道歉,0,0,0,2020-05-18 19:07,稀巴烂的Android,,,
4506010155416486,J2wlNmJ4G,2932845600,哈利油小纯洁Halo,#不欢迎中国人的德国主厨道歉#表面道歉而已，还不是该死的利益驱使。,,,,不欢迎中国人的德国主厨道歉,0,0,0,2020-05-18 19:07,HUAWEI Mate 20 Pro,,,
4506009731344705,J2wl75DON,7060635981,SkyView03,#不欢迎中国人的德国主厨道歉#离倒闭也不远了吧,,常州,,不欢迎中国人的德国主厨道歉,0,0,2,2020-05-18 19:05,HUAWEI P20,,,
4506009555787931,J2wkPohHJ,7010131150,帝吧官微,近日，德国杜塞尔多夫，一家米其林餐厅的主厨在社交媒体上发文称：“我们将于周五营业...不欢迎中国人！！！！”该言论引发众怒，批评人士怒斥其为种族主义者，米其林将该餐厅从官方网站的推介名单上除名。压力之下，主厨发文道歉：“餐厅员工来自九个不同国家，我的妻子是亚洲人，我本人在德国也是一个外国人...我绝不是一名种族主义者”。此外他表示，这并非他本意，他衷心欢迎中国人来他的餐厅。之前相关报道：O网页链接#不欢迎中国人的德国米其林餐厅主厨道歉##不欢迎中国人的德国主厨道歉#L微丢的微博视频,,,,"不欢迎中国人的德国米其林餐厅主厨道歉,不欢迎中国人的德国主厨道歉",5,72,307,2020-05-18 19:04,中华有为Android,,"http://f.video.weibocdn.com/002eZOCmgx07DmqNB9s4010412006haX0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1589804518&ssig=27HpmuaDEv&KID=unistore,video",
4506009543161437,J2wkOdgqV,5605538088,老猫的睫毛,#不欢迎中国人的德国主厨道歉#迫于压力和金钱前途的道歉不诚恳，不接受🙅,,,,不欢迎中国人的德国主厨道歉,0,0,0,2020-05-18 19:04,iPhone客户端,,,
4506009076274655,J2wk3qkk7,6057997877,i4ever心7,#不欢迎中国人的德国主厨道歉#道歉了并不代表我们就要接受你的道歉,,,,不欢迎中国人的德国主厨道歉,0,0,0,2020-05-18 19:02,荣耀V8 脱影而出,,,
4506008816728469,J2wjDsenH,2660655043,超级Leo_,今年应该都会不太平了#不欢迎中国人的德国主厨道歉#,,,,不欢迎中国人的德国主厨道歉,0,0,1,2020-05-18 19:01,HUAWEI P40 Pro 5G,['http://ww1.sinaimg.cn/large/9e965fc3gy1gewt2p0ow7j20to1hh105.jpg'],,
4506007289818505,J2whaFceZ,6980404950,墨生Merson-,#不欢迎中国人的德国主厨道歉#没那个正面刚的本事开什么麦呢？还要怂,,,,不欢迎中国人的德国主厨道歉,0,0,0,2020-05-18 18:55,,,,
4506006849154890,J2wgsCpBw,2207117132,辰星之辉,不欢迎中国人的德国米其林餐厅主厨道歉了。。。管不住嘴，到头来还是自己piapia打脸自己～#防疫##美国疫情##全球疫情##德国##德国疫情##不欢迎中国人的德国主厨道歉##德国餐厅不欢迎中国人被米其林除名##米其林##米其林餐厅#L辰星之辉的微博视频,,,,"防疫,美国疫情,全球疫情,德国,德国疫情,不欢迎中国人的德国主厨道歉,德国餐厅不欢迎中国人被米其林除名,米其林,米其林餐厅",0,1,1,2020-05-18 18:53,HUAWEI Mate 20 X,,"http://f.video.weibocdn.com/sy7yYnwglx07DmUK7xHi010412001SGO0E010.mp4?label=mp4_ld&template=360x640.24.0&trans_finger=81b11b8c5ffb62d33ceb3244bdd17e7b&Expires=1589804558&ssig=kKV8SatFck&KID=unistore,video",
4506006359786202,J2wfFF3PY,2087984547,七公主的日记,#不欢迎中国人的德国主厨道歉#不会说话就别说话，傻缺,,北京,,不欢迎中国人的德国主厨道歉,0,0,0,2020-05-18 18:51,iPhone客户端,['http://ww4.sinaimg.cn/large/b10c1bc2ly1fmgnqgha8tg208c08cdvt.jpg'],,
4506005813528695,J2weNeNYr,2496045435,克里斯的兔先生,#不欢迎中国人的德国主厨道歉#你觉得我会信你的屁话哦。,,,,不欢迎中国人的德国主厨道歉,0,0,0,2020-05-18 18:49,nova5 人像超级夜景,,,
4506005549424605,J2wemDxLL,6306011640,翰翰宝贝早点睡哦晚安_,#不欢迎中国人的德国主厨道歉#哦是吗道歉了！！！#李慧琼当选香港立法会内委会主席#希望香港的形势早日稳定下来！！,,,,"不欢迎中国人的德国主厨道歉,李慧琼当选香港立法会内委会主席",0,0,0,2020-05-18 18:48,缺一颗兔牙超话,,,
4506005528233118,J2wekyxOe,6239779260,包希希rancy,李红亮#不欢迎中国人的德国主厨道歉#中国正在变得慢慢强大，中国人也逐渐地被更多人尊重。,,,,不欢迎中国人的德国主厨道歉,0,0,1,2020-05-18 18:48,李红亮超话,,,
4506005415614605,J2we9nyC9,6123734183,wassjss,#不欢迎中国人的德国主厨道歉#道歉有用的话，渣男都被原谅了,,,,不欢迎中国人的德国主厨道歉,0,0,7,2020-05-18 18:48,Android,,,
4506004933365814,J2wdne7Bk,1672040680,雪雅蔓蔓之阿玮,#不欢迎中国人的德国主厨道歉#对不起也不是万能的对吧,,,,不欢迎中国人的德国主厨道歉,0,0,1,2020-05-18 18:46,HUAWEI P30 Pro,,,
4506004443102585,J2wcAd17H,6579479799,勿忘我gg1995,#不欢迎中国人的德国主厨道歉#RMB真香大型现场,,,,不欢迎中国人的德国主厨道歉,0,0,1,2020-05-18 18:44,Nokia X6 越级体验,,,
4506004152988899,J2wc7cxy3,6389974552,橘子味小馒,#不欢迎中国人的德国主厨道歉#被迫道歉就算啦如果没有中国抗议胜利，在志愿近两百个国家，世界疫情就只能糟糕到不能想象,,,,不欢迎中国人的德国主厨道歉,0,0,0,2020-05-18 18:43,OPPO随光而变R17,,,
4506003155204538,J2wavlPWa,5233973589,愿乘峰归去来兮,#不欢迎中国人的德国主厨道歉#道歉的原因还不是想吃这口饭也不是真诚的道歉,,,,不欢迎中国人的德国主厨道歉,0,0,0,2020-05-18 18:39,李易峰的小蜜蜂,,,
4506002836592445,J2w9ZrEZL,7333007963,情感咨询师-缘来,#不欢迎中国人的德国主厨道歉#【挽回妻子】情商低，不会说话，夫妻感情差，老婆出现第三者。通过破冰和聊天方面的学习，打开彼此心结，第三者也断了。所以情商提升是必须的，现在不学习，以后迟早也会补课。,,成都·蜀都中心,,不欢迎中国人的德国主厨道歉,0,1,0,2020-05-18 18:38,iPhone XS,"['http://ww3.sinaimg.cn/large/0080gylZgy1gewsdzjoqpj30k0168gqg.jpg', 'http://ww1.sinaimg.cn/large/0080gylZgy1gewse01qmpj30k0168q8i.jpg', 'http://ww1.sinaimg.cn/large/0080gylZgy1gewsdyw04rj30k0168gpc.jpg', 'http://ww2.sinaimg.cn/large/0080gylZgy1gewse0me2oj30k01680z5.jpg']",,
4506002710717792,J2w9N30Ji,2161313187,光速行动丶丶,#不欢迎中国人的德国主厨道歉#他是被除名才软的下次还敢,,,,不欢迎中国人的德国主厨道歉,0,0,0,2020-05-18 18:37,微博搜索,,,
4506002366903302,J2w9esXRA,6240918881,兴趣还未找到,#不欢迎中国人的德国主厨道歉#嘿，这位主厨，也许你意识到我们的子儿好赚，也许你欢不欢迎的也赚不到我们一个大子儿了。,,,,不欢迎中国人的德国主厨道歉,0,0,0,2020-05-18 18:36,,,,
4506002089513249,J2w8MDUPv,6893064380,糖豆法师,#不欢迎中国人的德国主厨道歉#大家没有健忘症哟呵呵哒,,,,不欢迎中国人的德国主厨道歉,0,0,0,2020-05-18 18:35,深深的米Android,,,
4506001561200049,J2w7W52bD,7196185333,小西举铁一百斤,#不欢迎中国人的德国主厨道歉#这变脸变得挺快的嘛那你就看看中国人会不会原谅咯,,,,不欢迎中国人的德国主厨道歉,0,0,0,2020-05-18 18:33,会举铁的iPhone XR,,,
4506001540169081,J2w7U0HZ7,6589262120,丧小呆QAQ,#不欢迎中国人的德国主厨道歉#这变脸变得挺快的嘛,,,,不欢迎中国人的德国主厨道歉,0,0,0,2020-05-18 18:32,,,,
4506001413941264,J2w7HgxiM,5983599731,给黄景瑜当化妆师,#不欢迎中国人的德国主厨道歉#有钱能使这些人道歉,,,,不欢迎中国人的德国主厨道歉,0,0,0,2020-05-18 18:32,,,,
4506001220516315,J2w7o2ajF,3847504303,关山飞渡梦里唐朝,#不欢迎中国人的德国主厨道歉#道歉是假的，永远不要相信他,,,,不欢迎中国人的德国主厨道歉,0,11,6,2020-05-18 18:31,红米Redmi,,,
4506000730812485,J2w6B3pmB,6187992745,变美军师,#不欢迎中国人的德国主厨道歉#压力之下。,,,,不欢迎中国人的德国主厨道歉,0,0,0,2020-05-18 18:29,,,,
4506000243455882,J2w5Oev22,2692006760,Swaggy-麦,#不欢迎中国人的德国主厨道歉#这变脸变得挺快的，为💰屈服,,,,不欢迎中国人的德国主厨道歉,0,0,1,2020-05-18 18:27,小金的超话,,,
4506000109706839,J2w5AEJbV,3523604367,安于眠兮,#不欢迎中国人的德国主厨道歉#迫于舆论压力的道歉看起来不太真诚的亚子,,,,不欢迎中国人的德国主厨道歉,0,0,1,2020-05-18 18:27,小金的超话,,,
4506000100733386,J2w5A34MO,1243861101,木空扯书,#不欢迎中国人的德国主厨道歉#屁股后边作揖，好赖也作了。作了就不要与他一般见识了，厨子无德吗？虽然他是有德国家的人。,,,,不欢迎中国人的德国主厨道歉,0,15,6,2020-05-18 18:27,HUAWEI Mate 30 5G,,,
4505999887089917,J2w5etKpv,5480275883,fanfanleslie,#不欢迎中国人的德国主厨道歉#被迫道歉不必无所谓不在乎,,,,不欢迎中国人的德国主厨道歉,0,0,2,2020-05-18 18:26,朱一龙的小笼包,,,
