id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4506016278586026,J2wvFA1Ci,2557375422,浦东发布,【地铁车站迈入5G时代！平均下载速率超过200Mb！年内297个地下站全覆盖】#中国移动拿去年全年利润投资5G#今天，申通地铁集团与上海电信、上海移动、上海联通、上海铁塔签署战略合作框架协议并举行开工仪式，在上海地铁5G系统建设与融合应用两方面展开合作。计划经过6个月建设，力争在今年进博会前完成全市297个地下车站站厅、站台的5G网络覆盖，并在地铁安全管理、运营服务、设备智能运维等方面探索5G创新应用。L浦东发布的微博视频,,,,中国移动拿去年全年利润投资5G,0,0,0,2020-05-18 19:31,小布的iPhone客户端,,"http://f.video.weibocdn.com/0021SOpOgx07DmXjCMkE010412000Nb40E010.mp4?label=mp4_ld&template=360x632.24.0&trans_finger=81b11b8c5ffb62d33ceb3244bdd17e7b&Expires=1589805074&ssig=XwEHNibLVI&KID=unistore,video",
4506015896638432,J2wv3rQXu,3169315572,金刚幂,#中国移动拿去年全年利润投资5G#建5G挺好，但你别给4G用户限速啊。还有移动流量资费问题、信号问题啥时候能解决？,,,,中国移动拿去年全年利润投资5G,0,0,0,2020-05-18 19:30,蜂圈cp超话,,,
4506015569542369,J2wuwE2pb,5852832314,我就是我要靠谱-1,#中国移动拿去年全年利润投资5G#没想到中国移动居然拿一年的收入投资5G，好大的手笔，可以看出5G以后会有很大的市场，中国移动这部棋肯定是经过深思熟虑之后的结果，时代在进步各行各业都在发展，现在这社会不进则退未来5G绝对是主流，可见中国移动对未来的发展和眼光很独到，如果移动不研究这个项目很有可能被别人反超，,,,,中国移动拿去年全年利润投资5G,0,0,1,2020-05-18 19:28,前置双摄vivo X9Plus,,,
4506015493823947,J2wupg2Mz,7061268681,青春中州,#中国移动拿去年全年利润投资5G#如果送手机更好，我就不用再买了。@中国移动你说呢？,,,中国移动,中国移动拿去年全年利润投资5G,0,0,0,2020-05-18 19:28,中国超话,"['http://ww3.sinaimg.cn/large/007HSmylly1gewtuas733j30hi0b20tf.jpg', 'http://ww4.sinaimg.cn/large/007HSmylly1gewtublhhqj30hi07wdg2.jpg', 'http://ww4.sinaimg.cn/large/007HSmylly1gewtuc26iej31900u041q.jpg']",,
4506015355549849,J2wubnhLH,6351706449,自丶娱自乐的鱼,#中国移动拿去年全年利润投资5G#中国移动还5g信号差的不行，我身边所以用移动的都再说，还好我一直用联通@中国移动,,广州,中国移动,中国移动拿去年全年利润投资5G,0,0,0,2020-05-18 19:27,三星Galaxy S10,,,
4506014651195850,J2wt3515U,2991206810,苏宁手机,【#中国移动拿去年全年利润投资5G#，还提出5G套餐用户突破1亿】中国移动2019年财报显示，2019年建设了5万个5G基站，相应的开支为240亿元；2020年，计划新建25万个5G基站，开支将达1000亿元。2019年中国移动的净利润为1066.41亿元，2020年几乎要拿出去年的净利润来投资建设5G。,,,,中国移动拿去年全年利润投资5G,0,2,0,2020-05-18 19:25,专业版微博,['http://ww1.sinaimg.cn/large/b24a319agy1gewto7nwj2j20hi07w3yr.jpg'],,
4506014093334439,J2ws9dZrh,6036362321,阿乐大人-,#中国移动拿去年全年利润投资5G#移动4G是明显慢了好多，不过5G都出来了，还是要期待5G的,,,,中国移动拿去年全年利润投资5G,0,1,0,2020-05-18 19:22,Android,,,
4506013875045595,J2wrNlaAz,5886028047,秋分之音,"#中国移动拿去年全年利润投资5G#以全国之力发展5G,如果在美国佬前面发展出来，局部战争就是中国人说了算了。",,,,中国移动拿去年全年利润投资5G,0,0,0,2020-05-18 19:22,Android,,,
4506013757091417,J2wrBtKNH,6882846664,财富时代,【#中国移动拿去年全年利润投资5G#，还提出5G套餐用户突破1亿】中国移动2019年财报显示，2019年中国移动一共建设了5万个5G基站，相应的5G资本开支为240亿元；2020年，中国移动计划新建25万个5G基站，相应的5G资本开支将达1000亿元。2019年中国移动的净利润为1066.41亿元，也即是2020年中国移动几乎要拿出2019年全年的净利润来投资建设5G。中国移动还大大提升了2020年的5G套餐用户数目标。对于2020年，中国移动此前设定的目标是5G套餐客户净增7000万；而中国移动副总经理简勤在5G生态合作伙伴大会上提出，2020年计划协同产业链合作伙伴发展5G套餐用户突破1亿户。,,,,中国移动拿去年全年利润投资5G,0,0,0,2020-05-18 19:21,华为手机 畅享玩不停,"['http://ww2.sinaimg.cn/large/007vNIPSgy1gewtn5k6haj30hi07wdg2.jpg', 'http://ww2.sinaimg.cn/large/007vNIPSgy1gewtn67tunj30hi0b20tf.jpg']",,
4506013740924812,J2wrA3SAk,5603836432,栀栀叫,#中国移动拿去年全年利润投资5G#今天怒刚三位移动客服，要回了自己被扣的话费,,,,中国移动拿去年全年利润投资5G,0,0,1,2020-05-18 19:21,HUAWEI Mate 30,,,
