id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4506007772228930,J2whX9lQu,5494633023,·奶酪甜尖·,#中餐厅第四季国内录制#哇哦！第四季，好期待呀！快点来！激动的搓手手#蔡卓宜节目中的造型是自己完成的#真是个心灵手巧的小姐姐！,,,,"中餐厅第四季国内录制,蔡卓宜节目中的造型是自己完成的",0,0,0,2020-05-18 18:57,悦尖行星超话,,,
4506007731260094,J2whT5hO6,5318134233,晚安波德莱尔,#中餐厅第四季国内录制#不知道两家吵什么吵，有你们吗？官宣你们了吗？都败好感，第三季最有梗的不是我们小明店长吗？没有黄晓明和林大厨的中餐厅不是完整的中餐厅。吵有什么用，你们打起来啊，都给我gun出中餐厅的热搜,,,,中餐厅第四季国内录制,0,0,0,2020-05-18 18:57,iPhone 8,,,
4506007693429803,J2whPeofp,1277647654,圣沐辰,王俊凯的＂番茄牛肉丸＂苏有朋的＂甜豌豆虾仁＂哇哇哇，流口水……中餐厅第2季赵薇、苏有朋、张铁林舒淇、王俊凯、白举纲#中餐厅第四季国内录制#-L圣沐辰的微博视频,,,,中餐厅第四季国内录制,0,0,0,2020-05-18 18:56,迷恋影馆超话,,"http://f.video.weibocdn.com/000ncoF8gx07DmTR1biw01041200IjzQ0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1589803036&ssig=3aznnDSoTh&KID=unistore,video",
4506007642020736,J2whK8tGw,5363170504,Evan李大人,#中餐厅第四季国内录制#真的来武汉吗？希望做好防护吧武汉欢迎哥哥姐姐弟弟妹妹们谢谢你们,,武汉,,中餐厅第四季国内录制,0,0,0,2020-05-18 18:56,荣耀9 美得有声有色,,,
4506007629478776,J2whIDLRu,5880126283,康康学习,日常#中餐厅第四季国内录制#今天爱橙色风有些凉来点暖色的,,北京·清澄名苑,,中餐厅第四季国内录制,0,0,1,2020-05-18 18:56,日常超话,"['http://ww1.sinaimg.cn/large/006pWpsvly1gewsx772ibj31400u0761.jpg', 'http://ww4.sinaimg.cn/large/006pWpsvly1gewsx7h2zgj30u0140wip.jpg', 'http://ww4.sinaimg.cn/large/006pWpsvly1gewsx7vnjgj31400u00v1.jpg']",,
4506007608700492,J2whGAvow,7004517631,蟹老板锵锵,#中餐厅第四季国内录制#⚠️⚠️xpx闭麦懂不懂❌⚠️❌❌看到都回去不然看见一个挂一个❌❌我们不惹事遇事不怕事勿多嘴勿嚼舌根没有官宣没有行程空口无凭？期待青年演员王俊凯的电影《749》局还有热播中的综艺《我们的乐队》还有后面的《快乐大本营》哦#王俊凯电影749局#@TFBOYS-王俊凯⚠️不信谣不传谣,,,TFBOYS-王俊凯,"中餐厅第四季国内录制,王俊凯电影749局",0,0,1,2020-05-18 18:56,蟹老板Android,"['http://ww2.sinaimg.cn/large/007E2f0Pgy1gewsxl3mpej309t09ta9y.jpg', 'http://ww3.sinaimg.cn/large/007E2f0Pgy1gewsxlofgcj309t09taa0.jpg', 'http://ww3.sinaimg.cn/large/007E2f0Pgy1gewsxmbc3wj309t09tjra.jpg', 'http://ww2.sinaimg.cn/large/007E2f0Pgy1gewsxn3ockj309t09tt8v.jpg', 'http://ww3.sinaimg.cn/large/007E2f0Pgy1gewsxnw1dgj309t09tglr.jpg', 'http://ww4.sinaimg.cn/large/007E2f0Pgy1gewsxoriqbj309t09tjri.jpg', 'http://ww2.sinaimg.cn/large/007E2f0Pgy1gewsxpdeq1j309t09tgli.jpg', 'http://ww3.sinaimg.cn/large/007E2f0Pgy1gewsxq0b2sj309t09tq2y.jpg', 'http://ww3.sinaimg.cn/large/007E2f0Pgy1gewsxqn1v8j309t09t3ye.jpg']",,
4506007562113749,J2whC8RSJ,5656373441,吃个菠萝萝,#中餐厅第四季国内录制#哇哦来国内唉那去的人会不会太多啊节目组会控制好吗围观的人太多也不好拍吧不过在哪都要努力开店啊节目能拍四季也是很厉害@施展Alvin你看过吗？,,,施展Alvin,中餐厅第四季国内录制,0,0,0,2020-05-18 18:56,iPhone客户端,,,
4506007546440499,J2whAr1t1,5639530254,零五半仙,#中餐厅第四季国内录制#干嘛啊又有事吗不如来看看王俊凯迪迪小凯在二三季里的表现太可爱啦期待一下新电影《749局》吧^_^王俊凯wjk三字,,,,中餐厅第四季国内录制,0,0,1,2020-05-18 18:56,最爱猫猫iPhone客户端,"['http://ww2.sinaimg.cn/large/0069ETrogy1gewsx8phxbj30u0191wk0.jpg', 'http://ww3.sinaimg.cn/large/0069ETrogy1gewsx9b1x0j30u01400yw.jpg', 'http://ww2.sinaimg.cn/large/0069ETrogy1gewsxa4ocxj30u00xmgxi.jpg', 'http://ww3.sinaimg.cn/large/0069ETrogy1gewsxbdi9aj30u0191qhd.jpg', 'http://ww3.sinaimg.cn/large/0069ETrogy1gewsxc34wxj30u0190n74.jpg']",,
4506007495081675,J2whvljYv,6992671155,毕雯珺手里的核桃是我,#中餐厅第四季国内录制#哦吼吼挺期待的，我正好没啥东西可看了我觉得杨紫还是不错的挺期待她的哈哈哈哈,,,,中餐厅第四季国内录制,0,0,2,2020-05-18 18:56,荣耀20 PRO,,,
4506007487841950,J2whuwU34,2110792893,父母购官网,发布了头条文章：《中餐厅第四季国内录制，嘉宾阵容疑似曝光，赵薇陈坤担任双店长？》O中餐厅第四季国内录制，嘉宾阵容疑似曝光，赵薇陈坤担任双店长？,http://t.cn/A62hz3wp,,,,0,0,0,2020-05-18 18:56,微博 weibo.com,,,
