id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4506025417567325,J2wKpvKBD,7306681349,圆滚滚又圆,我的天！亲爱的自己居然有片花了！我可太期待朱一龙的陈一鸣了！不知道什么时候会播啊！,,,,,0,0,0,2020-05-18 20:07,iPhone XS Max,,,
4506025313130149,J2wKfd8ih,1107990730,紫薯long包,#亲爱的自己片花#20年就能看到亲爱的自己，真的太惊喜了，看了片花.好配好甜啊啊啊，男帅女美！朱一龙陈一鸣，快点湖南卫视赶紧播,,南京,,亲爱的自己片花,0,0,0,2020-05-18 20:06,朱一龙的小笼包,,,
4506025309055509,J2wKeBZKB,6096198030,格julia_苗苗,#朱一龙陈一鸣##朱一龙亲爱的自己##电视剧亲爱的自己##亲爱的自己片花#朱一龙🍊他熬出的是人生阅历，熬出的是时间底蕴。十年深深扎根，十年努力汲取，终有拨云见日，华光摧琛的人生。@朱一龙,,,朱一龙,"朱一龙陈一鸣,朱一龙亲爱的自己,电视剧亲爱的自己,亲爱的自己片花",0,0,0,2020-05-18 20:06,电视剧亲爱的自己超话,['http://ww1.sinaimg.cn/large/006Ez1AGly1gewuyxfgmrj31hc0yjn21.jpg'],,
4506025275252742,J2wKbm2tE,5945189473,橘生淮南我居南,#朱一龙亲爱的自己#🌟#朱一龙陈一鸣#🌟#亲爱的自己片花#🌟#电视剧亲爱的自己#🌟低处不自弃，高处不得意！岁月的沉淀磨练了演技，每个眼神都是戏！期待《亲爱的自己》，也十分期待朱一龙先生饰演的陈一鸣！@朱一龙L微博电视剧的微博视频,,,朱一龙,"朱一龙亲爱的自己,朱一龙陈一鸣,亲爱的自己片花,电视剧亲爱的自己",0,0,1,2020-05-18 20:06,电视剧亲爱的自己超话,,"http://f.video.weibocdn.com/yBeBPydHlx07DmtVH8sU010412009o5K0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1589807217&ssig=%2FaCgywDtNJ&KID=unistore,video",
4506025249744966,J2wK8ET6S,6035586873,让他降落阿,#亲爱的自己片花##朱一龙亲爱的自己#🍀#朱一龙陈一鸣#🌵#电视剧亲爱的自己#亲爱的自己终于出片花了朱一龙演的陈一鸣也太苏了吧！！！！这台词！！！“其他所有的事都可以少，爱你的事不能少。”啊啊啊啊啊我要和陈一鸣拎包结婚！！！@朱一龙LLH吸居专用的微博视频,,,朱一龙,"亲爱的自己片花,朱一龙亲爱的自己,朱一龙陈一鸣,电视剧亲爱的自己",0,0,0,2020-05-18 20:06,电视剧亲爱的自己超话,,"http://f.video.weibocdn.com/YJIyqv5Qlx07DmxKrnkI01041200aLkh0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=bdef57f06ae52835a2c783ca389e8517&Expires=1589807195&ssig=FBJM90DU5W&KID=unistore,video",
4506025183887408,J2wK2gji8,2146827183,一部电影一句经典,#亲爱的自己片花#《亲爱的自己》是由丁黑执导，刘诗诗、朱一龙领衔主演，阚清子、彭冠英、李泽锋、陈米麒、张瑶、翟子路主演的都市情感剧，该剧讲述了都市青年在经历事业、家庭、爱情等现实围城下拼搏改变和成长，最终找到适合自己生活方式的故事,,,,亲爱的自己片花,0,0,0,2020-05-18 20:06,微博 weibo.com,"['http://ww3.sinaimg.cn/large/7ff5fbafly1gewuvo0051j20hs0p8go7.jpg', 'http://ww1.sinaimg.cn/large/7ff5fbafly1gewuvn0yadj20hs0vldj7.jpg', 'http://ww2.sinaimg.cn/large/7ff5fbafly1gewuvnf2u4g20jn08vhdy.jpg', 'http://ww4.sinaimg.cn/large/7ff5fbafly1gewuvnxk2jg20jg08wqv8.jpg', 'http://ww3.sinaimg.cn/large/7ff5fbafly1gewuvoinwug20dc06qb29.jpg', 'http://ww4.sinaimg.cn/large/7ff5fbafly1gewuvob5c3g20dc06qb2a.jpg']",,
4506025166347369,J2wK0qDeV,6791580675,我的拢龙大宝贝8,#朱一龙代言可口可乐##畅爽好喝让此刻更带劲##可口可乐n个带劲时刻#快来围观拢龙@朱一龙的“吃货”日常！左拥火锅烤串，右抱可口可乐，亲身示范夏日畅爽美食的正确打开方式！“咕咚咕咚”，快乐加倍！这样的朱一龙，你爱了吗？#欢聚可口，快乐可期#L可口可乐的微博视频#亲爱的自己片花#,,,朱一龙,"朱一龙代言可口可乐,畅爽好喝 让此刻更带劲,可口可乐 n个带劲时刻,欢聚可口，快乐可期,亲爱的自己片花",0,0,0,2020-05-18 20:06,朱一龙超话,,"http://f.video.weibocdn.com/003c3mYTgx07DmAR5anB010412004q5I0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1589807232&ssig=jPki5hyapC&KID=unistore,video",
4506025158390392,J2wJZzcIU,5340927560,missveve,#朱一龙亲爱的自己#🌟#朱一龙陈一鸣#🌟#电视剧亲爱的自己#🌟#亲爱的自己片花#愿有人与你共黄昏，有人问你粥可温。期待《亲爱的自己》期待朱一龙陈一鸣@朱一龙20评，谢谢，需回请指路～,,,朱一龙,"朱一龙亲爱的自己,朱一龙陈一鸣,电视剧亲爱的自己,亲爱的自己片花",0,5,0,2020-05-18 20:06,给朱一龙最强应援超话,,,
4506025133032020,J2wJXcILy,6797249429,崔游高级私丶人设计师谦,#朱一龙亲爱的自己#⛄️#朱一龙陈一鸣#🍷#亲爱的自己片花#『朱一龙』陈一鸣你眼里有春和秋，胜过我见过的一切山川河流。期待亲爱的自己！@朱一龙,,,朱一龙,"朱一龙亲爱的自己,朱一龙陈一鸣,亲爱的自己片花",0,0,0,2020-05-18 20:06,电视剧亲爱的自己超话,"['http://ww2.sinaimg.cn/large/007q0z5jly1gewuy6y48kj30u0160q6y.jpg', 'http://ww4.sinaimg.cn/large/007q0z5jly1gewuy7ef8sj30u0140wkd.jpg']",,
4506025104244335,J2wJUhO91,7276980704,唯爱小神仙_L,#亲爱的自己片花##电视剧亲爱的自己##朱一龙亲爱的自己##朱一龙陈一鸣#终于看到陈一鸣的首版片花了，好开心，希望早日播出，不要学隔壁叛逆的启子啊！一个高糊片花放了半年，朱一龙先生，加油加油加油，我们一直在@朱一龙L微博电视剧的微博视频,,,朱一龙,"亲爱的自己片花,电视剧亲爱的自己,朱一龙亲爱的自己,朱一龙陈一鸣",0,1,0,2020-05-18 20:06,朱一龙超话,,"http://f.video.weibocdn.com/CRbq5ytLlx07Dmt532h201041200aNsc0E010.mp4?label=mp4_ld&template=632x360.25.0&trans_finger=bdef57f06ae52835a2c783ca389e8517&Expires=1589807189&ssig=4fGzUqsOXb&KID=unistore,video",
