id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4506016290789558,J2wvH3joO,2114709872,移动手机报,【#南京奸杀女童案犯罪嫌疑人被批捕#，曾奸杀女童5年前又犯强奸罪】日前，南京市检察院对单某龙涉嫌强奸、故意杀人一案作出批捕决定。今年5月7日，南京一名9岁女童被害后藏尸山中。嫌疑人单某已被抓。单某曾因犯强奸罪、故意杀人罪被判10年，于2013年释放。2015年再次因犯强奸罪，被判2年7个月。#侵害儿童权益该判处死刑的坚决判处#L澎湃新闻的微博视频@澎湃新闻,,,澎湃新闻,"南京奸杀女童案犯罪嫌疑人被批捕,侵害儿童权益该判处死刑的坚决判处",0,0,0,2020-05-18 19:31,微博 weibo.com,,"http://f.video.weibocdn.com/H8YRr6Smlx07D8ivvPS801041200jGhV0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1589805075&ssig=lx9zBWVYMu&KID=unistore,video",
4506016169973867,J2wvuFQEP,3624248184,陕西网,【最高法：#对侵害儿童权益案件该判处死刑的坚决判处#】18日，最高人民法院发布7件依法严惩侵害未成年人权益典型案例。最高法表示，对侵害儿童权益的案件中罪行严重、情节恶劣者，该重判坚决依法重判，该判处死刑的坚决依法判处死刑。O最高人民法院发布依法严惩侵害未成年人权益典型案例,,,,对侵害儿童权益案件该判处死刑的坚决判处,0,0,0,2020-05-18 19:30,Android,"['http://ww2.sinaimg.cn/large/d805a378ly1gewtx2oepdj20go0i1ab3.jpg', 'http://ww4.sinaimg.cn/large/d805a378ly1gewtx32plhj20u016rn09.jpg', 'http://ww4.sinaimg.cn/large/d805a378ly1gewtx3p490j20u016rjuo.jpg', 'http://ww3.sinaimg.cn/large/d805a378ly1gewtx40d3mj20u016r0vx.jpg', 'http://ww3.sinaimg.cn/large/d805a378ly1gewtx4f3tkj20u016rtbx.jpg', 'http://ww2.sinaimg.cn/large/d805a378ly1gewtx4qudvj20u016r426.jpg', 'http://ww1.sinaimg.cn/large/d805a378ly1gewtx4ylkgj20u016r0vx.jpg', 'http://ww2.sinaimg.cn/large/d805a378ly1gewtx561vaj20u016r0wf.jpg']",,
4506015784289575,J2wuShZUH,3225494734,贵州民政,#贵州民政身边事#【最高法：#侵害儿童权益该处死刑的坚决判处#】今天，最高人民法院发布7件依法严惩侵害未成年人权益典型案例。最高法表示，对侵害儿童权益的案件中罪行严重、情节恶劣者，该重判坚决依法重判，该判处死刑的坚决依法判处死刑。7件典型案例中有3件强奸案件，尽管未造成未成年被害人死亡或重伤，但具有强奸幼女多人、多次的情节，人民法院仍坚决依法判处死刑立即执行。,,,,"贵州民政身边事,侵害儿童权益该处死刑的坚决判处",0,0,0,2020-05-18 19:29,微博 weibo.com,"['http://ww4.sinaimg.cn/large/c04124cegy1gewlmpfdjrj20j6150tf4.jpg', 'http://ww4.sinaimg.cn/large/c04124cegy1gewlmpcgv1j20j60ttaed.jpg', 'http://ww4.sinaimg.cn/large/c04124cegy1gewlmpdvhpj20j60kk0vg.jpg', 'http://ww1.sinaimg.cn/large/c04124cegy1gewlmpg8rlj20j60jadic.jpg', 'http://ww3.sinaimg.cn/large/c04124cegy1gewlmpc9zsj20j60jmwgw.jpg', 'http://ww2.sinaimg.cn/large/c04124cegy1gewlmpdopaj20j60p50w8.jpg', 'http://ww4.sinaimg.cn/large/c04124cegy1gewlmpk3aoj20j60lun09.jpg', 'http://ww1.sinaimg.cn/large/c04124cegy1gewlmpjuj1j20j60l2jug.jpg']",,
4506015696250478,J2wuJqe2a,2183542485,西安电视台官方微博,【阿里巴巴“团圆”系统上线四年，找回失踪儿童4385名】#李静芝与被拐32年儿子团圆#今天下午，一场特殊的认亲会在@西安公安进行。在@公安部刑侦局和@陕西公安的持续努力下，时隔32年，2岁8个月时被拐卖的毛寅被成功找回，终于和父母团聚。毛寅是在32年前被拐卖的。1988年10月17日，他在陕西省西安市西大街一酒店门口被拐走，母亲李静芝回忆，“下午六点左右路过酒店，儿子说要喝水，可能就是两三分钟时间，就不见了，当时我脑子一片空白。”此后，李静芝开始了漫漫寻子路，贴出数十万份寻人启事全国找寻。公安机关大范围走访调查目击者和周边群众，并专门赴安徽、山东、山西等地对有关线索进行核查，但均未取得有效进展。2009年，公安部将该案列为督办案件，西安市公安局成立专案组，坚持案件不破专案组不撤，先后组织民警辗转13个省市核查相关线索，查找被拐人员。据公安部介绍，今年4月底，陕西西安警方获取一名四川人多年前曾花6000元收养一个西安儿童的线索后，立即对疑似对象进行筛选摸排，发现四川绵阳男子顾某宁与毛寅高度相似。随即，专案组民警前往四川进行核查，在当地公安机关配合下，经DNA对比确认顾某宁就是32年前被拐的毛寅！时隔32年，毛寅终于回家，得以和父母团聚！令人感动的是，在寻子32年中，李静芝也成为一名打拐志愿者，她将收集到的失踪儿童信息及时提供公安机关，助力打拐工作。西安市公安局根据线索破获相关案件，先后找回4名被拐多年的儿童。2016年5月15日，公安部联合@阿里巴巴推出全国唯一权威互联网打拐平台——公安部儿童失踪信息紧急发布平台（“团圆”系统），通过一键发布、向公众推送失踪儿童信息，开创了全民打拐时代。正式上线运行以来，公安部联合阿里巴巴开发的“团圆”系统已发布4467名儿童的失踪信息，找回儿童4385名，找回率达98.2%，被网友称为“打拐神器”。团圆系统开创了利用新媒体和移动应用终端发动群众协助公安机关破获拐卖案件、找回失踪被拐儿童的新手段，是公安机关依靠群众、警民联手查找失踪儿童的具体措施。希望广大群众继续关注支持打拐反拐工作，为公安机关提供更多线索，争取早日实现天下无拐。目前，“团圆”系统已上线小程序，公众通过支付宝搜索“团圆”可协助警方寻找走失儿童。#侵害儿童权益该判处死刑的坚决判处#,,,"西安公安,公安部刑侦局,陕西公安,阿里巴巴","李静芝与被拐32年儿子团圆,侵害儿童权益该判处死刑的坚决判处",0,0,0,2020-05-18 19:29,nova4自拍极点全面屏,"['http://ww4.sinaimg.cn/large/822636d5ly1gewtv5udayj20m80gon0s.jpg', 'http://ww1.sinaimg.cn/large/822636d5ly1gewtv6agx9j20m80fgdhf.jpg', 'http://ww2.sinaimg.cn/large/822636d5ly1gewtv6kekvj20m80e3jt1.jpg']",,
4506015390061162,J2wuf0fUu,1716478597,傻狍狍大米粒子,#对侵害儿童权益案件该判处死刑的坚决判处#所以怎么不见了当时强奸案底下的理中客“研究显示严刑峻法并不能阻止犯罪”的说法？合着受害者是未成年人（男女都有）的时候知道要保护，受害者是女性的时候就压根不在乎了。,,,,对侵害儿童权益案件该判处死刑的坚决判处,0,0,0,2020-05-18 19:27,iPhone客户端,,,
4506015238032533,J2wtZxHCZ,2415004014,汉台公安,#最高法发布侵害未成年人典型案例#【依法严惩，绝不姑息！】#对侵害儿童权益案件该判处死刑的坚决判处#,,,,"最高法发布侵害未成年人典型案例,对侵害儿童权益案件该判处死刑的坚决判处",0,1,1,2020-05-18 19:27,HUAWEI Mate 10 Pro,"['http://ww2.sinaimg.cn/large/8ff2096ely1gewtt9ci16j20j60rcgoj.jpg', 'http://ww1.sinaimg.cn/large/8ff2096ely1gewtt9lr5dj20j60rcad5.jpg', 'http://ww2.sinaimg.cn/large/8ff2096ely1gewtt9uaikj20j60rctbq.jpg', 'http://ww2.sinaimg.cn/large/8ff2096ely1gewtta27mtj20j60rc41j.jpg', 'http://ww4.sinaimg.cn/large/8ff2096ely1gewttaaf1zj20j60rcadg.jpg', 'http://ww3.sinaimg.cn/large/8ff2096ely1gewttaid8cj20j60rc0vr.jpg', 'http://ww1.sinaimg.cn/large/8ff2096ely1gewttaro34j20j60rctc3.jpg']",,
4506014978022262,J2wtzxEXk,6115031376,小贰酒桉语,#侵害儿童权益该判处死刑的坚决判处#这种恶魔必须严惩！,,,,侵害儿童权益该判处死刑的坚决判处,0,0,0,2020-05-18 19:26,猪猪贰🧡Android,,,
4506014181125674,J2wsi4IQ2,5337080448,可爱的万能人,#侵害儿童权益该判处死刑的坚决判处#恋童癖强奸犯都不是人是畜生建议死刑,,,,侵害儿童权益该判处死刑的坚决判处,0,0,0,2020-05-18 19:23,OPPO A5,,,
4506013964065235,J2wrWh3yj,6526411396,沁沁的五姑娘,#侵害儿童权益该判处死刑的坚决判处#本来就应该要判死刑，想想那些人做的事吧，对一个小孩子都可以下狠手，简直就是没有人性，既然是没有人性的人，为什么要让他活着到处再去祸害人全力支持,,,,侵害儿童权益该判处死刑的坚决判处,0,0,0,2020-05-18 19:22,OPPO Reno,,,
4506013611270124,J2wrn5kpS,6934352937,金jennie的老婆,#侵害儿童权益该判处死刑的坚决判处#鲍疏明死了吗？没有，真遗憾,,,,侵害儿童权益该判处死刑的坚决判处,0,0,0,2020-05-18 19:20,小米8周年旗舰手机,,,
