id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4506007785430832,J2whYmMO4,5874727670,爱吃蒜苗的派大星,#加州大学伯克利分校二次元毕业典礼#这个看着好好玩呀！！好有创意！,,,,加州大学伯克利分校二次元毕业典礼,0,0,0,2020-05-18 18:57,红脚脚小分队超话,,,
4506007693682771,J2whPfs3x,2088391585,AOI葵_那些淌过黑暗河流的花与水,#加州大学伯克利分校二次元毕业典礼#酸了,,,,加州大学伯克利分校二次元毕业典礼,0,0,0,2020-05-18 18:56,nova 5i Pro,,,
4506007663884555,J2whMgiy7,5637346033,四川农业大学农学院,#加州大学伯克利分校二次元毕业典礼#国内的高校也可以借鉴呀，很棒的创意。。,,,,加州大学伯克利分校二次元毕业典礼,0,0,0,2020-05-18 18:56,前置双摄vivo X9s,['http://ww2.sinaimg.cn/large/0069vJe1ly1gewsxzczklj309q0abt8u.jpg'],,
4506007647070099,J2whKtFfR,6478869102,judy麻麻521,#加州大学伯克利分校二次元毕业典礼#有创意👍,,,,加州大学伯克利分校二次元毕业典礼,0,0,1,2020-05-18 18:56,朱正廷的珍珠糖,,,
4506007620994757,J2whI4aMt,5941321844,我不会流眼泪的,#加州大学伯克利分校二次元毕业典礼#牛逼,,,,加州大学伯克利分校二次元毕业典礼,0,0,0,2020-05-18 18:56,vivo智能手机,,,
4506007479148221,J2whtCnRX,5569896798,给小倪摘颗星星,#加州大学伯克利分校二次元毕业典礼#这个好好玩儿啊，游戏模式很阔以，但是我还是想拥有自己的毕业照，恰好今年毕业，和毕业照没有缘分了。,,,,加州大学伯克利分校二次元毕业典礼,0,0,0,2020-05-18 18:56,橙土飞扬超话,,,
4506007445795343,J2whqojDh,7217361952,走心金句,#加州大学伯克利分校二次元毕业典礼#疫情期间，只能这样，没办法啊L走心金句的微博视频,,,,加州大学伯克利分校二次元毕业典礼,0,6,3,2020-05-18 18:56,,,"http://f.video.weibocdn.com/001Tb6FFgx07DmUUb0qI010412004kK50E010.mp4?label=mp4_ld&template=360x640.24.0&trans_finger=81b11b8c5ffb62d33ceb3244bdd17e7b&Expires=1589803021&ssig=1CCPYwHUwD&KID=unistore,video",
4506007425121528,J2wholuli,5123579226,与肖兔兔同在,#加州大学伯克利分校二次元毕业典礼#这游戏还能这么用，厉害了，哈哈哈哈哈,,,,加州大学伯克利分校二次元毕业典礼,0,0,0,2020-05-18 18:56,前后2000万 OPPO R11,,,
4506007251915473,J2wh782iJ,3787435937,佛性声控小迷妹_,#加州大学伯克利分校二次元毕业典礼#好有创意啊！一个特别的毕业典礼还好哈哈哈哈哈哈！好好玩的亚子,,,,加州大学伯克利分校二次元毕业典礼,0,0,5,2020-05-18 18:55,热搜圈超话,,,
4506007160030911,J2wgY082z,7405305439,来一杯快乐源泉水,#加州大学伯克利分校二次元毕业典礼#顺便在评论里看见了好多Berkeley的学生,,,,加州大学伯克利分校二次元毕业典礼,0,0,0,2020-05-18 18:55,快乐源泉水Android,,,
4506006740046180,J2wgi0c0Q,6131839045,空心菜就是去看,#加州大学伯克利分校二次元毕业典礼#太好玩了吧哈哈哈哈哈哈,,,,加州大学伯克利分校二次元毕业典礼,0,0,0,2020-05-18 18:53,vivo X23 AI非凡摄影,,,
4506006396828113,J2wfJsEiR,1913366611,河北综合广播,#加州大学伯克利分校二次元毕业典礼#【“二次元”毕业典礼安排上了！】受疫情影响，美国各大学的毕业典礼无法正常举行。加州大学伯克利分校的学生们想了个办法，在游戏里复制整个校园，举行二次元毕业典礼。（小央视频）L小央视频的秒拍视频,,,,加州大学伯克利分校二次元毕业典礼,0,0,0,2020-05-18 18:52,iPhone客户端,,"http://miaopai.video.weibocdn.com/OyevsEKMlx07DmBZ6rcA01041200exhk0E013.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1589803027&ssig=S2fv7OHyow&KID=unistore,video",
4506006325233992,J2wfClXBe,2002549363,保定校园,#加州大学伯克利分校二次元毕业典礼##小保聊聊#如果你的毕业典礼无法正常举行你希望毕业典礼会是什么形式呢？小保觉得还是延期举行吧毕业典礼形式,,,,"加州大学伯克利分校二次元毕业典礼,小保聊聊",0,0,1,2020-05-18 18:51,,,,
4506006174367602,J2wfnikdc,1837737815,Akanishi_M,#加州大学伯克利分校二次元毕业典礼#这个看起来还挺有意思的哈哈哈哈哈哈哈哈,,,,加州大学伯克利分校二次元毕业典礼,0,0,0,2020-05-18 18:51,白粥的许魏洲FanClub,,,
4506006104039440,J2wfggWQg,5171356283,辣椒酱很甜的,#加州大学伯克利分校二次元毕业典礼#其实这个创意很不错啊还很有趣MC果然是世界的游戏,,,,加州大学伯克利分校二次元毕业典礼,0,0,1,2020-05-18 18:50,深深的小酒窝呀超话,,,
4506006069047918,J2wfcBXMa,1854570915,青年报,【吉林#舒兰高三学生全面接受核酸检测#】为确保高三学生能健康安全参加高考，吉林舒兰市从今天开始，对全市3005名高三学生全面开展核酸检测，做到检测免费，应检尽检，不漏一人。此前已做过核酸检测的学生，需在网上向所在学校提交检测报告。高一高二和初三学生的核酸检测工作也在计划中。@央视新闻#加州大学伯克利分校二次元毕业典礼#,,,央视新闻,"舒兰高三学生全面接受核酸检测,加州大学伯克利分校二次元毕业典礼",0,0,0,2020-05-18 18:50,微博 weibo.com,['http://ww4.sinaimg.cn/large/6e8a81a3gy1gewsr5ufqsj20j60asgnb.jpg'],,
4506005914559011,J2weXj80r,5542877066,艾克维斯top,#加州大学伯克利分校二次元毕业典礼#这个好,,,,加州大学伯克利分校二次元毕业典礼,0,0,0,2020-05-18 18:50,iPhone客户端,,,
4506005357422954,J2we3v934,1695004724,华农微博协会,#加州大学伯克利分校二次元毕业典礼#你的毕业典礼又是什么样的呢？今年，你的毕业典礼怎么举行呢？期待毕业典礼吗？,,,,加州大学伯克利分校二次元毕业典礼,0,0,0,2020-05-18 18:47,nova4自拍极点全面屏,,,
