id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4506023371652604,J2wH76VUU,1887312183,种斌Marco,#华为回应美国限制升级#华为经历了这么多应该是对于这种状况也是9在意料之中，跑的快了总会被人嫉妒的，做好自己是现在华为重中之重，相信大风大浪都过来的任正非对还是能够镇的住场子的！只要华为内部不乱这些都是暂时的困难！,,,,华为回应美国限制升级,0,0,1,2020-05-18 19:59,热心吃瓜群众,,,
4506023052650629,J2wGBb7y5,2196899474,武汉三镇旅游圈,#华为回应美国升级限制#【华为：面对长期的不定制裁华为会做好应对】华为轮值董事长郭平表示，去年我们增加了30%研发投入用于“补洞”，包括写了新的代码和开发新的单板等等，付出了很多努力和代价。面对长期的不定制裁，我们相信会做好应对。O华为：面对长期的不定制裁华为会做好应对,,,,华为回应美国升级限制,0,0,0,2020-05-18 19:57,nova7Pro你在焦点在,['http://ww4.sinaimg.cn/large/82f20692gy1gewuplxbfzj21400sewgy.jpg'],,
4506022494588589,J2wFHjfHv,2801287904,四川监狱,#华为回应美国升级限制#【#华为强烈反对美国升级封杀#：将受巨大影响，有信心找到解决方案】5月18日，华为轮值董事长郭平在华为分析师大会上表示，美国商务部又针对华为修改了直接产品规则，华为业务将不可避免地会受到巨大的影响，但这一年的磨炼也让我们皮糙肉厚，我们有信心能够尽快找到解决方案。华为发布声明称，华为强烈反对美国商务部仅针对华为的直接产品规则修改，本次规则修改影响的不仅仅是华为一家企业，更会给全球相关产业带来严重的冲击，最后伤害的是美国自己的利益。#华为回应美国升级限制#@老板联播L老板联播的微博视频@法治四川,,,"老板联播,法治四川","华为回应美国升级限制,华为强烈反对美国升级封杀",0,0,1,2020-05-18 19:55,HUAWEI Mate 9,,"http://f.video.weibocdn.com/003igFiLgx07DmM60ata010412006AHe0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=bdef57f06ae52835a2c783ca389e8517&Expires=1589806769&ssig=cSNtD3itaP&KID=unistore,video",
4506021417281109,J2wDXuy9f,5645756008,价值投资日志,【韩媒：华为海思芯片设计技术转让？无论谁接手都可能遭到美国打击】5月15日，美国商务部宣布正在修改一项出口规则，意图加强对华为出口半导体的管制措施，打击华为的芯片供应链。BusinessKorea报道指出，三星电子和SK海力士对这一举动保持着警惕。根据美国正在修改的出口规则，只要外国公司使用了美国芯片制造技术或设备，就必须获得美国政府的许可，才能向华为及其附属公司提供芯片。在这一方面，向华为供应DRAM和NAND闪存的三星电子和SK海力士将受到一定影响。不过韩媒指出，美国的针锋相对不太可能会威胁到韩国半导体公司与华为的业务，因为三星、SK海力士可以通过获得美国政府的许可证，继续向华为供应芯片。一些行业专家表示，整个存储半导体产业的压力将是有限的。然而相比之下，台积电和中国大陆的无晶圆厂和代工企业预计将受到打击。报道指出，美国此举预计将让华为难以通过台积电大规模生产高端的麒麟处理器，即便华为转单中芯国际，但中芯国际最先进工艺仅是14nm制程，不能满足华为需求。而同样拥有5纳米技术的三星电子则受困于美国管制措施，无法为华为生产芯片。值得一提的是，华为轮值董事长徐直军在3月份接受外国媒体采访时表示:“华为还能从韩国三星、中国台湾联发科、紫光展锐等公司购买芯片来生产手机。”但目前尚不清楚华为是否会真的从这些公司购买AP。另外，一些分析人士表示，华为海思正在寻找自救出路，包括将芯片设计技术转让给紫光展锐，但美国政府的下一个目标极有可能是紫光集团。这意味着，美国围剿计划似乎还没有结束。#台积电回应停止华为订单##华为回应美国升级限制#,,,,"台积电回应停止华为订单,华为回应美国升级限制",7,1,7,2020-05-18 19:51,iPhone X,['http://ww4.sinaimg.cn/large/006a512Mgy1gewuho3mxij30g6092jtb.jpg'],,
4506021206778702,J2wDCsrrU,1221077845,bigskong,#华为回应美国升级限制#大不了禁止美国芯片cpu进入中国市场，印度也不是iphone最大消费国啊，不用高通骁龙也能用智能手机啊,,,,华为回应美国升级限制,0,2,0,2020-05-18 19:50,联想Z6 Pro·一录精彩,,,
4506021097640649,J2wDrw3Gh,2975727455,广怪路离,#华为回应美国升级限制#国内快点发展半导体工艺吧,,,,华为回应美国升级限制,0,0,0,2020-05-18 19:50,荣耀9青春版 全屏四摄,,,
4506020921880311,J2wDa7T9B,2491450071,大大城小爱,#华为回应美国升级限制#支持华为，就是支持中国的高新科技产业！咱们自己国内怎么竞争都可以！但是美国故意欺负咱们就是不可以！,,,,华为回应美国升级限制,0,0,0,2020-05-18 19:49,大大城小爱超话,,,
4506020816821803,J2wCZsCF5,6494754617,新华日报财经,【#华为回应美国升级限制#我们有信心找到解决方案】5月18日，在华为2020全球分析师大会上，华为轮值董事长郭平回应了美国升级限制。郭平称：在美国新规下，华为业务不可避免的受到影响，我们有信心尽快找到解决方案。其实我们一直不理解，持续打压华为公司，到底给世界带来了什么。L知视频的微博视频,,,,华为回应美国升级限制,0,0,0,2020-05-18 19:49,微博 weibo.com,,"http://f.video.weibocdn.com/00116WPCgx07DmOMQ8dx010412005WH70E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=bdef57f06ae52835a2c783ca389e8517&Expires=1589806744&ssig=mtpyqOPJW8&KID=unistore,video",
4506020783504273,J2wCWeHCx,2131469057,落樱下的梦,#华为回应美国升级限制#美国真的超级不要脸了，不讲任何规则，到这个份儿上还捧美国臭脚的就是纯粹的坏,,,,华为回应美国升级限制,0,0,1,2020-05-18 19:48,iPhone客户端,,,
4506019885900981,J2wBuoL77,1585779670,大女王姐姐,#华为回应美国升级限制#某个大国可真有意思，几次三番地举全国之力对付我们一个民企，你丫累不？丢人不？,,,,华为回应美国升级限制,0,2,1,2020-05-18 19:45,HUAWEI Mate 9 Pro,,,
4506019659561626,J2wB7E7pM,2737950040,摄影师韩明龙,除了胜利，我们已经无路可走#华为回应美国升级限制#华为尚未做出正式回应，但5月16日，华为心声社区发布了一条题为“没有伤痕累累，哪来皮糙肉厚，英雄自古多磨难”！世界上最强，最发达的美国动用国家力量对中国一个企业下死手，这说起来好像笑谈、但现实却真实在上演、华为你不管未来多难，什么结果都值得书写了历史的华彩篇章，任总缔造了别人难以超越的传奇@任正非,,,任正非,华为回应美国升级限制,0,1,1,2020-05-18 19:44,iPhone XS Max,['http://ww4.sinaimg.cn/large/a331cd58ly1gewu5he2ahj20dw0c60tx.jpg'],,
4506019416410703,J2wAJqTIr,2084741627,锐意V,#华为回应美国升级限制#反正我经换华为了！,,,,华为回应美国升级限制,0,0,0,2020-05-18 19:43,HUAWEI P30 Pro,,,
4506019285317811,J2wAwmjp9,5548638342,请叫我了不得,#华为回应美国升级限制#那些美国的舔狗，华为如果倒下，后果不是一家公司，而是整个国家的战略，跪舔美国你们有什么好处？抹黑中国你们就能变成美国狗了？你们只是美国的🐷,,,,华为回应美国升级限制,0,3,14,2020-05-18 19:43,,,,
4506019211119352,J2wAp4Hc4,2134428050,梧桐树对金凤凰,#华为回应美国升级限制#时到如今，国家层面该出手了。【华为：面对长期的不定制裁华为会做好应对】华为轮值董事长郭平表示，去年我们增加了30%研发投入用于“补洞”，包括写了新的代码和开发新的单板等等，付出了很多努力和代价。面对长期的不定制裁，我们相信会做好应对。,,,,华为回应美国升级限制,0,0,3,2020-05-18 19:42,荣耀20 PRO,,,
4506018816877985,J2wzLsRhf,1771878003,深房大彬,美国真的跟中国的深圳、南山、粤海街道办、华为杠上了。以往的每次危机，都能让深圳更上一层楼，希望这次也不要例外。深圳除了房地产行业逆势上涨外，其他大部分行业还是受不小影响的…#台积电回应停止华为订单##华为回应美国升级限制#,,深圳,,"台积电回应停止华为订单,华为回应美国升级限制",0,0,3,2020-05-18 19:41,,,,
4506018215910762,J2wyNoNES,1771445835,早安少女乀2013,#华为回应美国升级限制#华为的产品确实不错，华为必胜O网页链接,,汕头,,华为回应美国升级限制,0,0,1,2020-05-18 19:38,荣耀 9X PRO,,,
4506017843716057,J2wycfAIp,5539627666,刘渊俊,#华为回应美国升级限制#华为加油，要是你真挺不住了，我作为中国人会全力支持你的,,,,华为回应美国升级限制,0,0,1,2020-05-18 19:37,iPhone客户端,,,
4506017805654503,J2wy8nIZF,1211862501,Linlin要快乐噢,#华为回应美国升级限制#华为表示会做好更好的应对。#中国移动拿去年全年利润投资5g#中国企业奥利给,,,,"华为回应美国升级限制,中国移动拿去年全年利润投资5g",0,0,1,2020-05-18 19:37,快乐养猫超话,,,
