id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4506003707900804,J2wbox9mk,7063871198,每日纪录片精选,法国卢浮宫博物馆，堪称四大博物馆之首，随处一指的稀世珍宝：蒙娜丽莎、断臂女神维纳斯、胜利女神、汉谟拉比法典等，单是卢浮宫本身的建筑，就是一件完美的艺术品。卢浮宫可以说是从内到外的艺术品，正常期间年接纳游客可达千万。第一视角感受下卢浮宫之宏伟吧~#博物馆在移动518文创节#..L每日纪录片精选的微博视频,,,,博物馆在移动 518文创节,0,0,0,2020-05-18 18:41,微博 weibo.com,,"http://f.video.weibocdn.com/FPh6liNKlx07DmFZ4u1W0104120gcMnS0E060.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=bdef57f06ae52835a2c783ca389e8517&Expires=1589802474&ssig=KTGrU%2B8acz&KID=unistore,video",
4506001908724943,J2w8uABKT,2003954855,咪咕圈圈,【首个5.18文创节诞生！薇娅等知名主播担任文化传承官】🎉一句话时间就卖出火箭的文创节推荐官⭐️薇娅⭐️来啦！🎊她将给#博物馆在移动 5·18文创节#带来什么样的惊喜呢！？👏今晚20:00-24:00，一起去她的直播间揭晓吧！👉O网页链接#博物馆在移动518文创节#,,,,"博物馆在移动 5·18文创节,博物馆在移动 518文创节",0,0,0,2020-05-18 18:34,微博 weibo.com,['http://ww3.sinaimg.cn/large/7771eca7gy1gews8yuuw1j20u01hc4qp.jpg'],,
4506000596073503,J2w6nptZJ,1107560787,原烽_BOE,BOE智慧文博解决，值得仔细观摩#博物馆在移动518文创节##国际博物馆日#L原烽_BOE的微博视频,,,,"博物馆在移动 518文创节,国际博物馆日",1,0,1,2020-05-18 18:28,boe超话,,"http://f.video.weibocdn.com/wBzAzrW2lx07DmT2jh0Q01041200at0y0E010.mp4?label=mp4_ld&template=624x360.25.0&trans_finger=bdef57f06ae52835a2c783ca389e8517&Expires=1589802474&ssig=g05%2BWtuCIy&KID=unistore,video",
4506000331503358,J2w5X6j5I,3038449197,真実_冗談,#博物馆在移动518文创节#连淮伟一起来,,,,博物馆在移动 518文创节,0,0,0,2020-05-18 18:27,iPhone客户端,,,
4505996879396573,J2w0nDqtD,2702372421,HDXCharming,#世界读书日##博物馆在移动518文创节#时隔好几个月，终于在世界博物馆日又来@泉州海外交通史博物馆和泉州博物馆啦!海交馆新的展是我喜欢的敦煌i了i了,,,泉州海外交通史博物馆,"世界读书日,博物馆在移动 518文创节",0,0,0,2020-05-18 18:14,Samsung Galaxy S8+,"['http://ww1.sinaimg.cn/large/a112ee45gy1gewrnfe302j23402c01kz.jpg', 'http://ww4.sinaimg.cn/large/a112ee45gy1gewrnizn11j22c02c0hcc.jpg', 'http://ww3.sinaimg.cn/large/a112ee45gy1gewrnpt7lyj23401ignpe.jpg', 'http://ww3.sinaimg.cn/large/a112ee45gy1gewro19dvnj21ig3404qr.jpg', 'http://ww4.sinaimg.cn/large/a112ee45gy1gewro3g46ij23401ig4qq.jpg', 'http://ww4.sinaimg.cn/large/a112ee45gy1gewrokcpo6j21ig340hdu.jpg', 'http://ww3.sinaimg.cn/large/a112ee45gy1gewrnutwapj22651g1e82.jpg', 'http://ww3.sinaimg.cn/large/a112ee45gy1gewrnwhvhuj22c02c01ky.jpg', 'http://ww1.sinaimg.cn/large/a112ee45gy1gewrnyynnfj21z31be7wi.jpg']",,
4505996044963990,J2vZ2kPmm,6973637384,精彩菏泽人,博物馆成为人类历史的一部分，已有2000多年的历史了-但它们并不总是像我们今天参观的博物馆一样。这是一段博物馆的发展过程，这是一段关于我们为什么要有博物馆的述说。#博物馆在移动518文创节#L咪姐带你看世界的微博视频,,,,博物馆在移动 518文创节,0,0,0,2020-05-18 18:10,历史 · 视频社区,,"http://f.video.weibocdn.com/ESx4ojCqlx07DmpYvI9q01041200wg1k0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=bdef57f06ae52835a2c783ca389e8517&Expires=1589802474&ssig=MA7RLeVQcB&KID=unistore,video",
4505993638131435,J2vV9y7mb,3266073575,中国移动西藏公司,#博物馆在移动518文创节#盛大开启！云逛全国一级博物馆，探寻文物背后的故事，更有博物馆奇妙夜、VR云观展等你来解锁！L中国移动西藏公司的微博视频,,,,博物馆在移动 518文创节,0,0,0,2020-05-18 18:01,微博 weibo.com,,"http://f.video.weibocdn.com/B1HmTSVtlx07DmLx8rcA010412001mEV0E010.mp4?label=mp4_ld&template=360x624.24.0&trans_finger=81b11b8c5ffb62d33ceb3244bdd17e7b&Expires=1589802474&ssig=aifWzRRhnX&KID=unistore,video",
4505993302917820,J2vUCcf3C,1649248821,咪咕阅读,#博物馆在移动518文创节#敦，大也；煌，盛也。国家图书馆X敦煌文创，重磅推出《留·念敦煌》艺术礼盒，还原千年优秀传统文化，带来丰富立体的敦煌文化艺术体验。原价158元，@咪咕中信书店会员0元领>>O网页链接,,,咪咕中信书店,博物馆在移动 518文创节,31,32,31,2020-05-18 17:59,微博 weibo.com,['http://ww2.sinaimg.cn/large/624d8a35ly1gewrakeen7j20ku11qqjm.jpg'],,
4505992341957065,J2vT48d7z,5574206822,焱焱我心,原来失恋也可以成为博物馆的主题，我很好奇来自不同国度的人们究竟怎么样和一段刻苦铭心的过去说再见？钟汉良#钟汉良漫游记#L微博综艺的微博视频#博物馆在移动518文创节#,,,,"钟汉良漫游记,博物馆在移动 518文创节",0,2,5,2020-05-18 17:55,钟汉良超话,,"http://f.video.weibocdn.com/003SLpMWlx07yCTX5ROE01041200fRWE0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1589802474&ssig=SEXbuz55YT&KID=unistore,video",
4505986398529853,J2vJtzN0h,7069919610,咪咕中信书店,#博物馆在移动518文创节#国家图书馆X敦煌文创，重磅推出《留·念敦煌》艺术礼盒：主题绘本、日记本、绘画套装、魔方……还原千年优秀传统文化，为孩子带来丰富、立体的敦煌文化艺术体验。原价158元，咪咕中信会员0元领！O网页链接,,,,博物馆在移动 518文创节,0,0,0,2020-05-18 17:32,专业版微博,['http://ww3.sinaimg.cn/large/007IsF3sly1gewqzfst5vj30ku11qqjm.jpg'],,
4505985513650179,J2vI3fjzR,5518038012,认真想一个名字能过审,#博物馆在移动518文创节#文创！,,,,博物馆在移动 518文创节,0,0,0,2020-05-18 17:28,iPhone客户端,,,
4505965314176993,J2vbthwCR,6134214082,好料三文娱,#薇娅1元卖莲花清瘟香囊#来喽来喽，莲花清疫，百毒不侵的香囊只要一元钱，快来围观吧#博物馆在移动518文创节#链接：O网页链接,,,,"薇娅1元卖莲花清瘟香囊,博物馆在移动 518文创节",0,0,3,2020-05-18 16:08,荣耀20,"['http://ww2.sinaimg.cn/large/006H8xiOgy1gewo2j3eq8j30m80m8wj5.jpg', 'http://ww4.sinaimg.cn/large/006H8xiOgy1gewo2jvqhtj30m80m8dty.jpg', 'http://ww4.sinaimg.cn/large/006H8xiOgy1gewo2kkvzlj30m80m8dpy.jpg', 'http://ww4.sinaimg.cn/large/006H8xiOgy1gewo2laowej30m80m815l.jpg', 'http://ww3.sinaimg.cn/large/006H8xiOgy1gewo2nhz9uj30c80icwq2.jpg', 'http://ww2.sinaimg.cn/large/006H8xiOgy1gewo2o7ctfj30c80fvaiu.jpg']",,
4505964688680814,J2vasAqh8,2241203115,黑龙江移动新业务,博物馆在移动！518文创节开幕！,,,,,0,0,0,2020-05-18 16:06,微博 weibo.com,['http://ww4.sinaimg.cn/large/85960bably1gewo06iytjj20u05q5qva.jpg'],,
