id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4506007713930639,J2whRguxp,5868418959,火社两块钱的菜,#性单恋是怎样的感受#不希望回应回应就会厌烦！不是很了解#另一个香港#香港是中国的就是作个底朝天也只属于中国,,,,"性单恋是怎样的感受,另一个香港",0,0,0,2020-05-18 18:56,Google Pixel 3 XL,,,
4506007709400805,J2whQDrzT,1795333905,学医救不了美国人,#另一个香港#废青和软骨头跪族洋犬是想回到这个时候吧！也许他们永远不想中国人站起来！#警惕颜色革命#L学医救不了美国人的微博视频,,,,"另一个香港,警惕颜色革命",0,0,0,2020-05-18 18:56,HUAWEI P20 Pro,,"http://f.video.weibocdn.com/001TsbQagx07DmUYCmFW010412001yDe0E010.mp4?label=mp4_hd&template=480x852.24.0&trans_finger=7c347e6ee1691b93dc7e5726f4ef34b3&Expires=1589803022&ssig=VXBhngo7QD&KID=unistore,video",
4506007612580198,J2whHaPe6,5585262192,徐东gogo,#另一个香港#教育问题影响的可不是一代人啊，是几代人，这个问题不解决，香港还会乱,,,,另一个香港,0,0,0,2020-05-18 18:56,OnePlus 5,,,
4506007609499811,J2whGDRkL,1144073813,小白白白白喵,#另一个香港#人教版课本安排上，从小开始教育,,,,另一个香港,0,0,0,2020-05-18 18:56,荣耀9青春版 全屏四摄,,,
4506007554612763,J2whBjlZp,6438493757,当个吃瓜群众,#另一个香港#现在安定了吧？,,,,另一个香港,0,0,0,2020-05-18 18:56,荣耀手机 勇敢做自己,,,
4506007457828408,J2whrwQwE,7393153216,泡芙游星,#另一个香港#希望对于暴乱的事情可以早日平息，还香港居民一个安定和谐的生活空间，还有香港是中国的香港，关于HK的教育也要留意，孩子要从小教育培养正确的价值观和对祖国的认知很重要,,,,另一个香港,0,0,0,2020-05-18 18:56,,,,
4506007416323501,J2whnqx1X,6457245153,爱鹿米舛,#另一个香港#意识形态从小抓起，尤其是目前越来越发达的网络世界。,,,,另一个香港,0,0,0,2020-05-18 18:56,荣耀8青春版 颜值担当,,,
4506007381782885,J2whk7tOd,5123929768,BinGjimmy,#另一个香港#香港人弱智,,,,另一个香港,0,0,0,2020-05-18 18:56,iPhone客户端,,,
4506007327984163,J2whexv2P,2468805814,emmKITYAN,#另一个香港#挺好的，你们乱，中国统一进程就更进一步。,,,,另一个香港,0,0,0,2020-05-18 18:56,OPPO Reno,,,
4506007315367565,J2whdmwlD,6339582025,琰儿gg,#另一个香港#真的觉得一个人拥有独立的人格和判断很重要不会轻易的被别人洗脑,,,,另一个香港,0,0,2,2020-05-18 18:56,iPhone XR,,,
