id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4506022482272367,J2wFG9x95,3122136002,SH519818,#台积电回应停止华为订单#FakeNew！！官媒出来辟谣的话，估计明天又可能峰回路转,,,,台积电回应停止华为订单,0,1,0,2020-05-18 19:55,OPPO随光而变R17,"['http://ww3.sinaimg.cn/large/ba1803c2gy1gewuls3f9pj20w01kwado.jpg', 'http://ww1.sinaimg.cn/large/ba1803c2gy1gewulsr2qxj20w01kwdl6.jpg']",,
4506018551332968,J2wzl5ALu,2032628220,张道达,#道达投资手记#昨晚的文章，我们提到了美国对华为施压的事情。今天，这一事件似乎升级了。据报道，世界最大的半导体代工企业台积电已经停止接受华为技术的新订单。原因是美国5月15日强化了事实上的针对华为的禁运措施。对于这个消息，台积电今天的回应是，已停止向华为提供新订单的报道“纯粹是市场传言”。台积电这个回应，其实也很有意思，他们只说“纯粹是市场传言”。但“传言”和大家所理解的“谣言”，也有本质的区别。如果是“谣言”，那么就是虚假的消息。但是如果是“传言”，则可能是真的，也可能是假的，只是没有官方途径的正式说法，所以是“传言”。华为又一次发声了。今天，华为轮值董事长郭平在华为第17届全球分析师大会上表示，针对美国升级对华为限制，我们有信心尽快找到解决方案。郭平还表示，美国对华为的打压，影响的不仅仅是华为，也会让这些使用华为产品和服务的客户和消费者体验受到伤害。如果美国政府允许，我们仍然会继续购买美国公司的产品。我们也会更加关怀和培育其他的供应商，共同成长、共同创新，构建更有竞争力的供应链。达哥对此还是非常的佩服，因为华为的回应没有怨天尤人，反而彰显了他们的气魄、自信和责任心。中国的高科技，要想有更加快速的发展壮大，确实需要更多华为这样的企业站出来。关注公*众*号“道达号”，及时阅读达哥的投资手记。O华为受压制，苹果的日子也不好过——道达投资手记,,,,道达投资手记,1,0,2,2020-05-18 19:40,微博 weibo.com,"['http://ww4.sinaimg.cn/large/792771fcgy1gewta3i1snj20ez08s0vf.jpg', 'http://ww3.sinaimg.cn/large/792771fcgy1gewta3glwej20e909vmxe.jpg']",,
4506017494885601,J2wxDkuY1,5708319340,执月心,#台积电回应停止华为订单#台积电，没办法百分百信任，华为应该早做应对！,,,,台积电回应停止华为订单,0,0,0,2020-05-18 19:35,vivo X20全面屏手机,,,
4506013887191691,J2wrOuaT1,3140752367,粤港澳-大湾区,#台积电回应停止华为订单#纯粹是市场传言。,,,,台积电回应停止华为订单,0,0,0,2020-05-18 19:21,iPhone客户端,['http://ww1.sinaimg.cn/large/bb3413efly1gewtnps7nvj20yi1c51kx.jpg'],,
4506013850771439,J2wrL3eGz,1556349391,漫长岁月,#台积电回应停止华为订单#，纯粹是市场传言。中国的企业干嘛限制中国的企业，台积电，你们要有骨气，和华为合作是双赢，否则就是耻辱柱。L老板联播的微博视频,,,,台积电回应停止华为订单,0,0,3,2020-05-18 19:21,iPhone客户端,,"http://f.video.weibocdn.com/0012cS4jgx07DmGfIrEA0104120082Jc0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=bdef57f06ae52835a2c783ca389e8517&Expires=1589806914&ssig=DwR3KTJbW2&KID=unistore,video",
4506010046098749,J2wlCpAyV,2130000212,mp34567,#台积电回应停止华为订单#解放台湾岛，国有台积电,,,,台积电回应停止华为订单,0,0,6,2020-05-18 19:06,HUAWEI Mate 10,,,
4506009982295257,J2wlw9D6h,2357213493,虎嗅APP,#台积电回应停止华为订单#【台积电真的放弃华为了吗？】事态继续升级。5月15日，美方宣布针对华为的禁令再次延期90天，但与此同时，美国商务部工业与安全局（BIS）在北京时间5月15日晚间发布公告称，最新修改的《外国直接产品规则（FDPR）》已经获准通过，要求厂商将使用了美国的技术或设计的半导体芯片出口给华为时，必须得到美国政府的出口许可证，即使是在美国以外生产的厂商也不例外。这意味着，无论是否美国企业，只要在产品中使用了美国技术，向华为出口时都需要许可证。任何与华为有合作关系的上下游企业，美国都将监管并且有一刀切的可能，比如，美国可以禁止台积电为华为提供代工服务，不管来自美国的技术占比如何。台积电与华为这两家公司，再次成为风暴眼。O台积电真的放弃华为了吗？,,,,台积电回应停止华为订单,6,19,17,2020-05-18 19:06,微博 weibo.com,['http://ww4.sinaimg.cn/large/8c803935ly1gewt7fn7cmj20m80ciwf1.jpg'],,
4506009266321841,J2wkmqwBb,5323216117,mj微风,华为郭平：美国的无线设备商，没有一个是华为的对手。郭平称，统一的标准体系对产业发展极其重要，美国搞出了太多的独立标准，导致美国无线运营商目前没有人是华为对手。#美国所有无线设备商都不是华为的对手##台积电回应停止华为订单##微风看世界#Lmj微风的微博视频,,,,"美国所有无线设备商都不是华为的对手,台积电回应停止华为订单,微风看世界",1,0,0,2020-05-18 19:03,红米Redmi,,"http://f.video.weibocdn.com/004gREOIgx07DmVoXfVK010412004Dqq0E010.mp4?label=mp4_ld&template=636x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1589806905&ssig=qp63IEk1Mx&KID=unistore,video",
4506008497605820,J2wj7vUCw,1747366741,网眼八分斋,【舆情观察室：崔永元造谣钟南山】#台积电回应停止接受华为订单##方方##钟南山##屠呦呦#感染过152万，死亡快10万，特朗普一边让改口径一边解雇监察长；武汉10天检测1000万，美英两个月检测没超广东，牛皮照吹；华为不惧美国追杀，自立更生背水一战；美太空军量旗帜转移视线日宇宙作战队高调被调侃；郎咸平传谣屠呦呦崔永元造谣钟南山，网友狂扁；纽约时报贴“民族英雄”给方方，武汉大学“屁大点事”陈国恩，一地鸡毛……戳视频。L网眼八分斋的微博视频,,,,"台积电回应停止接受华为订单,方方,钟南山,屠呦呦",5,11,32,2020-05-18 19:00,深度报道 · 视频社区,,"http://f.video.weibocdn.com/0012WMjYgx07DmN9cN7q01041200hTcZ0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=bdef57f06ae52835a2c783ca389e8517&Expires=1589806914&ssig=xIG4VkbTq%2F&KID=unistore,video",
4506007781323327,J2whY5yfZ,5277483258,瀚海恒沙,#台积电回应停止华为订单#没啥可怕。工艺技术什么的，只是雕虫小技。芯片技术是有尽头的。目前中国已经可以生产10nm芯片。同国外最先进的7nm和5nm差距极小，仅两到三年的差距。如果美国真的完全封锁华为，那么中国也可以对苹果等手机封锁市场三到五年。三年后中国已经可以自主生产7nm芯片。,,,,台积电回应停止华为订单,0,2,2,2020-05-18 18:57,荣耀7X 全面屏手机,,,
