id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4506014382656938,J2wsCb9bQ,6380460058,YOUNG丶9527,#四川江油黑熊咬死3村民#作为当地人，听到婆婆说，他们以前住到山里面，真的很吓人，不仅有熊，还有豹子，晚上叫起来真的很吓人。希望把剩余的熊找到击毙，让村民安心一点,,,,四川江油黑熊咬死3村民,0,0,0,2020-05-18 19:23,HUAWEI P10,,,
4506014337432149,J2wsxvbrn,3838172001,尊声静听,#四川江油黑熊咬死3村民#可怜而伟大的母亲，被黑熊咬还让孩子快走，希望在保护动物的同时也能想办法保护人民的人身安全,,,,四川江油黑熊咬死3村民,0,0,0,2020-05-18 19:23,OPPO随光而变R17,,,
4506014311371730,J2wsv5KQG,6583244041,橘蒟柔荑,#四川江油黑熊咬死3村民#想到前几天淼叔那个日本北海道棕熊案，好可怕，一般的熊不会此人，但是吃过人的熊就会对人肉念念不忘,,,,四川江油黑熊咬死3村民,0,0,0,2020-05-18 19:23,微博国际版,,,
4506013716460435,J2wrxr6Ez,5605018903,小陈家的猫,#四川江油黑熊咬死3村民#我说真的，吃过人的动物绝对不能留,,,,四川江油黑熊咬死3村民,0,0,0,2020-05-18 19:21,HUAWEI P20,['http://ww1.sinaimg.cn/large/0067k5sHgy1gewtmzy8fmj30u01qc0zy.jpg'],,
4506013455892794,J2wr7oIZ4,3256449401,风雪不误你,#四川江油黑熊咬死3村民#女本柔弱，为母则刚,,,,四川江油黑熊咬死3村民,0,0,0,2020-05-18 19:20,荣耀10青春版,,,
4506013452347797,J2wr79QLH,3520321605,青魅蓝妖,#四川江油黑熊咬死3村民#上次说熊拿走高压锅可爱的再来看看这个呢可爱吗？,,,,四川江油黑熊咬死3村民,0,0,1,2020-05-18 19:20,无聊bot超话,,,
4506013447734098,J2wr6wrZw,6934352937,金jennie的老婆,#四川江油黑熊咬死3村民#一定要注意防护！太吓人了,,,,四川江油黑熊咬死3村民,0,0,0,2020-05-18 19:20,小米8周年旗舰手机,,,
4506013414084333,J2wr3h8wl,6012891735,源小墨儿,#四川江油黑熊咬死3村民#天哪感觉好可怕虽然生态修复与保护要保护生物多样性那这个地方为什么还要有人居住这不安全吧🙉🙉,,,,四川江油黑熊咬死3村民,0,0,0,2020-05-18 19:20,打扰了超话,,,
4506013304566390,J2wqSj9Vs,5828465546,没有鱼很嚣张,#四川江油黑熊咬死3村民#小孩心理阴影得多大啊逝者安息,,,,四川江油黑熊咬死3村民,0,0,0,2020-05-18 19:19,nova5 人像超级夜景,,,
4506013230042614,J2wqL0b5k,6996693477,小TA即是满眼温柔,#四川江油黑熊咬死3村民#我老家，天那，我问我奶奶，她说抓住了，还是活的，好吓人哦,,,,四川江油黑熊咬死3村民,0,1,0,2020-05-18 19:19,好好休息Android,,,
4506013023248191,J2wqqdD0b,6343780830,方块糖DAYTOY,#四川江油黑熊咬死3村民#唉,,,,四川江油黑熊咬死3村民,0,0,0,2020-05-18 19:18,vivo智能手机,,,
4506012982062457,J2wqm8Exr,1712941034,世利歌,我在看：【【#四川3村民被黑熊咬死#：母亲送儿读书被袭击身亡，孩子躲草丛逃过一劫】5月17日，四川绵阳市江油市】#跟新浪看热点#O【#四川3村民被黑熊咬死#：母亲送儿读书被袭击身亡，孩子躲草丛逃过一劫】5月17日，四川绵阳市江油市马角镇沉水村，一名唐姓村民送7岁孩子到镇上读书，下山过程中遇黑熊，唐姓村民遭遇不幸被咬死，孩子躲草丛中逃过一劫；得知消息的亲属下山寻找，再次遇黑熊遭遇不幸；当晚，沉水村的一名姓朱的队长，,,,,"四川3村民被黑熊咬死,跟新浪看热点",0,0,0,2020-05-18 19:18,新浪新闻客户端,,,
4506012877164719,J2wqbu3RZ,6991673288,_恋丞日记,#四川江油黑熊咬死3村民#这山区看来走兽多啊一定要注意防护太吓人了！被妈妈护下来的这孩子亲眼目睹了这一切心里创伤太大了太难受了,,,,四川江油黑熊咬死3村民,0,0,0,2020-05-18 19:17,OPPO R15x,,,
4506012843766191,J2wq8fNL1,5705019604,老算命先生刘正易,#四川江油黑熊咬死3村民#以后这山还上人吗？是否考虑灭这熊让人生存？人，还如熊吗？很想再读到《唐打虎》！,,,,四川江油黑熊咬死3村民,0,12,3,2020-05-18 19:17,一天算一人Android,['http://ww3.sinaimg.cn/large/006e5Gdegy1gewtiyilffj30qo1a244s.jpg'],,
4506012206581720,J2wp6rCcM,2195600811,当代生活报,#四川江油黑熊咬死3村民#【#母亲送儿子返校途中遭黑熊咬死#：儿子侥幸逃脱，俩村民进山搜救也遇害】2020年5月17日晚，四川江油马角镇沉水村发生一起黑熊袭击村民事件。村民唐某带7岁儿子在路上遭黑熊袭击，其子侥幸逃脱。唐某亲属和沉水村8组组长在寻人过程中遇袭。事件造成3人死亡。一只黑熊被现场击毙。L一手video的秒拍视频,,,,"四川江油黑熊咬死3村民,母亲送儿子返校途中遭黑熊咬死",0,1,0,2020-05-18 19:15,iPhone 7,,"http://miaopai.video.weibocdn.com/V2qIum8clx07DmCuJGd201041200drnz0E013.mp4?label=mp4_ld&template=360x640.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1589804560&ssig=%2By%2BmdRLfby&KID=unistore,video",
4506011811038461,J2wot4m9n,5575175200,今天我也是条酸菜鱼,#四川江油黑熊咬死3村民#小孩子亲眼目睹一切肯定会有心理阴影，希望可以得到心理疏导,,,,四川江油黑熊咬死3村民,0,0,0,2020-05-18 19:13,小金的超话,,,
4506011735999536,J2wolpaKI,5591236430,坑宝QVQ,#四川江油黑熊咬死3村民#视频看得我心惊肉跳…2020了，居然还有野生动物袭人事件。,,,,四川江油黑熊咬死3村民,0,0,1,2020-05-18 19:13,iPhone客户端,,,
4506011656040084,J2wodpliI,7125828664,美图收录bot,#四川江油黑熊咬死3村民#初二那一年国庆前的一个晚上，我半夜十点多骑电动车送我侄子回家，回家的路人，还没有出我家小区，突然从草丛中窜出来一条蛇，我来不及反应，车轮就直直的压死了那条蛇，送完我侄子，我一个人回家的途中，越想越害怕，回家也换了另一条路。到家后，眼泪就绷不哭了，跑到楼上抱着我奶奶哭，整宿整宿的哭，晚上也做噩梦了，第二天醒来一回想到昨晚发生的事情，眼泪就止不住的流，整整过了一个星期才好，而那个国庆也就成了我最不喜欢的一个国庆节。讲这么多，只是想说一点，当时的我只是因为自己的过失压死了一条蛇，便能心有余悸一个星期，直到现在想起来还觉得可怕恐怖难受。我难以想象，这个年仅7岁的男孩在亲眼目睹了母亲为了保护自己而被黑熊活活咬死的惨相后，该多久才能治愈好自己心口的创伤，或许得用一辈子吧。,,,,四川江油黑熊咬死3村民,0,0,4,2020-05-18 19:13,iPhone 8 Plus,,,
4506011265669679,J2wnAnMWr,5691711611,小鬼AICHUEN,#四川江油黑熊咬死3村民#,,,,四川江油黑熊咬死3村民,0,0,0,2020-05-18 19:11,红米Note7 4800万相机,,,
4506010838183092,J2wmTykNm,5557053820,梦想一米八和我,#四川江油黑熊咬死3村民#今天四川新闻的主持人的解决方法都让我惊呆了,,,,四川江油黑熊咬死3村民,0,0,0,2020-05-18 19:10,iPhone客户端,['http://ww1.sinaimg.cn/large/00644Pykgy1gewtarrhdlj30mr0rpn1x.jpg'],,
4506010733250674,J2wmJdDEe,5587606246,美貌闲置,#四川江油黑熊咬死3村民#天啊。。。那小孩子也太可怜了吧,,,,四川江油黑熊咬死3村民,0,0,1,2020-05-18 19:09,地表径流Android,,,
4506010494684620,J2wmljEGo,2902302553,prince妲,#四川江油黑熊咬死3村民#看到这个消息真的感到心痛,,,,四川江油黑熊咬死3村民,0,0,0,2020-05-18 19:08,nova4自拍极点全面屏,,,
4506010297881589,J2wm1x4mp,2534616035,凯迪猫眼看人,【#四川江油黑熊咬死3村民#民警正面遭遇将其击毙】5月17日，四川绵阳江油市发生黑熊联系袭击村民事件。47岁女子唐某和儿子在山沟中遭黑熊袭击，7岁儿子侥幸逃脱。唐某的亲属苏某下山搜索唐某途中失联。民警到达现场发现唐某已死亡，苏某继续下落不明。搜救过程中，68岁村民小组组长朱某突遭黑熊袭击死亡。5月18日凌晨，搜救的公安特警与黑熊正面遭遇将黑熊击毙。搜救人员随后发现已身亡的苏某。至此，黑熊袭击事件造成3人死亡。（新京报）L新京报我们视频的秒拍视频,,,,四川江油黑熊咬死3村民,0,0,0,2020-05-18 19:07,360安全浏览器,,"http://miaopai.video.weibocdn.com/hAh1P46Plx07DmJR6MA801041200aHt80E013.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1589804695&ssig=X2EuQbUeca&KID=unistore,video",
4506010272908839,J2wlZccIL,5376431224,梁小虾V,#四川江油黑熊咬死3村民#这会成为小孩一辈子的阴影吧……,,,,四川江油黑熊咬死3村民,0,0,1,2020-05-18 19:07,虾的iPhone客户端,,,
4506010221812917,J2wlU7BCB,6041408327,月亮落在山坡上,#四川江油黑熊咬死3村民#太可怕了。。。。,,,,四川江油黑熊咬死3村民,0,0,0,2020-05-18 19:07,今日雨のiPhone客户端,,,
4506010163976876,J2wlOgGza,2137533190,段姨太的柠檬茶,#四川江油黑熊咬死3村民#还有一头……猛兽和人类无法共同一起和谐生活希望能规划出它们生存的区域与人类互不打扰,,,,四川江油黑熊咬死3村民,0,4,0,2020-05-18 19:07,iPhone客户端,['http://ww2.sinaimg.cn/large/7f682b06gy1gewt7prdizj201t01gglk.jpg'],,
4506010067470481,J2wlEvlpD,5666215530,一只鼠标标,#四川江油黑熊咬死3村民#！吓一大跳都忘了野生动物会袭击人了孩子一定要做好心理工作村民还是搬吧唉,,,,四川江油黑熊咬死3村民,0,0,1,2020-05-18 19:07,魅蓝 Note3,,,
4506009983500865,J2wlweGJz,5139051804,凡凡崽_,#四川江油黑熊咬死3村民#太恐怖了一辈子的阴影啊……,,,,四川江油黑熊咬死3村民,0,0,2,2020-05-18 19:06,,,,
