id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4506008892451441,J2wjLahJn,3600956903,临沂环境,【#国际博物馆日系列直播#：#来浙江省博物馆云赏瓷器#】一部中国陶瓷史，半部在浙江。@人民日报联合浙江省博物馆、浙报融媒体，展示“昆山片玉—中国古代陶瓷史陈列”，带你体会浙江古代陶瓷工艺成就和对世界文明作出的巨大贡献。戳直播↓一起探访！L人民日报的微博视频,,,人民日报,"国际博物馆日系列直播,来浙江省博物馆云赏瓷器",0,0,0,2020-05-18 19:01,搜狗高速浏览器,,"http://f.video.weibocdn.com/UKiUn4eDlx07DmMqNOMM0104120aEVlg0E040.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1589803265&ssig=OTaoVIsNCA&KID=unistore,video",
4506008817369143,J2wjDuV39,2313754422,平安温江,你被哪些温暖的善意打动过？#另一个香港##国际博物馆日#L燃新闻的秒拍视频,,,,"另一个香港,国际博物馆日",0,0,0,2020-05-18 19:01,iPhone客户端,,"http://miaopai.video.weibocdn.com/AuOH3YW9lx07DmsHYA8w010412005S6S0E013.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1589803273&ssig=ZEDd7DBOHr&KID=unistore,video",
4506008753896842,J2wjxglKi,2407490951,哈尔滨气象,【国际博物馆日“打卡”龙江博物馆】今天是第44个国际博物馆日，黑龙江省目前有213座博物馆，其中公共类博物馆122座，行业类博物馆40座，非国有博物馆51座。全省国家三级以上博物馆共36座，涵盖了历史文化、红色故事、少数民族、艺术、自然、科普等类别。,,,,,0,0,0,2020-05-18 19:01,Android,['http://ww3.sinaimg.cn/large/8f7f6587ly1gewt2hbo4cj20c82tkna7.jpg'],,
4506008745030344,J2wjwl6CA,3739578297,她夏了夏天731,国际博物馆日：这些宝藏博物馆，不得不看！O国际博物馆日：这些宝藏博物馆，不得不看！,,,,,0,0,0,2020-05-18 19:01,iPhone客户端,,,
4506008707444498,J2wjsveEy,5018641597,武汉经视,#国际博物馆日#读研期间，桂泽红曾在藏区支教一年。看到疫情期间少数民族地区学生上网课的场景，桂泽红想起4年前支教的藏文中学学生O为圆藏区孩子的高考梦，他想了一个办法……志愿者希望这份力量能够传递，能让更多的人关注、关心藏区孩子们的教育，共同汇聚成一支永不离开的支教队伍。详情请收看19:16《新时代·主角》,,,,国际博物馆日,0,0,0,2020-05-18 19:00,Android,"['http://ww3.sinaimg.cn/large/005tDHWdly1gewswtsp12j30u00gs0wc.jpg', 'http://ww1.sinaimg.cn/large/005tDHWdly1gewswv355zj30u00gs40o.jpg', 'http://ww4.sinaimg.cn/large/005tDHWdly1gewswvv37jj30u00gt772.jpg']",,
4506008674515702,J2wjpiWJU,1346590571,朋朋哥哥,直播开始啦！特邀北京史研究会会长李建平，给孩子讲讲「从紫禁城到北京城」#行走北京中轴线##教育在行动##国际博物馆日#@朋朋哥哥的一直播,,,,"行走北京中轴线,教育在行动,国际博物馆日",0,0,0,2020-05-18 19:00,一直播Yi,,,
4506008662080671,J2wjo8Jhd,1812469487,四川博物院,#国际博物馆日#在多元与包容中致力于博物馆的发展一起见证美，见证历史，努力在当下#小川川聊文物##小川川逛展览#四川博物院@四川观察@中国文博,,成都·四川博物院,"四川观察,中国文博","国际博物馆日,小川川聊文物,小川川逛展览",0,0,0,2020-05-18 19:00,四川博物院超话,"['http://ww1.sinaimg.cn/large/6c0816efgy1gewt1b97hoj20ku0beq54.jpg', 'http://ww3.sinaimg.cn/large/6c0816efgy1gewt1dodcuj20ku0bldi1.jpg', 'http://ww2.sinaimg.cn/large/6c0816efgy1gewt1vnf0uj24g02yo1l1.jpg', 'http://ww1.sinaimg.cn/large/6c0816efgy1gewt1bt8vwj20ku0brtba.jpg', 'http://ww3.sinaimg.cn/large/6c0816efgy1gewt1cbtuvj20ku0bf75x.jpg', 'http://ww1.sinaimg.cn/large/6c0816efgy1gewt1d8dwlj20ku0bm76j.jpg', 'http://ww3.sinaimg.cn/large/6c0816efgy1gewt1csqx3j20ku0bkwh2.jpg', 'http://ww2.sinaimg.cn/large/6c0816efgy1gewt1gdz3sj20ku0bh76r.jpg', 'http://ww3.sinaimg.cn/large/6c0816efgy1gewt1e2oh2j20ku0bkgol.jpg']",,
4506008631709757,J2wjl7aMJ,1727386613,杭州电视台综合频道,【#杭州#浙江博物馆孤山馆今天恢复开放】今天是一年一度的国际博物馆日，沉寂了115天的浙江博物馆孤山馆今天终于又开门迎客。进馆的每位游客可以领取一张寻宝图，在寻觅六件吉祥文物的过程中，逛遍各个展馆。除了传统的线下展览，浙博还推出“线上声音博物馆”，明星和主播一起讲述文物故事。市民游客还可以在“国宝声音守护者”活动中，亲自给文物配音。疫情期间，浙博孤山馆每天限流2000人，市民朋友可以提前通过掌上西湖APP预约参观。,,杭州,,杭州,0,0,0,2020-05-18 19:00,微博 weibo.com,"['http://ww2.sinaimg.cn/large/66f5d3f5ly1gewt1wseshj21hc0u0q8q.jpg', 'http://ww4.sinaimg.cn/large/66f5d3f5ly1gewt1wpsi4j21hc0u0jui.jpg', 'http://ww4.sinaimg.cn/large/66f5d3f5ly1gewt1wrvl3j21hc0u0dj5.jpg']",,
4506008522848791,J2wjabX6f,1675961211,新闻夜航,#国际博物馆日#【直播：博物馆奇妙夜——云游黑龙江省博物馆】铜坐龙，是金代皇室的御用器物，是黑龙江省博物馆的镇馆之宝之一。今天，一起和我们云游黑龙江省博物馆，共同开启博物馆奇妙夜。转发本条微博，关注新闻夜航，同时@两位好友，就有机会获得博物馆纪念品。新闻夜航的微博直播.,,,两位好友,国际博物馆日,1,0,110,2020-05-18 19:00,微博网页版,,,
4506008515642377,J2wj9nFQ5,5734454484,千引视听,"5月18日19:00,“奇妙的和谐——2020国际博物馆日国家大剧院线上特别音乐会”将继续面向海外观众播出，全网共享视听盛宴！千引视听的微博直播.",,,,,0,0,0,2020-05-18 19:00,微博网页版,,,
