id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4506007562439704,J2whCaeG4,1282681284,舍弃今日只为明天,#天门山翼装飞行失联女大学生已找到#每个人都是独立的个体，生是一个人的生，死是一个人的死，大可不必因为你个人喜好和思维方式去抨击别人。,,,,天门山翼装飞行失联女大学生已找到,0,0,0,2020-05-18 18:56,iPhone客户端,,,
4506007223352434,J2wh4e47w,1061486327,EvanismSS,#天门山翼装飞行失联女大学生已找到#还以为是平安的！生命真的太脆弱了！家人该多伤心啊💔,,,,天门山翼装飞行失联女大学生已找到,0,0,0,2020-05-18 18:55,iPhone 11,,,
4506007214055622,J2wh3h13g,2427920785,田雷哥哥儿,#天门山翼装飞行失联女大学生已找到#与天斗与地斗其乐无穷，毛爷爷说的。,,北京,,天门山翼装飞行失联女大学生已找到,0,0,0,2020-05-18 18:55,,,,
4506007072187361,J2wgP9b21,6118574540,好运爆棚的桃子味小精灵_,#天门山翼装飞行失联女大学生已找到#我还以为是平安找到了…看到这个热搜，莫名有点失落,,,,天门山翼装飞行失联女大学生已找到,0,1,0,2020-05-18 18:54,小米6X 拍人更美,,,
4506006888258088,J2wgwyEiY,3794338980,文明宁夏,【#天门山翼装飞行失联女大学生已身亡#🙏目前尚未被转移】5月18日上午，失联近6日的#天门山翼装飞行失联女大学生已找到#。北京青年报记者从参与救援的张家界蓝天救援队获悉，今日上午10点多，刘某被发现但目前尚未被转移，仍在研究方案。参与救援的浙江公羊救援队队长徐立军告诉北青报记者，刘某已不幸身亡。（北京头条）L沸点视频的秒拍视频O网页链接,,,,"天门山翼装飞行失联女大学生已身亡,天门山翼装飞行失联女大学生已找到",0,0,1,2020-05-18 18:53,iPhone客户端,,"http://miaopai.video.weibocdn.com/quukKLhAlx07DimhZZFC010412008BPW0E013.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1589803053&ssig=nVy0t4zfDA&KID=unistore,video",
4506006787163223,J2wgmu3tR,1132428807,四川工人日报,【#天门山翼装飞行失联女大学生已找到#冒险人生，像鸟儿一样穿上翼装飞翔】24岁翼装飞行失联女生刘某不幸身亡！刘某之前接受采访的文章《谁规定人生一定要“脚踏实地”》中讲述了她的冒险人生。她说：“极限运动的终点：一个是死亡，一个是恐惧，当你眼里没有这两样东西，为了喜欢的事物不向任何一样东西妥协，那你眼里一定是无边无际的星空和自由。仰望星空的人，不应该被嘲笑。”“极限运动给我面对死亡和伤痛更加平和的勇气，也让我不断对自己对生活有新的理解和认识。我反而喜欢上了这种与天地为伴，与自然相融的感觉，极限成为了我生活的一部分。”“数百次跳伞经验，然后终于能像鸟儿一样穿上翼装飞翔。挑战自己并且做到极致时会有一种满足感，这种感觉在你面对死亡时更加强烈。必须做到万无一失，如果你是个追求完美的人，有那么一瞬间，做到完美确实还不错。”不过在刘某接触极限运动这些年，免不了经历身边朋友受伤甚至离去。感恩生活给予的健全身体的同时，她也做了一个决定：签一份人体器官捐献志愿书。她说：“希望一旦生活中有意外发生，也能尽最后一份力去帮助更多的人。”#我倡导分餐制#,,,,"天门山翼装飞行失联女大学生已找到,我倡导分餐制",0,0,1,2020-05-18 18:53,HUAWEI Mate 20 Pro,"['http://ww1.sinaimg.cn/large/437f7e07gy1gewsu9a4nej20hs0gxgnb.jpg', 'http://ww2.sinaimg.cn/large/437f7e07gy1gewsu9xc02j20hs0npgn0.jpg', 'http://ww3.sinaimg.cn/large/437f7e07gy1gewsuacz0yj20hs0c0js5.jpg']",,
4506006703496641,J2wgeeFDr,5534445065,20奋进新时代,#天门山翼装飞行失联女大学生已找到#我在qq浏览器天天看这种。里面各种评论：玩好了你能吃饭，玩不好村里人去你家吃饭。以前是弟兄们，接单了，唢呐吹起。我一直在关注博主，有什么情况随时给我打电话，我吹唢呐的，现在在搞活动。现在是，请黑人大哥接单。,,,,天门山翼装飞行失联女大学生已找到,0,1,0,2020-05-18 18:53,魅族 X8 轻奢拍照手机,"['http://ww4.sinaimg.cn/large/0062xXYZly1gewsric4tqg305k050e81.jpg', 'http://ww2.sinaimg.cn/large/0062xXYZly1gewsrjkrnfg306m07kqfe.jpg', 'http://ww3.sinaimg.cn/large/0062xXYZly1gewsrkotang308w05mkjm.jpg']",,
4506006447206696,J2wfOueN2,6482775630,白诺然,#天门山翼装飞行失联女大学生己被找到#天门山翼装飞行失联女大学生己被找到@微博故事@微博视频微博视频#天门山翼装飞行失联女大学生己被找到#,,,"微博故事,微博视频",天门山翼装飞行失联女大学生己被找到,0,0,0,2020-05-18 18:52,微博视频,,,
4506005969537782,J2wf2E1dc,3574611155,新浪广西,【#天门山翼装飞行员已找到#，公安正赶往现场】5月18日11：30，从搜救队伍方面了解到，一小时前，失踪女翼装飞行员已经找到，具体细节不便透露，目前公安正赶往现场。根据5月16日张家界天门山国家森林公园的对外通报，失联女子是5月12日参与北京某文化传媒公司在天门山景区取景拍摄极限运动短纪录片，进行高空翼装飞行过程中因偏离路线导致失联。#天门山翼装飞行失联女大学生已找到#L潇湘晨报的微博视频,,,,"天门山翼装飞行员已找到,天门山翼装飞行失联女大学生已找到",0,2,3,2020-05-18 18:50,微博 weibo.com,,"http://f.video.weibocdn.com/0019AYhYgx07DmswaU23010412001IB10E010.mp4?label=mp4_ld&template=360x632.24.0&trans_finger=81b11b8c5ffb62d33ceb3244bdd17e7b&Expires=1589803020&ssig=PDmh%2FEnoHr&KID=unistore,video",
4506005863408060,J2weSeiAI,2461003235,郭郭Cappuccino,#天门山翼装飞行失联女大学生已找到#生命的遗憾🙏🙏🙏只能说真的太可惜了！保障自身的安全也是很重要的呀🙏,,,,天门山翼装飞行失联女大学生已找到,0,0,1,2020-05-18 18:49,,,,
