id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4506013724874107,J2wrykrYD,5469423109,广东巫多多,【#戴森首次登顶英国首富#：取消的电动汽车项目还烧掉5亿英镑，损失3%的财富】据英国广播公司（BBC）中文网17日报道，无尘袋式吸尘器发明家詹姆斯·戴森（JamesDyson）登上英国富豪榜榜首。戴森一年里财富增加36亿英镑，首次登上《星期日泰晤士报》英国富豪榜的榜首位置。近日戴森展示了戴森汽车项目的原型车。詹姆斯表示，自己曾为已取消的电动汽车项目烧掉了5亿英镑，因电动车项目他损失了3%的财富。L老板联播的微博视频@老板联播,,,老板联播,戴森首次登顶英国首富,0,0,0,2020-05-18 19:20,财经 · 视频社区,,"http://f.video.weibocdn.com/000g7Zcjgx07DmmZnqIM010412008Ls70E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=bdef57f06ae52835a2c783ca389e8517&Expires=1589804436&ssig=asZFH39FXD&KID=unistore,video",
4506013597964028,J2wrlxpO4,5216776989,722伏皮卡丘,#戴森首次登顶英国首富#是吹风机那个戴森我家的吹风机做了贡献,,,,戴森首次登顶英国首富,0,0,1,2020-05-18 19:20,旺旺大礼盒超话,,,
4506013077657525,J2wqvw84t,1976721102,一根浪味仙女棒,#戴森首次登顶英国首富#最实用之一可能是干手机？因为感觉上不花自己钱(实际支出大额学费养宠物的话吸尘器🉑️,,,,戴森首次登顶英国首富,0,0,0,2020-05-18 19:18,不加糖的iPhone客户端,,,
4506013040611988,J2wqs2zcM,7008852410,是陳哇噻o,#戴森首次登顶英国首富#话说我也为他的首富之路做出了不少贡献,,,,戴森首次登顶英国首富,0,0,0,2020-05-18 19:18,,,,
4506012911101096,J2wqf4CrC,1292663261,木子予,#戴森首次登顶英国首富#周末去壹方城，发现洗手间也换了戴森干手机，本还以为这是迪拜土豪商场才有的配置,,,,戴森首次登顶英国首富,0,0,0,2020-05-18 19:18,HUAWEI Mate30 Pro 5G,,,
4506012508604294,J2wpAA6mW,2251889740,郭将军,#戴森首次登顶英国首富#是卖电吹风的那个么#合江荔枝——北纬二十八度的传奇#,,,,"戴森首次登顶英国首富,合江荔枝——北纬二十八度的传奇",0,0,0,2020-05-18 19:16,HUAWEI P30,"['http://ww2.sinaimg.cn/large/86391c4cgy1gewthr767cj21t00u0q88.jpg', 'http://ww2.sinaimg.cn/large/86391c4cgy1gewthry87yj21t00u00y6.jpg', 'http://ww3.sinaimg.cn/large/86391c4cgy1gewthst2opj21t00u0afr.jpg', 'http://ww1.sinaimg.cn/large/86391c4cgy1gewthtkdyxj21t00u042g.jpg', 'http://ww4.sinaimg.cn/large/86391c4cgy1gewthu8ygoj21t00u0jvc.jpg', 'http://ww1.sinaimg.cn/large/86391c4cgy1gewthv1ofyj21t00u0djh.jpg', 'http://ww4.sinaimg.cn/large/86391c4cgy1gewthvp0bwj21t00u0wj9.jpg', 'http://ww4.sinaimg.cn/large/86391c4cgy1gewthwdut3j21t00u00xh.jpg', 'http://ww3.sinaimg.cn/large/86391c4cgy1gewthx8nxlj21t00u041x.jpg']",,
4506012143097413,J2wp0cZMh,5705019604,老算命先生刘正易,#戴森首次登顶英国首富#似乎不如马云富！,,,,戴森首次登顶英国首富,1,12,5,2020-05-18 19:15,一天算一人Android,['http://ww2.sinaimg.cn/large/006e5Gdegy1gewtghnwj4j30qo0y9wk9.jpg'],,
4506012084805716,J2woUkaby,6380280101,就是逸球,#戴森首次登顶英国首富##敖子逸夏天与少年#是吹风机的戴森吗好贵啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊，登顶首富嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯敖子逸小朋友@敖子逸仿佛和我们没什么关系呢,,,敖子逸,"戴森首次登顶英国首富,敖子逸 夏天与少年",0,0,1,2020-05-18 19:14,华为手机 畅享玩不停,,,
4506011908737927,J2woCAF8j,6991673288,_恋丞日记,#戴森首次登顶英国首富#是真的不便宜......打扰了,,,,戴森首次登顶英国首富,0,0,0,2020-05-18 19:14,OPPO R15x,,,
4506010997553185,J2wn9vGVz,1830386227,就是这么懒-_-,#戴森首次登顶英国首富#吹风机真的不太好用尤其是跟他的价格比,,,,戴森首次登顶英国首富,0,0,1,2020-05-18 19:10,iPhone客户端,,,
4506010977417146,J2wn7v7xo,1644088831,新浪汽车,【#戴森首次登顶英国首富#：戴森牌汽车你要不要继续“贡献”？】据BBC报道，发明家詹姆斯·戴森（JamesDyson）登上英国富豪榜榜首，这里有没有你的贡献？近日戴森展示了戴森汽车项目的原型车。詹姆斯表示，自己曾为已取消的电动汽车项目烧掉了5亿英镑，因电动车项目他损失了3%的财富。L老板联播的微博视频,,,,戴森首次登顶英国首富,4,3,1,2020-05-18 19:10,财经 · 视频社区,,"http://f.video.weibocdn.com/000g7Zcjgx07DmmZnqIM010412008Ls70E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=bdef57f06ae52835a2c783ca389e8517&Expires=1589804436&ssig=asZFH39FXD&KID=unistore,video",
4506010787651398,J2wmOw6tE,2137718163,傻傻豆奶养乐多QwQ,#戴森首次登顶英国首富#纯靠中国人的购买力……随便进一家英国朋友的家......谁家吸尘器和吹风机用戴森.....Nobody虽然它好像还跟我大纽卡搞了什么工程合作,,,,戴森首次登顶英国首富,0,0,1,2020-05-18 19:09,iPhone客户端,,,
4506010578315924,J2wmtyTlO,1848843513,烊烊要一直走花路呀,#戴森首次登顶英国首富#我贡献了一个吹风机，一个吸尘器,,,,戴森首次登顶英国首富,0,0,0,2020-05-18 19:08,iPhone X(深空灰),,,
4506010284928982,J2wm0kGfI,5100459467,Evan的阮软软,#戴森首次登顶英国首富#戴森的东西都不便宜啊就连吹风机也蛮贵的,,,,戴森首次登顶英国首富,0,0,0,2020-05-18 19:07,里一封老婆Android,,,
4506010117346217,J2wlJuP5n,5518470401,是耿星河吖Charlotte,#戴森首次登顶英国首富#是卷发棒那个戴森么,,,,戴森首次登顶英国首富,0,0,0,2020-05-18 19:07,OPPO超视野全面屏R15,,,
4506009915946453,J2wlpoWWx,2557375422,浦东发布,【TED演讲：成功的8个秘诀】#戴森首次登顶英国首富#通过采访超过500位的TED演讲嘉宾，八个关键词渐渐浮现了出来，这是一个仅有3分钟的演讲，但却包含了关于成功的所有最重要秘诀。（RichardJohn）LTED演讲的微博视频,,,,戴森首次登顶英国首富,1,0,2,2020-05-18 19:06,小布的iPhone客户端,,"http://f.us.sinaimg.cn/001eBDeylx07u57V0HCg010412009Yqn0E010.mp4?label=mp4_ld&template=320x240.28.0&Expires=1589804483&ssig=PwBpQuOQ5b&KID=unistore,video",
4506009458700166,J2wkFAvjg,3199655003,九灬菇凉,#戴森首次登顶英国首富#有我一丢丢贡献.....,,,,戴森首次登顶英国首富,0,0,1,2020-05-18 19:04,馥沁沐珍九兮颜超话,,,
4506008137488469,J2wixvq5L,1849053621,好运小梦娇,#戴森首次登顶英国首富#有我的贡献,,大庆·远望小区,,戴森首次登顶英国首富,0,0,0,2020-05-18 18:59,iPhone客户端,,,
4506007721673613,J2whS71nL,5898008569,震古烁今卡特琳娜汉莫隔壁的火锅,#戴森首次登顶英国首富#我家的吹风机和吸尘器助力了一把,,济南·济南遥墙国际机场,,戴森首次登顶英国首富,0,1,0,2020-05-18 18:57,HUAWEI Mate30 Pro 5G,,,
4506007067987062,J2wgOxvNA,1886869762,磕现可甜,#戴森首次登顶英国首富#也有我的一块砖啊！,,,,戴森首次登顶英国首富,0,0,0,2020-05-18 18:55,HUAWEI Mate 20 Pro,,,
4506006409977351,J2wfKFRz1,1354061332,shm11girl,#戴森首次登顶英国首富#,,,,戴森首次登顶英国首富,0,0,0,2020-05-18 18:52,刘涛吴克群iPhone 11,,,
4506006065984013,J2wfcp6Il,6599315503,yi_以和为贵,#戴森首次登顶英国首富#我的全新戴森V11刚刚以4200就卖了🙃,,,,戴森首次登顶英国首富,0,1,0,2020-05-18 18:51,Android,,,
4506005339640736,J2we1ErZK,1993643343,完璧先生说,#戴森首次登顶英国首富#可能要谢谢中国市场，劝他坚持一个中国原则。,,,,戴森首次登顶英国首富,0,0,5,2020-05-18 18:48,HUAWEI P40 Pro 5G,,,
4506004693600819,J2wcZf6JJ,3494733782,Snake蓝奎,#戴森首次登顶英国首富#戴森风机吗，戴森的东西是真的不便宜买不起。。。,,,,戴森首次登顶英国首富,0,0,0,2020-05-18 18:45,地库里的红薯后援会超话,,,
4506004409059920,J2wcwC0TK,5700702246,天匠手工地毯,#戴森首次登顶英国首富#不是我吹，戴森吸尘器打理我们地毯还蛮好用的一位客户推荐的，用好多年了#天匠手工地毯#L天匠手工地毯的微博视频,,郑州·天匠手工地毯艺术馆,,"戴森首次登顶英国首富,天匠手工地毯",0,0,0,2020-05-18 18:44,iPhone 11,,"http://f.video.weibocdn.com/Q1k0uvVLlx07DmU4VXZe010412006ngq0E010.mp4?label=mp4_ld&template=360x640.24.0&trans_finger=81b11b8c5ffb62d33ceb3244bdd17e7b&Expires=1589804586&ssig=4dOSGQs743&KID=unistore,video",
4506003992925889,J2wbRch9L,7333007963,情感咨询师-缘来,#戴森首次登顶英国首富#【挽回妻子】情商低，不会说话，夫妻感情差，老婆出现第三者。通过破冰和聊天方面的学习，打开彼此心结，第三者也断了。所以情商提升是必须的，现在不学习，以后迟早也会补课。,,成都·蜀都中心,,戴森首次登顶英国首富,0,0,0,2020-05-18 18:43,iPhone XS,"['http://ww3.sinaimg.cn/large/0080gylZgy1gewsirdatdj30k0168gqg.jpg', 'http://ww2.sinaimg.cn/large/0080gylZgy1gewsirvm6pj30k0168q8i.jpg', 'http://ww1.sinaimg.cn/large/0080gylZgy1gewsiscyp7j30k0168gpc.jpg', 'http://ww4.sinaimg.cn/large/0080gylZgy1gewsisxneoj30k01680z5.jpg']",,
4506003759309889,J2wbtD3Vv,1578310480,这人间烟火也太难吃了ba,#戴森首次登顶英国首富#家里不少戴森的东西，有我一份功劳我感到非常欣慰,,,,戴森首次登顶英国首富,0,0,1,2020-05-18 18:42,iPhone客户端,,,
4506003452736874,J2waZbtZ8,7305756844,励志这点儿小事,戴森造车损失5亿英镑，才占3%财富，没影响登顶#英国首富##戴森首次登顶英国首富#L励志这点儿小事的微博视频,,,,"英国首富,戴森首次登顶英国首富",0,0,0,2020-05-18 18:40,iPhone客户端,,"http://f.video.weibocdn.com/W8hKaW4rlx07DmTOGr3a010412001TTT0E010.mp4?label=mp4_ld&template=360x640.24.0&trans_finger=81b11b8c5ffb62d33ceb3244bdd17e7b&Expires=1589804586&ssig=V3ZvOhmYvS&KID=unistore,video",
4506003255252697,J2waFm2sV,6728379016,月饼咪咻,#戴森首次登顶英国首富##戴森首次登顶英国首富#上次是因为吹风机知道的，这次那么我要被安利买吸尘器了吗？毕竟搬新家需要买一个好使的，因为有两只猫,,,,戴森首次登顶英国首富,0,0,1,2020-05-18 18:40,前置双摄vivo X9,,,
4506002856432683,J2wa1qZqX,6395447431,阿瓜和阿瓜,#戴森首次登顶英国首富#哇哦厉害了～不过戴森的吹风机是真的好用，拯救卷发毛躁girl你拥有戴森的什么产品？,,,,戴森首次登顶英国首富,0,0,0,2020-05-18 18:38,iPhone客户端,,,
4506002814211429,J2w9XhFAh,1571871633,LittleBadRabbit,#戴森首次登顶英国首富#前两天我爸还大手一挥让我帮他给我侄女买个戴森吹风机，结果尴尬了,,,,戴森首次登顶英国首富,0,2,2,2020-05-18 18:38,iPhone客户端,['http://ww3.sinaimg.cn/large/5db0db91ly1gewsdtrewnj20nt1d8tg4.jpg'],,
4506002547223906,J2w9wujgC,1651430985,南海客人,#戴森首次登顶英国首富#戴森的东西就是贵！,,,,戴森首次登顶英国首富,0,0,0,2020-05-18 18:37,小米8周年旗舰手机,,,
4506001929748971,J2w8wEU9t,6882222547,YOYO荔枝,#戴森首次登顶英国首富#戴森的吹风机和普通的有啥不一样吗吹出来的是仙气吗哈哈哈哈哈哈,,,,戴森首次登顶英国首富,0,0,3,2020-05-18 18:34,🌳的iPhone 7,,,
4506001845512023,J2w8on7VB,3231246591,·惊秋·,#戴森首次登顶英国首富#是那个吹风机和吸尘器贼高端的那个戴森么,,,,戴森首次登顶英国首富,0,0,0,2020-05-18 18:34,aperfectday超话,,,
4506001611124148,J2w814Irq,6614174966,娱权,#戴森创始人首次登顶英国首富#称其因取消的电动车项目损失3%的财富】据《星期日泰晤士报》公布2020年英国富豪榜显示，戴森创始人詹姆斯·戴森首次登上榜首位置，2019年他位列第五。过去一年里，戴森的财富增加36亿英镑。#戴森首次登顶英国首富#对于首次登顶首富榜，大家怎么看,,,,"戴森创始人首次登顶英国首富,戴森首次登顶英国首富",50,63,95,2020-05-18 18:33,热门iPhone X,"['http://ww3.sinaimg.cn/large/007dCp3ogy1gews8kdajgj30u00gzgrs.jpg', 'http://ww1.sinaimg.cn/large/007dCp3ogy1gews8mvh5sj30u00h449m.jpg', 'http://ww4.sinaimg.cn/large/007dCp3ogy1gews8o4cz1j30u00gu471.jpg', 'http://ww1.sinaimg.cn/large/007dCp3ogy1gews8plu85j30u00gngww.jpg', 'http://ww3.sinaimg.cn/large/007dCp3ogy1gews8rzxnmj30u00gqnav.jpg', 'http://ww2.sinaimg.cn/large/007dCp3ogy1gews8tke5tj30u00gswpd.jpg', 'http://ww4.sinaimg.cn/large/007dCp3ogy1gews8vcqw4j30u00grdr0.jpg', 'http://ww4.sinaimg.cn/large/007dCp3ogy1gews8wy4jrj30u00guakv.jpg', 'http://ww1.sinaimg.cn/large/007dCp3ogy1gews8yezbkj30u01114hr.jpg']",,
4506001171508762,J2w7j6kuS,3786918075,叮当的平凡世界,#戴森首次登顶英国首富#才知道戴森竟然是一个人,,,,戴森首次登顶英国首富,0,0,3,2020-05-18 18:31,荣耀9 美得有声有色,,,
4506000431855615,J2w677MJh,3877388590,孔童财投,#戴森首次登顶英国首富#吸尘器！也跟今年股市大跌有关！这个夏季，多少人财富消失了！,,,,戴森首次登顶英国首富,0,6,2,2020-05-18 18:28,潜伏与狙击Android,,,
4505999110705103,J2w3Z2XqD,5521459052,飞龙攻守道,#戴森首次登顶英国首富##马云#演员飞龙恭喜戴森首次登顶英国首富，佩服呀，请借我一亿人民币来拍摄《飞龙攻守道2》，一定会超越马云《功守道》。,,徐州·沛县,,"戴森首次登顶英国首富,马云",0,6,2,2020-05-18 18:22,vivo AI智慧拍照X21,,,
