id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4506022326142076,J2wFqpLPK,2710498342,无锡博报,【#武汉五星级酒店转型自救开大排挡#食客爆满：武汉人民一起努力】湖北武汉，酒店行业因疫情受到不小的冲击，武汉市一家知名五星级酒店在大门外的广场，摆满餐桌开起大排档，现场露天烧烤，吸引了不少市民前来消费。顾客说，菜品质量和价格都挺好，武汉人要一起努力。@一手VideoL一手video的秒拍视频,,,一手Video,武汉五星级酒店转型自救开大排挡,0,0,2,2020-05-18 19:55,微博 weibo.com,,"http://miaopai.video.weibocdn.com/wfZHrB3Plx07DmtncoLu01041200nNv50E013.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1589806822&ssig=UUm5olJek4&KID=unistore,video",
4506020087111900,J2wBOtQ84,3423681204,白城市消防,【饭店消防安全注意事项】大酒店，小餐馆，吃饭也会有不妙；救生道，灭火器，进门留意习惯好；燃气锅，液压瓶，私自触碰会添乱；为他人．保安全，有事多叫服务员。咋样，记住了吗？#武汉五星级酒店转型自救开大排挡#L陕西消防的秒拍视频,,,,武汉五星级酒店转型自救开大排挡,0,3,2,2020-05-18 19:47,HUAWEI P30,,"http://f.us.sinaimg.cn/00035GiWlx07oPFX507S010402003ObB0k010.mp4?label=mp4_ld&template=640x352.28.0&Expires=1589806847&ssig=j%2F86fltdLQ&KID=unistore,video",
4506018569338202,J2wzmDbia,1940100182,十一点H先生,害这不是逼我克打卡#武汉五星级酒店转型自救开大排挡#,,武汉,,武汉五星级酒店转型自救开大排挡,0,2,1,2020-05-18 19:41,iPhone客户端,['http://ww4.sinaimg.cn/large/73a39456ly1gewu3upu1fj20ku0v8n2h.jpg'],,
4506017846742201,J2wycshXb,5770665333,唯夕icon,#武汉五星级酒店转型自救开大排挡#现在是吃货的大好时机，我家附近希尔顿五星级自助早餐打折好划算，23元/位，随便吃碗牛肉面加两块培根再来块点心都赚啊。,,,,武汉五星级酒店转型自救开大排挡,0,2,0,2020-05-18 19:38,小米5X 拍人更美,,,
4506015415288761,J2wuhmbQB,2073705005,英格玛金融张盛,#武汉五星级酒店转型自救开大排挡#自救这个词，我二三个月就开始普及了。,,恩施市,,武汉五星级酒店转型自救开大排挡,0,0,0,2020-05-18 19:28,nova6 5G自拍大不一样,,,
4506014865734486,J2wtoo3NI,5265085583,我在圆明园丢了一把伞,#武汉五星级酒店转型自救开大排挡#感觉今年新开了很多吃的，大家要一起“稳重”的节奏。,,,,武汉五星级酒店转型自救开大排挡,0,0,0,2020-05-18 19:26,iPhone客户端,,,
4506012650353038,J2wpP1tQa,3831980712,今天同李易峰结婚了吗,#武汉五星级酒店转型自救开大排挡#挺好的，总比关了好,,,,武汉五星级酒店转型自救开大排挡,0,0,1,2020-05-18 19:17,Android,,,
4506012595917470,J2wpJoPp4,3064758553,Dirkcola,#武汉五星级酒店转型自救开大排挡#看转发说是喜来登，挺会玩，整挺好。,,,,武汉五星级酒店转型自救开大排挡,0,0,1,2020-05-18 19:17,Redmi K20 Pro 尊享版,,,
4506011945334206,J2woGmnFA,1178242287,阿云感恩过好每一天,#武汉五星级酒店转型自救开大排挡#味道应该挺不错的，有机会想去试试,,,,武汉五星级酒店转型自救开大排挡,0,0,0,2020-05-18 19:14,李易峰的小胖蜂,,,
4506010397567701,J2wmbvKHH,2572590272,翼神大大,#武汉五星级酒店转型自救开大排挡#想吃龙虾@大林不二,,成都,大林不二,武汉五星级酒店转型自救开大排挡,0,0,0,2020-05-18 19:08,HUAWEI P30 Pro,,,
4506008800455919,J2wjC1UBx,5625229241,Eve安静,#武汉五星级酒店转型自救开大排挡#这不逼我打卡嘛,,,,武汉五星级酒店转型自救开大排挡,0,3,10,2020-05-18 19:02,iPhone客户端,['http://ww4.sinaimg.cn/large/0068GT5Tly1gewt2mmz0vj30u01szu0y.jpg'],,
4506008120968065,J2wiw43PX,1717235335,七月十七777,#武汉五星级酒店转型自救开大排挡#吃货@时代少年团-贺峻霖贺峻霖小可爱快点来看美食啦#跟贺峻霖学穿搭#,,,时代少年团-贺峻霖,"武汉五星级酒店转型自救开大排挡,跟贺峻霖学穿搭",0,0,1,2020-05-18 18:58,Android,,,
4506006216440242,J2wfrr1oS,1646512101,精品购物指南,#武汉五星级酒店转型自救开大排挡#晚饭时间到！露天烧烤是个好主意，又安全又惬意食客说，质量和价格都挺好，武汉人要一起努力。指南君说：我们都要一起努力啊@一手VideoL一手video的秒拍视频,,,一手Video,武汉五星级酒店转型自救开大排挡,0,2,6,2020-05-18 18:51,,,"http://miaopai.video.weibocdn.com/wfZHrB3Plx07DmtncoLu01041200nNv50E013.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1589806822&ssig=UUm5olJek4&KID=unistore,video",
4506004664146877,J2wcWhoN7,2642657135,-利刃华尔兹-,#武汉五星级酒店转型自救开大排挡#很高级的大排档,,,,武汉五星级酒店转型自救开大排挡,0,0,0,2020-05-18 18:44,提莫队长的iPhone X,,,
4506003977281903,J2wbPuym3,2313754422,平安温江,"【灵魂拷问：为什么校园贷中招的是你？】全国各地学校陆续复课，喜欢""买买买""、想要""秀秀秀""、各种""忙忙忙""的同学们可要当心了，实施校园贷的犯罪分子也可能会""复工""……为此，检察官专门来提醒：为什么中招的会是你！#武汉五星级酒店转型自救开大排挡#L中国长安网的微博视频",,,,武汉五星级酒店转型自救开大排挡,0,0,1,2020-05-18 18:42,iPhone客户端,,"http://f.video.weibocdn.com/ARucQvAWlx07Dmt92ec001041200d0Yp0E010.mp4?label=mp4_ld&template=360x632.24.0&trans_finger=81b11b8c5ffb62d33ceb3244bdd17e7b&Expires=1589806858&ssig=gHYnEurLlm&KID=unistore,video",
4506003632959805,J2wbhcpYN,5712828581,UNIQ-奶膘枝枝,#武汉五星级酒店转型自救开大排挡#我感觉他们的大排档都好高级哈哈哈,,,,武汉五星级酒店转型自救开大排挡,1,0,4,2020-05-18 18:40,啵啵的iPhone客户端,,,
4506002689684405,J2w9KEDm5,6053278987,武汉加油爱橄榄绿,#四川江油黑熊咬死3村民#四川黑熊咬死3村民；武汉五星级酒店转型自救开大排挡5月17日，四川绵阳江油市发生黑熊联系袭击村民事件。47岁女子唐某和儿子在山沟中遭黑熊袭击，7岁儿子侥幸逃脱。唐某的亲属苏某下山搜索唐某途中失联。民警到达现场发现唐某已死亡，苏某继续下落不明。搜救过程中，68岁村民小组组长朱某突遭黑熊袭击死亡。5月18日凌晨，搜救的公安特警与黑熊正面遭遇将黑熊击毙。搜救人员随后发现已身亡的苏某。至此，黑熊袭击事件造成3人死亡。L武汉加油爱橄榄绿的微博视频,,,,四川江油黑熊咬死3村民,0,0,1,2020-05-18 18:37,小米MIX 3 滑盖全面屏,,"http://f.video.weibocdn.com/0026xoIogx07DmTBH3xB01041200eqyS0E010.mp4?label=mp4_ld&template=360x640.24.0&trans_finger=81b11b8c5ffb62d33ceb3244bdd17e7b&Expires=1589806865&ssig=DPGrx%2FJPOM&KID=unistore,video",
4506002483334391,J2w9qdZqv,3112922607,仙鹤de鶴,#武汉五星级酒店转型自救开大排挡#期待经济回暖复苏，加油💪,,,,武汉五星级酒店转型自救开大排挡,0,4,1,2020-05-18 18:36,iPhone 11 Pro Max,,,
4506001712012911,J2w8b8rEj,5478028657,晗光淺墨,#武汉五星级酒店转型自救开大排挡#👏🏻厉害厉害厉害！离这里太远了，不然还可以打包一份回家吃,,,,武汉五星级酒店转型自救开大排挡,0,0,0,2020-05-18 18:33,百毒不侵iPhone X,,,
4506001413940646,J2w7Hgx8O,2485874031,柴大官人在长春,#武汉五星级酒店转型自救开大排挡#又聚集，现在疫情还没结束。尽量不要堂食。。。,,长春·亚泰樱花苑,,武汉五星级酒店转型自救开大排挡,0,1,2,2020-05-18 18:31,柴大官人的Android,,,
4506001393178463,J2w7FdkRx,1267431481,Jackiewu_,#武汉五星级酒店转型自救开大排挡#前有幼儿园转行卖烧烤为发工资，现在五星酒店转型大排挡为自救，这一年真的太难,,,,武汉五星级酒店转型自救开大排挡,0,0,1,2020-05-18 18:31,iPhone客户端,['http://ww1.sinaimg.cn/large/4b8b7839gy1gews7ogxqij20go0gowf9.jpg'],,
4506001166580453,J2w7irBSl,1890733600,凤凰网房产,【接地气！武汉五星级酒店转型自救开大排挡盈利成餐企最大压力】由于疫情影响，餐饮业诸多企业纷纷想出各种办法增加收入。除了上线外卖以外，连给人以高端印象的一家五星级酒店也开始进行“接地气”的露天烧烤。据报道，近日武汉市一家知名五星级酒店在大门外的广场，摆满餐桌开起大排档，现场露天烧烤，吸引了不少市民前来消费。,,,,,0,0,0,2020-05-18 18:30,微博 weibo.com,['http://ww3.sinaimg.cn/large/70b24e20ly1gews7kkp5wj20h908zqdz.jpg'],,
4506000930907923,J2w6V3ObV,5797605203,阿謙謙謙,#武汉五星级酒店转型自救开大排挡#佳木斯数一数二海鲜酒楼四海宴也在这样搞🉑小龙虾超好吃虽然大多数都是配菜,,佳木斯,,武汉五星级酒店转型自救开大排挡,0,0,0,2020-05-18 18:30,iPhone客户端,,,
4506000701010905,J2w6y4eYV,2085971433,HIKARI-GAKI-琪,#武汉五星级酒店转型自救开大排挡#五星级的烧烤一定很好吃,,,,武汉五星级酒店转型自救开大排挡,0,0,1,2020-05-18 18:29,iPhone客户端,,,
4506000302853710,J2w5UbYnA,5404191685,万宇TERRY,#武汉五星级酒店转型自救开大排挡#一个优秀的企业，懂得随机应变。这样的五星级酒店做出来的转型很棒，让很多老百姓都能体验星级酒店的服务和菜品，又不失亲民的大排档风格。一举多得的体验。在现在这激烈的市场竞争中，提升自己的竞争力。,,,,武汉五星级酒店转型自救开大排挡,0,0,0,2020-05-18 18:27,意象微博成长陪伴营超话,,,
4506000046331263,J2w5uqz39,5247293994,圆圆要养狗,#武汉五星级酒店转型自救开大排挡#袁老四火锅么肆烤肉莱菜U你小郡肝串串香鸡公煲都要撑住啊！！！华师卤菜也要撑住都给我撑住！！！,,,,武汉五星级酒店转型自救开大排挡,0,2,2,2020-05-18 18:26,iPhone 8 Plus,,,
