id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4506005376975578,J2we5tgFk,5629205469,-汽水泡儿,#毕业前最后一次寝室夜聊#其实没那么多仪式感，也没哭也没回忆，就是很自然很默契的大家都不想去触碰那个伤感的话题，在一起就是开心的日子，我是有故意逃避面对大家都离开大连的事实，第一个搬出宿舍，然后大家各奔东西。,,,,毕业前最后一次寝室夜聊,0,0,0,2020-05-18 18:47,iPhone X,,,
4506005293631722,J2wdXfeMa,3044795984,Weasley韦斯莱是我们的王,#毕业前最后一次寝室夜聊#不知道下一次吹牛是啥时候,,,,毕业前最后一次寝室夜聊,0,0,0,2020-05-18 18:47,iPhone客户端,['http://ww4.sinaimg.cn/large/b57be650gy1gewsnocjb0j20ku112tdi.jpg'],,
4506005209503503,J2wdODSij,3836582849,兔兔最爱草莓,#毕业前最后一次寝室夜聊#后对很多的多多的事,,,,毕业前最后一次寝室夜聊,0,0,0,2020-05-18 18:47,iPhone客户端,,,
4506005201658781,J2wdO6Xwx,5548741522,明媚的忧伤helen,#毕业前最后一次寝室夜聊#从大一聊到大四，不是想象中的煽情，是发在群里大家攒的四年丑照啊可是那段时光再也回不去了,,,,毕业前最后一次寝室夜聊,0,0,0,2020-05-18 18:47,Android,,,
4506005112726042,J2wdFbraq,5800172676,初见八月Heart,#毕业前最后一次寝室夜聊#我记得我们那天高考完，我爸妈都开车来接我了，但是大家都约定好了，再在学校住一晚，第二天再回家。那天晚上其实也没聊什么，和平时一样，只是少了在夜里写题目复习的情景。但是就是想大家在一起这最后一个晚上,,,,毕业前最后一次寝室夜聊,0,0,0,2020-05-18 18:47,荣耀8X,,,
4506004919751649,J2wdlEUQF,5627634525,柴CCHAI,#毕业前最后一次寝室夜聊#或许大多数人都是各自收拾各自的东西。躺在各自的床上，回忆碌碌无为的四年,,,,毕业前最后一次寝室夜聊,0,0,0,2020-05-18 18:46,🥴🤪  热搜第一推荐,,,
4506004882698577,J2wdibk1r,5330021056,听说你想学消化内科,#毕业前最后一次寝室夜聊#明天谁搬被子谁搬褥子。。。,,,,毕业前最后一次寝室夜聊,0,1,0,2020-05-18 18:46,魅族 16Xs 超广角三摄,,,
4506004853256357,J2wdfdF7T,1739633597,小橘子只要你开心,#毕业前最后一次寝室夜聊#emm……说出来有点尴尬，那时候再说要把最美好的大学生活都用手机拍下来，这样以后想母校了就看看照片，不用千里迢迢的赶过来然后就一直在讨论，那女生浴室要不要拍一下……毕竟洗澡的时候最精彩,,,,毕业前最后一次寝室夜聊,0,0,0,2020-05-18 18:46,坚果妈咪的iPhone 11 Pro Max,['http://ww1.sinaimg.cn/large/67b0b3bdgy1gewsmco5rmg20gg0ggb2l.jpg'],,
4506004844267402,J2wdehU94,2145681610,营养师图图君,#毕业前最后一次寝室夜聊#我们毕业前最后天，他们都去通宵去了,,,,毕业前最后一次寝室夜聊,0,0,0,2020-05-18 18:46,意象微博成长陪伴营超话,,,
4506004782298732,J2wd89E0k,6039541970,易世y,#毕业前最后一次寝室夜聊#寝室关系越好应该越舍不得吧上学想着快点毕业毕业又该舍不得了#在大学宿舍关系的重要性#,,,,"毕业前最后一次寝室夜聊,在大学宿舍关系的重要性",0,0,0,2020-05-18 18:46,华为手机 畅享玩不停,,,
4506004773595829,J2wd7f5rf,5725685712,李想想想LX,#毕业前最后一次寝室夜聊#还能有么？@Pluff__@你怎么手捧星光呀@今天也想吃芝士__@今天李阳娶我了吗还有小秘密没告诉泥萌呐！,,,"Pluff__,你怎么手捧星光呀,今天也想吃芝士__,今天李阳娶我了吗",毕业前最后一次寝室夜聊,0,1,0,2020-05-18 18:46,HUAWEI Mate 20,,,
4506004731535114,J2wd36rlU,5537168565,壹玖玖啦,#毕业前最后一次寝室夜聊#聊洗发水哈哈哈都不秃了朋友安利给我的洗发水让我不秃了,,,,毕业前最后一次寝室夜聊,0,1,1,2020-05-18 18:46,iPhone 11,"['http://ww1.sinaimg.cn/large/0062Joupgy1gewslu94u4j30n00mnag7.jpg', 'http://ww3.sinaimg.cn/large/0062Joupgy1gewsltedmtj30n00ml430.jpg']",,
4506004727327261,J2wd2uK9D,3249556622,我们长大了没_,#毕业前最后一次寝室夜聊#想当年我们寝室的夜聊主题极其忧国忧民或者人生哲理一点没有女生寝室应该有的亚子……,,,,毕业前最后一次寝室夜聊,0,0,0,2020-05-18 18:46,荣耀9 美得有声有色,,,
4506004723047954,J2wd2cMUy,1652889677,泉州公安,当宿舍门关了以后，故事就是别人的了…L泉州公安的微博视频#毕业前最后一次寝室夜聊#,,,,毕业前最后一次寝室夜聊,0,0,0,2020-05-18 18:45,HUAWEI P30,,"http://f.video.weibocdn.com/0041ziWTgx07CTEvKKVi010412004e4r0E010.mp4?label=mp4_ld&template=360x640.24.0&trans_finger=81b11b8c5ffb62d33ceb3244bdd17e7b&Expires=1589802445&ssig=Wdpa5Lqxaw&KID=unistore,video",
4506004693594290,J2wcZf52q,2690591831,坚果的宝贝妈妈,#毕业前最后一次寝室夜聊#因为我要提前回家准备面试，所以我走的前一天，我们好像吃完撸串。。。摸黑打牌了来着。。。,,,,毕业前最后一次寝室夜聊,0,0,0,2020-05-18 18:45,HUAWEI P30 Pro,,,
4506004630763806,J2wcT3cHs,1985003235,小美MJYoung要陪你细水长流,#毕业前最后一次寝室夜聊#😂😂😂还好还能和室友一起回去再聊一次,,,,毕业前最后一次寝室夜聊,0,0,0,2020-05-18 18:45,iPhone X,,,
4506004542789919,J2wcKbHMH,6970247354,-雪吻巧克力-,#毕业前最后一次寝室夜聊#@Doublesweetkilling_记得当时偷偷带手机录了全宿舍的话吧..后来音频不见了完全心碎子,,,Doublesweetkilling_,毕业前最后一次寝室夜聊,0,1,0,2020-05-18 18:45,,,,
4506004501041161,J2wcG4mQV,5288757925,阿七崽想喝可乐,#毕业前最后一次寝室夜聊#喝酒🍺喝了很多喝多酒，喝到第二天写毕业论文管理手册还是懵的，结果那天事情没办完，又在学校留了一夜毕业的眼泪流完了也就不悲伤了毕竟生活要向前看人要向前走鸭,,,,毕业前最后一次寝室夜聊,0,0,0,2020-05-18 18:45,,,,
4506004475129408,J2wcDlwoo,5966981202,1Peanut1,#毕业前最后一次寝室夜聊#聊实习聊对象聊下次见面的时间好像不会困能聊一辈子,,,,毕业前最后一次寝室夜聊,0,0,0,2020-05-18 18:45,iPhone客户端,,,
4506004434287107,J2wczhZgT,5844136195,音乐纪,五条人《匈奴王》一首魔幻现实主义佳作，城市底层一无所有的打工仔生出了铁马冰河、带兵杀敌的梦，这究竟是从苦闷生活里生出的幻觉，还是内心深处的一股深不可测的无意识指引，用粗砺的笔触讲雄伟的故事，在当今短视频盛行的时代并不少见，你能看到各种用粗陋又土俗的手法在塑造自己英雄梦的民间影像，而五条人厉害之处在于两种现实之间的变幻极有诗意，“一座城市沦陷，另一城市狂欢”，只需要一场突如其来的雷阵雨。#给分手前的你通话一小时##毕业前最后一次寝室夜聊##乐评#L音乐纪的微博视频,,,,"给分手前的你通话一小时,毕业前最后一次寝室夜聊,乐评",0,0,131,2020-05-18 18:44,,,"http://f.video.weibocdn.com/4wLL7Zlflx07DmU5bCVG01041200ztbA0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=bdef57f06ae52835a2c783ca389e8517&Expires=1589802486&ssig=bPS2rGULwY&KID=unistore,video",
4506004416507440,J2wcxriSI,5120261780,唯晨晞,#毕业前最后一次寝室夜聊#希望我还能有力量给我的狗子们干一件有仪式感，且不悔相遇的事情~,,,,毕业前最后一次寝室夜聊,0,0,0,2020-05-18 18:44,Android,,,
4506004308028357,J2wcmxGxD,6183290659,每日豹笑,回想起四年的点点滴滴，泪流满面！！#毕业前最后一次寝室夜聊#L每日豹笑的微博视频,,,,毕业前最后一次寝室夜聊,0,0,0,2020-05-18 18:44,微博视频,,"http://f.video.weibocdn.com/000FKHBMgx07DmU30CMo010412005nyD0E010.mp4?label=mp4_ld&template=360x632.24.0&trans_finger=81b11b8c5ffb62d33ceb3244bdd17e7b&Expires=1589802550&ssig=Cdh8HeuyZZ&KID=unistore,video",
4506004257173906,J2wchu6ga,5329754592,明媚而又温柔的菇凉,#毕业前最后一次寝室夜聊#好像没有聊天，各做各的,,,,毕业前最后一次寝室夜聊,0,0,0,2020-05-18 18:44,HUAWEI Mate 20,,,
4506004237525329,J2wcfvzGh,5554258928,马路上的烤冷面摊,#毕业前最后一次寝室夜聊#初中毕业的前一天好朋友过生日我们就去KTV嗨了一晚上到了第二天回学校准备毕业晚会搞到了很晚回到宿舍就睡着了哈哈哈哈哈哈也就没有最后一次寝室夜聊了反而平时的时候经常夜聊还被宿管阿姨发现了好几次高中是在外面租的房子毕业也无夜聊好想念那个时候感觉啊感觉啥都能聊聊天聊地聊八卦瞌睡到不行了总是还要想着再说最后一个话题哈哈哈哈哈,,,,毕业前最后一次寝室夜聊,0,0,0,2020-05-18 18:43,,,,
4506004165983569,J2wc8p6Bb,3514055085,小路鹿想要两颗西柚,#毕业前最后一次寝室夜聊#去年寒假回家的前一夜吧，记不清聊了些啥，也不知道还有没有机会。,,,,毕业前最后一次寝室夜聊,0,0,0,2020-05-18 18:43,,,,
