id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4506016244933847,J2wvCkHwb,6593570114,Phoenix·X,#湖南卫视综艺片单#鹅……哪些是原创,,,,湖南卫视综艺片单,0,0,0,2020-05-18 19:30,华为畅享10 Plus,,,
4506016124149736,J2wvqhpxe,6522407480,一定要万事顺吉呀,#湖南卫视综艺片单#一直都觉得湖南卫视的综艺生态链很完整可以说各种类型都有所涉及打出名气的综艺节目也不少芒果tv更是背靠大树好乘凉这也许就是为什么湖南卫视可以凭借一己之力为湖南省发展作出巨大贡献的原因吧话说什么时候乘风破浪的姐姐才能开播,,,,湖南卫视综艺片单,0,0,0,2020-05-18 19:30,iPhone客户端,,,
4506015892707304,J2wv3bmic,3826677304,·啵酱,#湖南卫视综艺片单#中餐厅-重庆-我开始做梦,,,,湖南卫视综艺片单,0,0,0,2020-05-18 19:30,,,,
4506015653478515,J2wuFeAV5,6575620488,甜橙aa_,#中餐厅第四季国内录制#还有小明嘛我怎么有点期待黄教主啊哈哈哈#湖南卫视综艺片单#大爱向往的生活啊啊啊啊爱一家五口,,,,"中餐厅第四季国内录制,湖南卫视综艺片单",0,0,0,2020-05-18 19:29,21世纪女明星超话,,,
4506015297266702,J2wu5uuoS,5300121819,我是夜影mm,#亲爱的自己片花#🙋#朱一龙亲爱的自己#🙋#湖南卫视综艺片单#朱一龙💝陈一鸣］(ノ๑`ȏ´๑)ノ“你不要的话，外面一堆女孩子排队等着呢！”说的就是我！朱一龙陈一鸣，看看我🙋，我排着队，拿着爱的号码牌！！(σﾟ∀ﾟ)σ@朱一龙,,,朱一龙,"亲爱的自己片花,朱一龙亲爱的自己,湖南卫视综艺片单",0,0,1,2020-05-18 19:27,朱一龙超话,,,
4506015272024802,J2wu38uK6,6655196903,刘炸毛的小跟班_,#湖南卫视综艺片单#本周四晚好看的下饭综艺来咯期待鲜厨品鉴官刘宇宁会唱歌会做饭的大长腿你值得拥有#刘宇宁鲜厨100#,,,,"湖南卫视综艺片单,刘宇宁鲜厨100",0,0,0,2020-05-18 19:27,宁𐂂Android,"['http://ww3.sinaimg.cn/large/007gowJxly1gewtt5diuij31jk2bcx6p.jpg', 'http://ww2.sinaimg.cn/large/007gowJxly1gewtt73gz7j31jk2bcu0x.jpg', 'http://ww4.sinaimg.cn/large/007gowJxly1gewtt838fsj31jk2bc4qp.jpg', 'http://ww1.sinaimg.cn/large/007gowJxly1gewtt92xqpj31jk2bc1kx.jpg', 'http://ww4.sinaimg.cn/large/007gowJxly1gewtt9wc5cj30u0190gt0.jpg', 'http://ww4.sinaimg.cn/large/007gowJxly1gewttak9ycj30u01900zs.jpg', 'http://ww1.sinaimg.cn/large/007gowJxly1gewttaxpuoj31400u0tdl.jpg', 'http://ww3.sinaimg.cn/large/007gowJxly1gewttbc398j30wo1d0tf9.jpg', 'http://ww3.sinaimg.cn/large/007gowJxly1gewttbn4x1j30u01hdgq0.jpg']",,
4506015243401109,J2wu0egMB,5602067075,上官丫蛋儿,#湖南卫视综艺片单#安利名侦探学院第二季，高智商的小哥哥小姐姐们(小哥哥居多)，表现都超级好,,,,湖南卫视综艺片单,0,0,0,2020-05-18 19:27,OPPO Reno Ace,,,
4506014467196372,J2wsKuc6w,6612168821,贝壳贝肥肥,#湖南卫视综艺片单#湖南台的电视剧综艺真的太抓我了下一站是幸福清平乐还有向往的生活中餐厅,,,,湖南卫视综艺片单,0,0,0,2020-05-18 19:24,OPPO智能手机,,,
4506014294543754,J2wstj42m,7370771673,搞笑嫣,创造营2020郑乃馨被东北绕口令带跑偏，朱主爱听到后只#湖南卫视综艺片单##嗨唱转起来#L搞笑嫣的微博视频,,,,"湖南卫视综艺片单,嗨唱转起来",0,0,0,2020-05-18 19:23,微博云剪,,"http://f.video.weibocdn.com/U4uttsQHlx07DmWM47Ha01041200hFJi0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1589805087&ssig=WuUbEzO52%2F&KID=unistore,video",
4506013136546965,J2wqBrtad,5852212980,冷门饮料28度,#湖南卫视综艺片单#如果按照这个写的话，挺累哈哈哈哈哈哈,,,,湖南卫视综艺片单,0,0,1,2020-05-18 19:19,nova5Pro人像超级夜景,,,
4506010846252115,J2wmUqesz,6595430038,简单致农日记,#湖南卫视综艺片单#盯着向往的生活看真的治愈,,,,湖南卫视综艺片单,0,1,0,2020-05-18 19:09,华为畅享10,,,
