id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4506013045124163,J2wqslv1N,5651656799,桃浦路1003号小谭同学,#湖南宁乡发现千年古墓群#蹭下我大宁乡的热度，欢迎大家来宁乡游玩哦,,,,湖南宁乡发现千年古墓群,0,0,1,2020-05-18 19:18,OPPO超视野全面屏R15,,,
4506012877627372,J2wqbw0e8,6217548434,暮妮喏,#湖南宁乡发现千年古墓群#我好想去看看啊,,,,湖南宁乡发现千年古墓群,0,0,0,2020-05-18 19:18,,,,
4506012876331155,J2wqbqz1p,6058234400,抱抱如粒,#湖南宁乡发现千年古墓群#欢迎大家来宁乡玩宁乡出土的文物可不少,,,,湖南宁乡发现千年古墓群,0,0,0,2020-05-18 19:18,OPPO A11x,,,
4506012374177171,J2wpnhwFJ,5515805231,那就再加一颗糖,#湖南宁乡发现千年古墓群#还有谁不知道我们宁乡是块宝地吗，青铜器都是一堆堆地出,,,,湖南宁乡发现千年古墓群,0,0,0,2020-05-18 19:16,vivo X20全面屏手机,,,
4506012118120461,J2woXy4vb,6359644157,手撕鱼豆腐不吃皮,#湖南宁乡发现千年古墓群#其实我挺喜欢考古的,,,,湖南宁乡发现千年古墓群,0,0,0,2020-05-18 19:15,红米Redmi,,,
4506012058587051,J2woRA1SP,5828465546,没有鱼很嚣张,#湖南宁乡发现千年古墓群#四羊方尊也是这挖出来的,,,,湖南宁乡发现千年古墓群,0,0,0,2020-05-18 19:14,nova5 人像超级夜景,,,
4506011946164818,J2woGpRKy,5840108882,祺Waeen,#湖南宁乡发现千年古墓群#看到这个热搜，有股莫名的激动。,,,,湖南宁乡发现千年古墓群,0,0,1,2020-05-18 19:14,vivo AI智慧拍照X21,,,
4506011405601579,J2wnOnve3,1935622204,在长沙,【#长沙#宁乡发现千年古墓群：出土“火锅”，夫妻合葬墓设过仙桥】近日，考古人员对湖南宁乡杨家湾墓群进行抢救性考古发掘。其中一座东汉古墓葬目前已完成发掘，另有一座宋代夫妻合葬墓正在发掘中。考古人员介绍，东汉墓出土的铁制容器和铁制三角架，与现代的火锅十分相似。#湖南宁乡发现千年古墓群#L一手video的秒拍视频,,长沙,,"长沙,湖南宁乡发现千年古墓群",0,0,0,2020-05-18 19:12,,,"http://miaopai.video.weibocdn.com/25o12H2Slx07DmUnFTr201041200hlJS0E013.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1589804393&ssig=ZOHTIpyV0k&KID=unistore,video",
4506011362135496,J2wnK8Xxu,7217361952,走心金句,#湖南宁乡发现千年古墓群#希望能有重大发现L走心金句的微博视频,,,,湖南宁乡发现千年古墓群,0,10,4,2020-05-18 19:12,,,"http://f.video.weibocdn.com/001vK0SHgx07DmVYsDvN010412004DiC0E010.mp4?label=mp4_ld&template=360x640.24.0&trans_finger=81b11b8c5ffb62d33ceb3244bdd17e7b&Expires=1589804427&ssig=AxUNY6CXTX&KID=unistore,video",
4506010473377879,J2wmjeaJV,3949791150,婷婷婷锕,#湖南宁乡发现千年古墓群#啊耶我大宁乡,,宁乡,,湖南宁乡发现千年古墓群,0,0,0,2020-05-18 19:08,iPhone 6,,,
