id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4506021869333239,J2wEGDa07,1944375784,大象军事,特朗普的二儿子埃里克在接受采访时说，今年11月3日之后，美国的新冠肺炎疫情就会神奇地消失。他认为，这场已导致上百万美国人感染、近10万美国人死亡的疫情，是政敌编造出来要打到他父亲的阴谋乃至骗局！确认了眼神，是老特的亲儿子，风格都是一模一样的，有其父必有其子！#特朗普儿子称新冠病毒11月会消失##天门山翼装飞行失联女大学生已找到#L大象军事的微博视频,,,,"特朗普儿子称新冠病毒11月会消失,天门山翼装飞行失联女大学生已找到",1,1,1,2020-05-18 19:53,360安全浏览器,,"http://f.video.weibocdn.com/fquF7Qvzlx07DmYQe3gs010412001ko00E010.mp4?label=mp4_ld&template=376x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1589806660&ssig=Do07NWB7Rj&KID=unistore,video",
4506020690316844,J2wCN1kqo,1003453770,-水向东流,不是一家人不进一家门#腾讯新闻#特朗普儿子称新冠病毒11月会消失：只因它是拜登害我爸的骗局O网页链接L特朗普儿子称新冠病毒11月会消失：只因它是拜登害我爸的骗局来自@腾讯新闻,,,腾讯新闻,腾讯新闻,0,0,0,2020-05-18 19:49,腾讯新闻客户端,,http://type=feedvideo&objectid=2003338005:4506020689412099&keys=4506020691837259&cover_img=//puui.qpic.cn/qqvideo_ori/0/f09681rr5ew_496_280/0&card_height=280&card_width=496&play_count=27&short_url=http://t.cn/A62hyM3D&encode_mode=&bitrate=277&biz_id=231268&current_mid=0&key=tblog_card&title=特朗普儿子称新冠病毒11月会消失：只因它是拜登害我爸的骗局&full_url=//m.v.qq.com/play.html?vid=f09681rr5ew&ptag=887&object_id=2003338005:4506020689412099&video_src=https://multimedia.api.weibo.com/2/multimedia/redirect_tencent_video.json?vid=f09681rr5ew,
4506020032373620,J2wBJ9Xuc,6974857951,四时眠眠,#特朗普儿子称新冠病毒11月会消失#真是有其父必有其子没有人比你们家更懂了,,,,特朗普儿子称新冠病毒11月会消失,0,0,0,2020-05-18 19:46,黄明昊妈.Android,,,
4506018413724823,J2wz7fCZN,5140817081,淋雨一直走mine,#特朗普儿子称新冠病毒11月会消失#不是特朗普的儿子怎么啦，我还是我爸的闺女呢，你也真把自己当回事儿，呵呵,,,,特朗普儿子称新冠病毒11月会消失,0,0,1,2020-05-18 19:40,iPhone客户端,,,
4506018107425792,J2wyCv9MQ,5566893795,今天也和昨天一样沙雕,#特朗普儿子称新冠病毒11月会消失#睡醒了么？谢谢二儿子，你和你的川建国爸爸一样爱种花国呢我代表种花国人民谢谢你们啊，真的谢谢你们，谢谢你们从来不带脑子啊，要是某国总统一直这样该有多好，害,,,,特朗普儿子称新冠病毒11月会消失,0,0,0,2020-05-18 19:38,微博搜索,,,
4506017872603600,J2wyfaVjy,1357338510,雨涵大白是小白,#特朗普儿子称新冠病毒11月会消失#卧槽，11月消失，如果按照美国目前每天的增加数量来算，真的很恐怖，麻烦你们推断什么时候消失之前，还是先想想怎么控制住吧！,,,,特朗普儿子称新冠病毒11月会消失,0,0,0,2020-05-18 19:37,iPhone X,,,
4506017696428247,J2wxXqYhp,6166478155,星栎銀河係_,#特朗普儿子称新冠病毒11月会消失#果然有其父必有其子👏👏👏hhhhh,,,,特朗普儿子称新冠病毒11月会消失,1,0,0,2020-05-18 19:37,🌙 0116 Android,,,
4506017470310604,J2wxB1iNK,2207117132,辰星之辉,特朗普，你既然说了美国1月11号就开始研制疫苗，还有什么脸甩锅中国？央视新闻：失信你也许永难挽回！#防疫##美国疫情##全球疫情##美国##特朗普崩溃了##特朗普这回说漏嘴了##特朗普儿子称新冠病毒11月会消失#L辰星之辉的微博视频,,,,"防疫,美国疫情,全球疫情,美国,特朗普崩溃了,特朗普这回说漏嘴了,特朗普儿子称新冠病毒11月会消失",1,0,2,2020-05-18 19:36,HUAWEI Mate 20 X,,"http://f.video.weibocdn.com/ekwZn40clx07DmXDOMPK010412004kZt0E010.mp4?label=mp4_ld&template=360x600.24.0&trans_finger=81b11b8c5ffb62d33ceb3244bdd17e7b&Expires=1589806707&ssig=pwJMTg6ENh&KID=unistore,video",
4506017171848510,J2wx77KSG,2885011957,楠枫居,#特朗普儿子称新冠病毒11月会消失#和他父亲一样喜欢胡说八道！奥巴马批评特朗普是有道理的！精英，在关键时刻必须承担起自己的责任！,,,,特朗普儿子称新冠病毒11月会消失,1,0,1,2020-05-18 19:35,HUAWEI Mate 9,['http://ww4.sinaimg.cn/large/abf5c9f5gy1gewu19vjimj23281q8qv5.jpg'],,
4506016119949385,J2wvpFKhX,6390214234,寿司店的凶杀案,#特朗普儿子称新冠病毒11月会消失#一家人不说两家话没有人比川普一家更懂新冠病毒了为迷之自信“点赞”,,,,特朗普儿子称新冠病毒11月会消失,0,0,1,2020-05-18 19:30,,,,
