id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4506023203119532,J2wGQd5x2,5969128713,甘愿陪你走下去,#田柾国经纪公司道歉##田柾国经纪公司道歉#感谢替豆豆说话的路人，相信正常的路人这件事肯定是能看清的，只不过是有些黄泉引路人酸鸡趁机造谣而已，看到真正路人发言会很感动，那些只狙小孩一个人的安的什么心大家都懂，希望不要继续发酵下去了，请多多爱他吧，拜托了。,,,,田柾国经纪公司道歉,0,0,0,2020-05-18 19:58,Android,,,
4506022670325150,J2wFZ1mAm,5744479925,小洪今天瘦了吗,#田柾国车银优郑在玹曾在梨泰院聚会##田柾国经纪公司道歉#???就因为是top就应该一个人被骂吗？双标你🐴，明明就是四个人一起，凭什么就我们小国被骂?26号吃的饭，禁令28号才出的。,,,,"田柾国车银优郑在玹曾在梨泰院聚会,田柾国经纪公司道歉",0,0,2,2020-05-18 19:56,OPPO R9,,,
4506022574829865,J2wFPkgt3,1645759270,Zankyo1013,#田柾国经纪公司道歉#田柾国粉丝为什么要给日本you翼洗地，原子弹下无冤魂好吗中韩一直是二战受害者，你们精日吗？日本大批平民支持日军占领东三省大片土地进行耕作，给日军做后备力量,,,,田柾国经纪公司道歉,0,1,0,2020-05-18 19:56,iPhone客户端,"['http://ww3.sinaimg.cn/large/62184b26gy1gewung6hjdj205g05i3yo.jpg', 'http://ww3.sinaimg.cn/large/62184b26gy1gewunfnzgyj208y08ygmk.jpg', 'http://ww4.sinaimg.cn/large/62184b26gy1gewungnq48j20rr0rs783.jpg']",,
4506020591145492,J2wCD4NZG,3223359167,梨里童,#田柾国经纪公司道歉#我比流言蜚语更早认识你,,西安,,田柾国经纪公司道歉,0,0,0,2020-05-18 19:48,HUAWEI P30 Pro,"['http://ww4.sinaimg.cn/large/c0208ebfly1gewufc7uokj20mx0ye7dk.jpg', 'http://ww2.sinaimg.cn/large/c0208ebfly1gewufbewpuj20qy0qyt9s.jpg']",,
4506017378053853,J2wxrxNaR,6227491165,-头油girl酷酷的,#田柾国经纪公司道歉#23了不是3岁不小了吧撞人谈恋爱夜店咖啥时候消停,,,,田柾国经纪公司道歉,0,5,6,2020-05-18 19:35,Android,,,
4506015967637215,J2wvaw2MT,6614574396,樱岛绘莉柚,#田柾国经纪公司道歉#四个人一起去的为什么只有田柾国上热搜？？？桃浦就应该背锅？？？小国没事就行了，造谣者biss,,,,田柾国经纪公司道歉,0,0,5,2020-05-18 19:29,Android,,,
4506015552421682,J2wuva9Zo,6822943190,去捉一碗湯圆,#田柾国经纪公司道歉#❓这点事也能上热搜又缺kpi吧,,,,田柾国经纪公司道歉,0,0,6,2020-05-18 19:28,微博国际版,,,
4506015016194346,J2wtDpZqO,5312588097,娱闻小师妹,韩国网友向青瓦台请愿，针对防弹少年团田柾国的种种过失，请求申请收回给BTS防弹少年团颁发的文化勋章…此前，#田柾国经纪公司道歉#，这件事件很严重啊,,,,田柾国经纪公司道歉,0,6,4,2020-05-18 19:26,荣耀V20 4800万3D相机,"['http://ww1.sinaimg.cn/large/005Nx4QNgy1gewts6h64bj30p01dkq7z.jpg', 'http://ww2.sinaimg.cn/large/005Nx4QNgy1gewts78q3uj30qo0rtjuj.jpg', 'http://ww3.sinaimg.cn/large/005Nx4QNgy1gewts8m9nij30qo0xhgrt.jpg', 'http://ww4.sinaimg.cn/large/005Nx4QNgy1gewts9lq4tj30qo19yq7o.jpg', 'http://ww4.sinaimg.cn/large/005Nx4QNgy1gewtsafff3j30qo0bfmyo.jpg', 'http://ww4.sinaimg.cn/large/005Nx4QNgy1gewtsb3aivj30qo0gvmzd.jpg', 'http://ww4.sinaimg.cn/large/005Nx4QNgy1gewtsbsnntj30qo0nxacj.jpg', 'http://ww4.sinaimg.cn/large/005Nx4QNgy1gewtscmk0kj30qo11rdjo.jpg', 'http://ww4.sinaimg.cn/large/005Nx4QNgy1gewtsdoycpj30o11cqq6n.jpg']",,
4506014982813153,J2wtAbNPr,3725773862,会火,#韩国网友请愿收回防弹少年团文化勋章#据韩媒，韩国网友向青瓦台请愿申请收回给防弹少年团颁发的文化勋章。据悉，此前田柾国、车银优、郑在玹、金珉奎四名偶像在韩国禁止外出令期间，前往梨泰院餐厅及两处娱乐场所进行了聚会，引发关注和讨论。随后#田柾国经纪公司道歉#。,,,,"韩国网友请愿收回防弹少年团文化勋章,田柾国经纪公司道歉",22,88,262,2020-05-18 19:25,,"['http://ww2.sinaimg.cn/large/de12cc26ly1gewtqaq1olj20u01qk7mj.jpg', 'http://ww2.sinaimg.cn/large/de12cc26ly1gewtue7c69j20u01qk4hs.jpg', 'http://ww3.sinaimg.cn/large/de12cc26ly1gewtuf2r4nj20qo12gq6v.jpg', 'http://ww4.sinaimg.cn/large/de12cc26ly1gewtufwlpuj20qo14wwl5.jpg', 'http://ww4.sinaimg.cn/large/de12cc26ly1gewtuglrdzj20qo0vndhy.jpg', 'http://ww3.sinaimg.cn/large/de12cc26ly1gewtui6kv5j20qo0hhmyq.jpg', 'http://ww2.sinaimg.cn/large/de12cc26ly1gewtume82dj20qo0yw0vt.jpg', 'http://ww4.sinaimg.cn/large/de12cc26ly1gewtv5x95jj20qo18g78v.jpg', 'http://ww1.sinaimg.cn/large/de12cc26ly1gewtun0ki8j20of1dzjv6.jpg']",,
4506014752465627,J2wtdalqb,3054997317,王奋斗少女,#田柾国经纪公司道歉#小屁孩给我在家好好反省吧，最近一段时间怕只能靠照片和考古度日了,,,,田柾国经纪公司道歉,0,0,2,2020-05-18 19:25,iPhone客户端,"['http://ww1.sinaimg.cn/large/b6178f45ly1gewtr9wtgmj20rs0rsq6w.jpg', 'http://ww4.sinaimg.cn/large/b6178f45ly1gewtr9wzo7j209t09tt8q.jpg']",,
