id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4506006892144382,J2wgx8ZQO,2088414047,炎阿茵_VickyYan,#神兽归笼大人们野了#这个说法……我妈还真是这么形容我弟上学的上周……乐了我也野了！！！每天都起不来床了！睡得可开心了哈哈哈哈没有我弟网课的吵闹,,,,神兽归笼大人们野了,0,0,0,2020-05-18 18:53,安静地在男神怀里,,,
4506006799533364,J2wgnE03W,6304085893,甜味肆汀_,#神兽归笼大人们野了#复课=大人们的假期？,,,,神兽归笼大人们野了,0,0,0,2020-05-18 18:53,360安全浏览器,,,
4506006632300304,J2wg79EpG,6304085893,甜味肆汀_,#神兽归笼大人们野了#熊孩子就该好好学习？？？我复制的这是啥玩意,,,,神兽归笼大人们野了,0,0,0,2020-05-18 18:53,360安全浏览器,,,
4506006569492979,J2wg0DPyz,6304681967,火锅仙子·ZYL,#神兽归笼大人们野了#没事没事，野不了多长时间了，马上放暑假[冰雪奇缘雪宝][冰雪奇缘雪宝][冰雪奇缘雪宝],,,,神兽归笼大人们野了,0,0,0,2020-05-18 18:52,朱一龙的小笼包,,,
4506006544267642,J2wfYhUcW,6304085893,甜味肆汀_,#神兽归笼大人们野了#哈哈哈哈，家长们开心坏了,,,,神兽归笼大人们野了,0,0,0,2020-05-18 18:52,360安全浏览器,,,
4506005638349196,J2wevz20s,5492042801,早日拿下CTA,#神兽归笼大人们野了#我同事夫妻俩今天都忘记接小孩放学了,,,,神兽归笼大人们野了,0,0,9,2020-05-18 18:49,iPhone客户端,,,
4506005473966621,J2wefgDTL,5252894574,江喵喵不吃鱼w,#神兽归笼大人们野了#哈哈哈哈，家长们开心坏了但是孩子们哭了这次终于理解老师的辛苦了吧,,,,神兽归笼大人们野了,0,0,2,2020-05-18 18:48,江喵喵是朱一龙的小笼包,,,
4506005399209234,J2we7CDK2,2134856783,专业潜水君Janus,#神兽归笼大人们野了#熊孩子就该好好学习，玩游戏这事儿放着我们来哈哈哈哈哈,,,,神兽归笼大人们野了,0,0,0,2020-05-18 18:48,iPhone客户端,,,
4506004626286692,J2wcSqnsg,5565557704,他比时光更温柔,#神兽归笼大人们野了#我也想野！可是魔兽下礼拜一才开学,,,,神兽归笼大人们野了,0,1,0,2020-05-18 18:45,,,,
4506004262492419,J2wciasoj,6335998915,芥末透明糖,#神兽归笼大人们野了#野啥啊，刚开学就公布7月一日放暑假了！,,,,神兽归笼大人们野了,0,5,10,2020-05-18 18:43,星光灿烂白宇的小宇宙,,,
4506003616466179,J2wbfr89d,1781465411,热游情报处,#神兽归笼大人们野了#被小学生支配的时代过去了！中小学陆续开学，大人们的时间多了起来。游戏界也深受影响，假期榜单霸主农药吃鸡遭遇滑铁卢，而以成年玩家为主力军的战争策略游戏@三国志战略版则顺势崛起，登顶榜首。你会选择玩哪个呢？@高晓松,,,"三国志战略版,高晓松",神兽归笼大人们野了,0,0,1,2020-05-18 18:41,搜狗高速浏览器,['http://ww3.sinaimg.cn/large/6a2f0143ly1gewsh7sj2fj20rc0p34qp.jpg'],,
4506002567936617,J2w9yxiFX,6340425246,烟柳木曦,#神兽归笼大人们野了#好奇为什么要叫神兽上次我爸这样讲我，我还以为是他自己编造的词,,,,神兽归笼大人们野了,0,0,5,2020-05-18 18:36,小城姑娘のAndroid,,,
4506002063616112,J2w8KfaIo,5991835682,杨成慧0810,#神兽归笼大人们野了#我家的神兽啥时候能开学,,,,神兽归笼大人们野了,0,0,1,2020-05-18 18:34,,,,
4505999820530096,J2w582dTW,6613432353,游戏就是力量,#神兽归笼大人们野了#跟小学生排位太难了！,,,,神兽归笼大人们野了,0,0,1,2020-05-18 18:25,搜狗高速浏览器,,,
4505999669809422,J2w4SF9Su,2899387081,木子纪年,#神兽归笼大人们野了#孩子们太可怜了,,,,神兽归笼大人们野了,0,0,1,2020-05-18 18:25,广告招商Android,,,
4505999588891915,J2w4KBjbZ,6613432465,游戏精灵怪,#神兽归笼大人们野了#哈哈，排位终于要少很多小学生了，张口就带我吃鸡！！！,,,,神兽归笼大人们野了,0,0,0,2020-05-18 18:25,搜狗高速浏览器,,,
4505999358497068,J2w4nzEtu,6613432437,电竞圈资讯局,#神兽归笼大人们野了#我说最近廉颇的胜率怎么一下子上去了，你说这事儿整的，挺带劲,,,,神兽归笼大人们野了,0,0,0,2020-05-18 18:24,iPhone客户端,['http://ww1.sinaimg.cn/large/007dzhT7ly1gewrzgu593j30k013c1kx.jpg'],,
4505999283174743,J2w4gdjTx,2899387081,木子纪年,#神兽归笼大人们野了#,,,,神兽归笼大人们野了,0,0,0,2020-05-18 18:23,广告招商Android,,,
4505999178510503,J2w45zHYb,1574122511,禁止重名,#神兽归笼大人们野了#复课=大人们的假期？,,,,神兽归笼大人们野了,0,0,0,2020-05-18 18:23,360安全浏览器,['http://ww1.sinaimg.cn/large/5dd3340fly1gewryv1yg0j20c90c774w.jpg'],,
4505999060727676,J2w3U33iI,6613432381,围观游戏圈,#神兽归笼大人们野了#一张图全明白了，王者跌倒第二了,,,,神兽归笼大人们野了,0,2,3,2020-05-18 18:22,iPhone客户端,['http://ww3.sinaimg.cn/large/007dzhSdly1gewrybjklzj30k013c1kx.jpg'],,
4505998084130807,J2w2khkBV,6613432309,游戏势力榜,#神兽归笼大人们野了#被小学生支配的时代过去了！中小学陆续开学，大人们的时间多了起来。游戏界也深受影响，假期榜单霸主农药吃鸡遭遇滑铁卢，而以成年玩家为主力军的战争策略游戏@三国志战略版则顺势崛起，登顶榜首。你会选择玩哪个呢？@高晓松,,,"三国志战略版,高晓松",神兽归笼大人们野了,0,0,0,2020-05-18 18:18,iPhone客户端,,,
