id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4506005474890692,J2wefkwi8,2959684462,爱吃鱼的W星人,#给分手前的你通话一小时#,,,,给分手前的你通话一小时,0,0,0,2020-05-18 18:48,平凡而伟大Android,,,
4506005424222728,J2weahIww,5930437416,喵公子Mag,#给分手前的你通话一小时#分的帅气一点别拖泥带水！话说你们现在和前任还有联系吗,,,,给分手前的你通话一小时,0,0,1,2020-05-18 18:47,,,,
4506004915799659,J2wdlokKT,5651861238,Evan芒果橘,#给分手前的你通话一小时#喜欢就喜欢了有没有以后不重要活好当下快乐比什么都重要,,,,给分手前的你通话一小时,0,0,0,2020-05-18 18:46,阿俊麻麻的iPhone 11(红色),,,
4506004903759321,J2wdkfLYd,6588810871,文案分享录,可以回头看但不能往回走#给分手前的你通话一小时#,,,,给分手前的你通话一小时,0,0,1,2020-05-18 18:46,,,,
4506004731840288,J2wd37IK4,5604199460,甜中带着敏感,#给分手前的你通话一小时#把内心的真实想法全部说出来,,,,给分手前的你通话一小时,0,0,0,2020-05-18 18:45,前置双摄vivo X9sPlus,,,
4506004664807280,J2wcWkaAM,5982693216,Chic沁公子,#给分手前的你通话一小时#为什么分手前还要通话呢你认为分手后还可以做朋友吗？,,,,给分手前的你通话一小时,0,3,39,2020-05-18 18:45,,,,
4506004492881019,J2wcFc5u3,2317930777,cestlavie555,#给分手前的你通话一小时#走的潇洒点,,,,给分手前的你通话一小时,0,0,0,2020-05-18 18:44,iPhone客户端,,,
4506004345262973,J2wcqm58F,1750175405,京沪财女,#给分手前的你通话一小时#不要让情绪支配你的人生你就是自己最好的心理医生,,,,给分手前的你通话一小时,0,0,1,2020-05-18 18:44,iPhone客户端,,,
4506004166025182,J2wc8phqm,6274960721,喜欢看盛世美颜的人,#给分手前的你通话一小时#在想一想,,,,给分手前的你通话一小时,0,0,0,2020-05-18 18:43,vivo智能手机,,,
4506004128145505,J2wc4yb17,5587472080,娜娜i遛狗,#给分手前的你通话一小时#分手gkd别磨磨唧唧的,,,,给分手前的你通话一小时,0,0,0,2020-05-18 18:43,iPhone客户端,,,
4506004090308169,J2wc11iat,5237695079,kjn煎饺馆116号,#给分手前的你通话一小时#别纠缠了，不值得,,,,给分手前的你通话一小时,0,0,0,2020-05-18 18:43,旧手机换的iPhone 8 Plus,,,
4506003737082008,J2wbrtIlW,2456638407,小煜臻,#给分手前的你通话一小时#往S裡數落對方只有更渣，沒狠渣,,深圳,,给分手前的你通话一小时,0,0,1,2020-05-18 18:41,iPhone客户端,,,
4506003729069047,J2wbqC3gX,6316141610,久爱小新,#给分手前的你通话一小时#我和他不清不楚分开了，现在还在傻傻的等着他回心转意期待着他……,,,,给分手前的你通话一小时,0,0,0,2020-05-18 18:41,OPPO Reno2,,,
4506003691081543,J2wbn4xmf,5995634977,愿凭温柔相待,#给分手前的你通话一小时#,,,,给分手前的你通话一小时,0,0,0,2020-05-18 18:41,vivo AI智慧拍照X21,,,
4506003574418693,J2wbbixvf,1801838560,温州微博大事小事,#给分手前的你通话一小时#你有为分手后悔过吗？有为分手后悔过吗？,,,,给分手前的你通话一小时,0,0,7,2020-05-18 18:41,360安全浏览器,,,
4506003514741761,J2wb5jTy1,5443237101,没办法就是很努力的girl高,#给分手前的你通话一小时#哇,,,,给分手前的你通话一小时,0,0,0,2020-05-18 18:40,Android,,,
4506003377612203,J2waRvWht,5509810414,谢坤看见,#狗子聪明出逃#奈何还是逃不出主人的魔爪，一大波调皮狗被抓现场…#心脏不好不要养狗##微博釆访##给分手前的你通话一小时#L谢坤看见的微博视频,,,,"狗子聪明出逃,心脏不好不要养狗,微博釆访,给分手前的你通话一小时",1,0,7,2020-05-18 18:40,人民丝路©Android,,"http://f.video.weibocdn.com/KlVvKhfGlx07DmTNlNnW010412007Xg50E010.mp4?label=mp4_ld&template=360x640.24.0&trans_finger=81b11b8c5ffb62d33ceb3244bdd17e7b&Expires=1589802461&ssig=5MH59gChOg&KID=unistore,video",
4506002403472743,J2w9iezpZ,5123924307,江西赖床锦标赛冠军得主,#给分手前的你通话一小时#沉住气，应该等他自己来说的,,,,给分手前的你通话一小时,0,0,0,2020-05-18 18:36,白给的Android,,,
