id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4506021920253875,J2wEM142L,2496519594,分宜发布,【为“赶进度”，#美药企跳过疫苗研发关键实验环节#！疫苗“安全”谁来保障？】据今日俄罗斯电视台网站5月16日报道，美国政府4月启动所谓的“曲速行动”，推动卫生与公众服务部、国防部等多部门加速研发针对新冠肺炎的疫苗。美国总统特朗普还称，争取今年年底前实现疫苗的量产和分发。在这样的情况下，一些美国医药公司为了“赶进度”跳过关键实验环节。比如，总部位于美国马萨诸塞州的生物技术公司莫德纳公司正在进行一项疫苗研发计划。然而这家公司此前并未向市场推出过任何疫苗产品，并且公司正在研制的mRNA疫苗此前从未获准在人体上使用。报道说，莫德纳公司研发的疫苗完全跳过了动物实验，公司负责人扎克斯称，为了安全性考虑前期先在动物身上实验的做法“没有必要”。对此，一些专家提出了质疑。美国休斯敦贝勒医学院教授彼得·霍特兹日前在美国国会作证时就表示，根据此前的经验，针对冠状病毒的疫苗此前在进行动物实验时就曾出现免疫失败的情况。彼得·霍特兹认为，任何疫苗在大规模应用前，必须要经过至少一年时间的安全性观察。L央视财经的酷燃视频（央视财经）,,,,美药企跳过疫苗研发关键实验环节,0,0,0,2020-05-18 19:53,微博 weibo.com,,"http://fus.cdn.krcom.cn/tE0rWfcklx07Dl7ooOco01041200fKAa0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=d167526c00113cfa24f246ec72eeaa71&Expires=1589806729&ssig=AX89hT9blT&KID=unistore,video",
4506020476888909,J2wCrsU7r,1687367547,实况神圣,#美药企跳过疫苗研发关键实验环节#所以还是中医靠谱，身体健康最重要。我就经常去中医学院查心电图和彩超那些，去中医学院和同仁堂挂博士生导师或者专家门诊扎针灸那些。很多还是队医。#中医养生##中医#,,成都·抚琴,,"美药企跳过疫苗研发关键实验环节,中医养生,中医",1,5,0,2020-05-18 19:47,HUAWEI Mate30 Pro 5G,"['http://ww2.sinaimg.cn/large/64932f7bgy1gewucb7hzbj20u01p87am.jpg', 'http://ww4.sinaimg.cn/large/64932f7bgy1gewucc4cwgj20u01p8k39.jpg', 'http://ww3.sinaimg.cn/large/64932f7bgy1gewuccwt6ij20u0140n28.jpg', 'http://ww2.sinaimg.cn/large/64932f7bgy1gewucdwjkrj20u0140ti3.jpg', 'http://ww2.sinaimg.cn/large/64932f7bgy1gewuceqa4aj20u014044q.jpg', 'http://ww1.sinaimg.cn/large/64932f7bgy1gewucfmf9ej20u0140thz.jpg', 'http://ww1.sinaimg.cn/large/64932f7bgy1gewucglojuj20u01407cm.jpg', 'http://ww2.sinaimg.cn/large/64932f7bgy1gewuchp8t3j20u0140djv.jpg', 'http://ww1.sinaimg.cn/large/64932f7bgy1gewucihpytj20u0140dku.jpg']",,
4506020166690000,J2wBWs4ne,1025473561,小溪里的一条大鲤鱼,#美药企跳过疫苗研发关键实验环节#终于明白为啥这么多美国人不想打疫苗了，要我是美国人我也不敢呀！,,,,美药企跳过疫苗研发关键实验环节,0,0,0,2020-05-18 19:46,iPhone客户端,,,
4506019995053090,J2wBFlcxs,1360395115,才灵家园,#美药企跳过疫苗研发关键实验环节#病毒疫苗的研发每一个步骤都是不容忽视的，因为接下来它将面对的是千千万万个生命。美国药品生产企业的行为是对生命的极端不负责，期待他们或许是掌握某种先进科技吧…,,,,美药企跳过疫苗研发关键实验环节,0,0,0,2020-05-18 19:45,联想S5Pro 偶像级自拍,,,
4506019508142096,J2wASya88,3218669447,静静的衢江,#美药企跳过疫苗研发关键实验环节#我们无所谓，不进口这样的疫苗不做小白鼠，关键，美国人民怎么想？,,衢州,,美药企跳过疫苗研发关键实验环节,0,7,1,2020-05-18 19:43,OPPO超视野全面屏R15,,,
4506016744160804,J2wwqhspK,1719889461,建筑生成的逻辑,#美药企跳过疫苗研发关键实验环节#疫苗大战的确无法预料结果。福利继续——张蓝心,,,,美药企跳过疫苗研发关键实验环节,0,0,1,2020-05-18 19:32,vivo X27,"['http://ww4.sinaimg.cn/large/66836e35ly1gewtz7bvg7j21d60wsapr.jpg', 'http://ww3.sinaimg.cn/large/66836e35ly1gewtz7uyn7j215o0rugys.jpg', 'http://ww2.sinaimg.cn/large/66836e35ly1gewtz89qqoj21jk15bh4n.jpg', 'http://ww3.sinaimg.cn/large/66836e35ly1gewtz8tj2vj21jk112kbn.jpg', 'http://ww4.sinaimg.cn/large/66836e35ly1gewtzb270mj215o1jkwtr.jpg', 'http://ww3.sinaimg.cn/large/66836e35ly1gewtzbpeitj21jk112ni1.jpg', 'http://ww3.sinaimg.cn/large/66836e35ly1gewtzc68lcj20rs0z5qcx.jpg', 'http://ww3.sinaimg.cn/large/66836e35ly1gewtzcmi90j20rs11916x.jpg', 'http://ww4.sinaimg.cn/large/66836e35ly1gewtzdej64j21jk1117h5.jpg']",,
4506016442320128,J2wvW9Jzq,1740797931,OraneChen,#美药企跳过疫苗研发关键实验环节#如果未来美国解释说病毒来自外星人我也一点不奇怪,,,,美药企跳过疫苗研发关键实验环节,0,0,1,2020-05-18 19:31,iPhone,,,
4506014625946134,J2wt0oWRo,6153442530,润崽能有猫崽,#美药企跳过疫苗研发关键实验环节#我只希望快点好起来！虽然心急了点美国人民加油,,,,美药企跳过疫苗研发关键实验环节,0,0,0,2020-05-18 19:24,,,,
4506014621354435,J2wt05GlJ,1666379187,朱门酒肉香,#美药企跳过疫苗研发关键实验环节#谁说跳过了关键环节？他们的实验只是用美国人代替了动物罢了。,,,,美药企跳过疫苗研发关键实验环节,0,5,3,2020-05-18 19:24,微博搜索,,,
4506013845621280,J2wrKnAlO,1672449254,闇夜打鐘,#美药企跳过疫苗研发关键实验环节#我艹！日本你特么最好别进口美国的疫苗！不然我宁可自掏机票和疫苗钱回国打！,,,,美药企跳过疫苗研发关键实验环节,0,0,1,2020-05-18 19:21,iPhone,,,
4506012189750386,J2wp4EUwi,6160766122,热爱的旅行分享,#美药企跳过疫苗研发关键实验环节#太心急了吧，妈呀这是啥呀真是奇思妙想呢,,,,美药企跳过疫苗研发关键实验环节,0,0,0,2020-05-18 19:14,君评天下事超话,,,
4506008980589153,J2wjU2tgt,6274746757,琬言66,#美药企跳过疫苗研发关键实验环节#？？？只要不出口，随你们开心。。。,,,,美药企跳过疫苗研发关键实验环节,0,0,1,2020-05-18 19:02,OPPO A7x,,,
4506008791330971,J2wjB5Afh,6184922575,sunnysunnysunny888,事出反常必有妖！！！——美国药企是为了赶进度跳过关键实验环节，还是其实早就有疫苗，只不过找个不被全世界追责的借口拿出来用？？！——50多的英国首相中招了，70多的特朗普几次与后来确诊者接触却没有中招？！！——4月20日的白宫记者会前，一名工作人员说，在这里不用戴口罩，因为每个人都接种了疫苗。疫苗的研制和测试需要的时间在一年以上，以确保不会发生身体副作用，按这个时间点推算，美国的疫苗是什么时候研制生产的？——最大可能是：冠状病毒早就已在美国流行，所以早就研发出疫苗。并且特朗普一大家子等白宫核心成员，早就打了疫苗！！！所以70多的特朗普几次与后来确诊者接触却没有中招！！！——美国之所以隐瞒有疫苗，是为了推责！以免全世界要向它索赔！！！——但是纸包不住火，事实真相迟早会以各种方式漏出来。特朗普这回说漏嘴了，还不是全部真相、还不是最重要的真相，而只是真相的冰山一角！！！----------------------------------------------------------------------------------目前从各方面信息综合来看，可以得出的逻辑推论是——无论是天灾、还是实验室产品，美国是疫情的真正来源。中国的爆发，是美国有意、或者无意传到中国来的。赵立坚质问美国，是有合乎逻辑的事实依据的：例如——美国的疫苗怎么比中国还要快地研发出来，当时美方公布病例只有几十例，美国为什么要为几十例病例投入研发疫苗的巨资？又例如——2019-2020年那一场季度流感，2600万人感染，在死亡的1.4万人当中，美国卫生官员自己都承认：可能与新型冠状病毒感染有关。又例如——如果不是长时间的酝酿扩散，地广人稀的美国疫情是不会这么严重。。。美国病毒扩散时间远远大于两个月。#特朗普这回说漏嘴了##美药企跳过疫苗研发关键实验环节#,,,,"特朗普这回说漏嘴了,美药企跳过疫苗研发关键实验环节",0,0,13,2020-05-18 19:01,微博搜索,,,
4506008296185259,J2wiNpX4f,5947099317,可爱的贱神,#美药企跳过疫苗研发关键实验环节#用自由女神的子民的生命来保证安全。,,,,美药企跳过疫苗研发关键实验环节,0,0,0,2020-05-18 18:59,荣耀20,,,
4506008061762792,J2wiq7oA8,5886068527,我只剩六块钱了,#沙赞导演隔离在家拍恐怖片#人不愧是人才，导演不愧是导演，即使隔离也要不白闲一回佩服！#美药企跳过疫苗研发关键实验环节#服了，关键环节都跳过，是把人命当什么玩意啦？！就怕救不过来还会出现一堆副作用后遗症咋办？！,,,,"沙赞导演隔离在家拍恐怖片,美药企跳过疫苗研发关键实验环节",0,0,0,2020-05-18 18:58,21世纪女明星超话,,,
4506007831444487,J2wi363Mb,2131469057,落樱下的梦,#美药企跳过疫苗研发关键实验环节#我有一个大胆的想法,,,,美药企跳过疫苗研发关键实验环节,0,0,0,2020-05-18 18:57,iPhone客户端,,,
4506007584060337,J2whEh2hj,6296314614,芳菲小茜,#美药企跳过疫苗研发关键实验环节#不买就行了，至于其它的事还是少操心吧！说不定就搞出来了呢！毕竟第一个做外科手术的人也是打破禁忌获得成功的！,,,,美药企跳过疫苗研发关键实验环节,0,0,0,2020-05-18 18:56,菲我莫属Android,,,
4506006887020703,J2wgwtsp9,5792110913,漠北长歌哭辉落,#美药企跳过疫苗研发关键实验环节#那又怎么样！！！,,,,美药企跳过疫苗研发关键实验环节,0,0,0,2020-05-18 18:53,HUAWEI Mate 10 Pro,,,
4506006618721512,J2wg5AARy,2461003235,郭郭Cappuccino,#美药企跳过疫苗研发关键实验环节#真的很迷惑，这都一天天的啥操作,,,,美药企跳过疫苗研发关键实验环节,1,0,0,2020-05-18 18:52,,,,
4506005922306548,J2weY9G2o,3211798915,木乔乔,#美药企跳过疫苗研发关键实验环节#那还是用我们自己国家研发的比较安全。跳过疫苗研发关键实验阶段，万一出了什么问题，说不定命就搭上了。,,,,美药企跳过疫苗研发关键实验环节,1,0,1,2020-05-18 18:49,伞伞惹人爱超话,,,
4506005159306539,J2wdJD33t,2113500964,平安十堰,#美药企跳过疫苗研发关键实验环节#你知道吗？原来疫苗是这样研究出来的？病毒进入人体后，分两种情况。L健康界的微博视频,,十堰·十堰市人民公园,,美药企跳过疫苗研发关键实验环节,0,0,1,2020-05-18 18:46,OPPO R9s,,"http://f.video.weibocdn.com/k2LBhbGIlx07CSleYAqc01041200cbSs0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1589806848&ssig=OZ2Q%2FTVOps&KID=unistore,video",
4506004756771493,J2wd5spzD,7103912463,soso_望仙水,#美药企跳过疫苗研发关键实验环节#goon你们开心就好,,,,美药企跳过疫苗研发关键实验环节,2,0,1,2020-05-18 18:45,华为手机 畅享玩不停,,,
4506004706216233,J2wd0q57P,5519537935,Wendychenyan,#美药企跳过疫苗研发关键实验环节#这个步骤怎么能跳过，也太不尊重生命了吧。,,,,美药企跳过疫苗研发关键实验环节,0,0,1,2020-05-18 18:45,紫樱超话,,,
4506003938901790,J2wbLBlLg,1192230491,郝吉林,#美药企跳过疫苗研发关键实验环节#不可能不做临床前的试验，着急了恐怕要“731部队”了，只是不知道谁不走运将成为他们的试验工具。,,,,美药企跳过疫苗研发关键实验环节,0,0,1,2020-05-18 18:41,华为畅享10 Plus,,,
4506003561236292,J2wba5bCc,6053871605,追莔,#美药企跳过疫苗研发关键实验环节#美国欠全世界一个交代#美国疫情##美国#,,,,"美药企跳过疫苗研发关键实验环节,美国疫情,美国",0,0,1,2020-05-18 18:40,华为手机 畅享玩不停,"['http://ww2.sinaimg.cn/large/006BHqyply1gewsf3zss0j30u01o07kt.jpg', 'http://ww2.sinaimg.cn/large/006BHqyply1gewsf5jjg5j30u01o0tt4.jpg', 'http://ww2.sinaimg.cn/large/006BHqyply1gewsf6omeaj30u01o0wx2.jpg', 'http://ww3.sinaimg.cn/large/006BHqyply1gewsf7ufy3j30u01o0ndb.jpg', 'http://ww4.sinaimg.cn/large/006BHqyply1gewsf9bwwyj30u01o0dxb.jpg', 'http://ww2.sinaimg.cn/large/006BHqyply1gewsfaqpvpj30u01o0qhw.jpg']",,
4506003519182492,J2wb5CwMI,3466054932,寻找阳光的旅行者,#美药企跳过疫苗研发关键实验环节#谁放毒，谁就有解药。要不然特朗普的免疫力哪里来的,,,,美药企跳过疫苗研发关键实验环节,0,0,0,2020-05-18 18:40,小米6X 拍人更美,,,
4506003419352625,J2waVDf2N,3142846247,浙江团省委,【中国战疫时，美国在做什么？】事实胜于雄辩，时间会告诉我们答案！中国积极探索，发现#可阻断新冠感染的人源单克隆抗体#，疫苗研发取得巨大进展；而#美药企跳过疫苗研发关键实验环节#至人的生命于何处？L浙江团省委的微博视频,,,,"可阻断新冠感染的人源单克隆抗体,美药企跳过疫苗研发关键实验环节",1,0,5,2020-05-18 18:39,微博视频,,"http://f.video.weibocdn.com/001NAzjwgx07DmTO3AZ101041200cOQT0E010.mp4?label=mp4_ld&template=636x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1589806848&ssig=tNghRD1cPx&KID=unistore,video",
