id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4506005407211879,J2we8ug8D,5995137699,我和两个宝宝,#苹果拿走全球手机市场66%的利润#怎么这么多慕洋犬这个多狗啊到底是水军还是真的中国网民？,,,,苹果拿走全球手机市场66%的利润,0,0,0,2020-05-18 18:47,小米Max,,,
4506005364865053,J2we4kpCB,5706808105,无惧CZC,#苹果拿走全球手机市场66%的利润#中国崛起，时间问题，期待吧✔,,,,苹果拿走全球手机市场66%的利润,0,0,0,2020-05-18 18:47,小米8周年旗舰手机,,,
4506005289202686,J2wdWCC2q,2811452667,王丽茬,#苹果拿走全球手机市场66%的利润#iPhone的利润太高了！溢价是安卓手机比不了的啊,,,,苹果拿走全球手机市场66%的利润,0,1,2,2020-05-18 18:47,Android,"['http://ww1.sinaimg.cn/large/a7935cfbly1gewso40n7cj20u010ygtx.jpg', 'http://ww2.sinaimg.cn/large/a7935cfbly1gewso48oppj20u01ct49e.jpg']",,
4506004924504092,J2wdmiTIE,2597199275,轴心时代,#苹果拿走全球手机市场66%的利润#苹果赚钱多就是应该，hovm赚点钱就是智商税，果孝子来了,,,,苹果拿走全球手机市场66%的利润,0,0,1,2020-05-18 18:45,一只柠檬鲸,,,
4506004744456032,J2wd4iHdu,1647210043,百姓关注,【#苹果拿走全球手机市场66%的利润#5G时代国产品牌弯道超车正当时】直到2019年第三季度，根据市场调研机构CounterpointResearch发布的数据，苹果依然能够拿走全球手机市场66%的净利润，而剩下34%的蛋糕中，三星又拿走了一半（17%），剩下17%的利润由其他手机厂商瓜分。#你觉得什么品牌的手机最好用#你觉得什么品牌的手机最好用？,,,,"苹果拿走全球手机市场66%的利润,你觉得什么品牌的手机最好用",0,1,21,2020-05-18 18:45,iPhone X,,,
4506004677110113,J2wcXtPFf,5317771727,官十岁,#苹果拿走全球手机市场66%的利润#这个数据出自哪里？远低于苹果手机的利润了，之前看到两年多前的数据，记得苹果的利润率达到85%来着。,,,,苹果拿走全球手机市场66%的利润,0,0,0,2020-05-18 18:44,果蛆野爹的Android,,,
4506004647981214,J2wcUxuhg,2143333154,温若嫣商务,#苹果拿走全球手机市场66%的利润#这个就厉害了。#中国移动拿去年全年利润投资5G#很快又赚回来了，自从有5g以后整个人都精神了，4g慢了，也卡了，好喜欢5G,,,,"苹果拿走全球手机市场66%的利润,中国移动拿去年全年利润投资5G",32,33,36,2020-05-18 18:44,,"['http://ww3.sinaimg.cn/large/7fc0ab22gy1gewskhem24j20go08cglt.jpg', 'http://ww4.sinaimg.cn/large/7fc0ab22gy1gewskh315nj20g207ot9g.jpg', 'http://ww3.sinaimg.cn/large/7fc0ab22gy1gewskhr5b5j20cs07sjrs.jpg', 'http://ww3.sinaimg.cn/large/7fc0ab22gy1gewski4snbj20m80ci3zn.jpg', 'http://ww3.sinaimg.cn/large/7fc0ab22gy1gewskjyfjwj20ip0c9mxc.jpg', 'http://ww4.sinaimg.cn/large/7fc0ab22gy1gewskivwn3j20dc082t8p.jpg', 'http://ww3.sinaimg.cn/large/7fc0ab22gy1gewskkanxpj20j60brwg4.jpg', 'http://ww2.sinaimg.cn/large/7fc0ab22gy1gewskihpdlj20jj0cu74p.jpg', 'http://ww3.sinaimg.cn/large/7fc0ab22gy1gewskj9i0hj20cq09jwf3.jpg']",,
4506004500359308,J2wcG1vti,1646462834,璋璋zyz,#苹果拿走全球手机市场66%的利润#资本家在掠夺和剥削全世界，全世界无产者联合起来，打破旧世界，建立新世界——不要打到了资本家，而捧出更狠的、伪善的、披着其他外衣的新资本家。,,,,苹果拿走全球手机市场66%的利润,0,0,1,2020-05-18 18:44,世界大同Android,,,
4506004487991738,J2wcExx10,3935839822,sunny兮兮,#苹果拿走全球手机市场66%的利润#放弃了用了7年的苹果除了系统流畅，其他真的没啥进步！美国人，眼里只有钱赚那么多钱不想搞研发搞创新！四年了还是一样的破外观，破相机……现在换了华为，感觉很香！发出去可能会遇到喷子，没办法！现在华为挺好的！,,上海,,苹果拿走全球手机市场66%的利润,0,1,1,2020-05-18 18:44,HUAWEI Mate30 Pro 5G,,,
4506004316434320,J2wcnqZRm,5664787417,猫两岁CatStyle,#苹果拿走全球手机市场66%的利润#几年前，苹果+三星拿走超过100%，其他家综合是赔钱的。过了几年，苹果+三星是95%现在，苹果+三星是83%已经是巨大进步了。,,,,苹果拿走全球手机市场66%的利润,1,3,4,2020-05-18 18:43,HUAWEI Mate 30 5G,,,
