id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4506007633687348,J2whJftfm,1650933515,扬帆向北,#苹果支持安卓手机以旧换新#受到疫情影响销量下滑，苹果急了？你会去苹果官网以旧换新购买苹果新机吗？,,,,苹果支持安卓手机以旧换新,0,0,0,2020-05-18 18:56,,,,
4506007633615057,J2whJfarn,3030079272,元气甘甘,苹果官方商城的以旧换新，支持安卓机了，华为P30pro最高可抵1700其他机型价格如图#苹果支持安卓手机以旧换新#,,,,苹果支持安卓手机以旧换新,0,0,0,2020-05-18 18:56,,"['http://ww4.sinaimg.cn/large/b49b5728gy1gewsx7enkkj21yz1b2hce.jpg', 'http://ww2.sinaimg.cn/large/b49b5728gy1gewsx5xn9mj20ng0uoabw.jpg']",,
4506007617909878,J2whHxbIG,6879873429,七月的小傻子,#苹果支持安卓手机以旧换新#这有点让我怀疑手机里面有什么毕竟我是个怂到旧手机压箱底都不敢丢掉的人虽然奇奇怪怪的推销诈骗电话也基本没断过吧,,,,苹果支持安卓手机以旧换新,0,0,0,2020-05-18 18:56,荣耀20 PRO,,,
4506007596888839,J2whFsU6j,2061978671,你为dva我为岱玹,#苹果支持安卓手机以旧换新#苹果只用过5，6，macbookair和ipad2，不出意外，这辈子应该都不会再用苹果的产品了。。。,,,,苹果支持安卓手机以旧换新,0,0,0,2020-05-18 18:56,HUAWEI Mate 30 5G,,,
4506007583475091,J2whEeA1R,5232266926,做仙女好难啊,#苹果支持安卓手机以旧换新#别骂了，别争了，一手苹果一手安卓不行吗？一堆脑残，煞笔,,,,苹果支持安卓手机以旧换新,0,0,0,2020-05-18 18:56,nova4自拍极点全面屏,,,
4506007541405970,J2whA5TKW,1865795541,鲸鱼HUAHUA_,#苹果支持安卓手机以旧换新#我迷惑，我不是阴谋论者，但这波操作我真的迷。,,,,苹果支持安卓手机以旧换新,0,0,0,2020-05-18 18:56,HUAWEI P30,,,
4506007437740027,J2whpwtx9,1285452502,老凉,#苹果支持安卓手机以旧换新#苹果进一步拉低人们购买iPhone的门槛儿，不管是推新款SE，还是买了SE原价折扣新款旗舰，或者是这次的官方玩起安卓手机以旧换新，都是放低身段，这跟安卓手机的向上的路径不一样，苹果是逐渐向中低端渗透。苹果这么做，可以理解未为接地气，也可以理解为压力大。,,,,苹果支持安卓手机以旧换新,0,0,1,2020-05-18 18:55,老凉超话,,,
4506007432256182,J2whp9sW2,3928217853,娱乐圈半仙,#调查##苹果支持安卓手机以旧换新#苹果、华为、小米、OPPO、VIVO，你现在用的那个牌子的手机？你现在用的哪个牌子的手机？,,,,"调查,苹果支持安卓手机以旧换新",0,0,4,2020-05-18 18:55,Android,,,
4506007425121319,J2wholuhV,2930162624,司馬子瀟瀟,#苹果支持安卓手机以旧换新#这是要准备蚕食安卓市场呗。问题是，有没有人真的想这么做。否则早就买苹果何必再用安卓。,,,,苹果支持安卓手机以旧换新,1,1,3,2020-05-18 18:55,,,,
4506007373363689,J2whje733,2588125414,宁波公安,【防范金融风险：三步教你识别集资诈骗】近几年，“非法集资”也披上了“金融创新”的外衣，受害者动辄损失钱财，更有甚者倾家荡产。究竟如何分辨集资诈骗？这几招可千万要记好↓↓#26岁女生涉嫌集资诈骗1400万#L盛京视频的酷燃视频#苹果支持安卓手机以旧换新#,,,,"26岁女生涉嫌集资诈骗1400万,苹果支持安卓手机以旧换新",0,0,1,2020-05-18 18:55,iPhone 11,,"http://fus.cdn.krcom.cn/000SFmPmlx07t6pHKJ4Y01041200aGOV0E010.mp4?label=mp4_ld&template=640x360.20.0&Expires=1589802988&ssig=CSOlZYAVmh&KID=unistore,video",
4506007331567939,J2whf6zTl,2334479323,日鲤万机,#苹果支持安卓手机以旧换新#话说你现在用的是什么手机？话说你现在用的是什么手机？,,,,苹果支持安卓手机以旧换新,0,0,3,2020-05-18 18:55,OnePlus 8 Pro,,,
4506007327361363,J2wheuT1F,2395196713,阳山花非花,#苹果支持安卓手机以旧换新##苹果支持安卓手机以旧换新#，你现在用的什么手机？（TY）#手机#,,,,"苹果支持安卓手机以旧换新,手机",0,0,0,2020-05-18 18:55,花非花茶庄Android,,,
4506007278149463,J2wh9yc2X,5866783957,小杨不会摇花手,#苹果支持安卓手机以旧换新#以旧换新本来就是便民不是用来拿安卓手机估价做对比的不值钱也是因为手机型号的不同二手就是二手就算去别的地方回收也高不了多少不知道在杠什么,,,,苹果支持安卓手机以旧换新,0,0,0,2020-05-18 18:55,iPad mini,,,
4506007223478663,J2wh4eAXt,5371380446,我想吃肉嘞,苹果支持安卓手机以旧换新迷惑行为,,辛集市,,,0,0,0,2020-05-18 18:55,三星A8s黑瞳全视屏,,,
4506007198592407,J2wh1A3hd,6457966939,给我留一口小零食,#苹果支持安卓手机以旧换新#回收手机的价格不在于你的机子多少钱，而在于你手机里的信息值多少钱，要是有机密信息，国防军工，科技制造图，就是顶价,,,,苹果支持安卓手机以旧换新,0,0,0,2020-05-18 18:55,iPhone XS Max,,,
4506007114430383,J2wgTiAxN,5385011673,三才剑魂,#苹果支持安卓手机以旧换新#评论说盗取技术的人，多少有点脑瘫，竟然还有那么多赞，都没有脑子么？想研究人家直接买个新的不好么还特么用二手机盗取技术。,,,,苹果支持安卓手机以旧换新,0,0,0,2020-05-18 18:54,HUAWEI Mate 20 Pro,,,
4506007084584377,J2wgQjeBz,1306151395,靳wolf东,#苹果支持安卓手机以旧换新#华为P30Pro最高抵1700元有病吧！！我觉得华为就是比爱疯强,,,,苹果支持安卓手机以旧换新,0,0,0,2020-05-18 18:54,靳东拿过的Android,,,
4506007021097490,J2wgK4Bvs,6693216447,_揽星纵月,#苹果支持安卓手机以旧换新#虽然现在一直是用苹果。但这操作确实有点迷🙊,,,,苹果支持安卓手机以旧换新,0,0,0,2020-05-18 18:54,洛洛小朋友iPhone客户端,,,
4506006911989824,J2wgz8lDW,5547395717,·亭书浅阅·,#苹果支持安卓手机以旧换新#为啥要换，国产手机它不香嘛，用旧了我还买国产,,,,苹果支持安卓手机以旧换新,0,1,0,2020-05-18 18:54,阅小半超话,,,
4506006854312497,J2wgti5Sp,6388380702,兔兔的小小宝贝吖,#苹果支持安卓手机以旧换新#我的苹果手机，我都不想换了，想等5G的苹果,,,,苹果支持安卓手机以旧换新,0,0,1,2020-05-18 18:53,iPhone X,,,
4506006850427588,J2wgt1NeA,6399161334,ts-x-西柚,#苹果支持安卓手机以旧换新#辣鸡手机不说了，闪退发热死机，嗯就是苹果11,,,,苹果支持安卓手机以旧换新,0,1,1,2020-05-18 18:54,iPhone客户端,,,
4506006828803064,J2wgqAW4U,7438628099,youweix_,#苹果支持安卓手机以旧换新#售价便宜一点在考虑换,,,,苹果支持安卓手机以旧换新,0,0,1,2020-05-18 18:53,iPhone 7 Plus,,,
4506006731628664,J2wgh6PGM,6882275204,28-S,#苹果支持安卓手机以旧换新#高啊,,,,苹果支持安卓手机以旧换新,0,0,0,2020-05-18 18:53,三星android智能手机,,,
4506006731621969,J2wgh6NWN,6132320432,那不勒斯比萨,#苹果支持安卓手机以旧换新#这辈子不可能再用华为的任务栏长得丑机型也丑毫无审美,,,,苹果支持安卓手机以旧换新,0,0,1,2020-05-18 18:53,微博国际版,,,
4506006711042994,J2wgf4nku,7282015953,小娟漫话普洱茶,#苹果支持安卓手机以旧换新#以旧换新的话，还是担心信息被窃取,,,,苹果支持安卓手机以旧换新,0,0,0,2020-05-18 18:53,,,,
