id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4506007059241434,J2wgNCM7o,3788429711,搞机的风采,淡黄色的长裙，蓬松的头发。。。李熙凝与你一起见证荣耀智慧生活新品发布会#生活与你一起升级#L搞机的风采的微博视频,,,,生活与你一起升级,0,0,0,2020-05-18 18:54,HUAWEI Mate 30 5G,,"http://f.video.weibocdn.com/001bZkIbgx07DmUNNAlh010412008tl10E010.mp4?label=mp4_ld&template=360x624.24.0&trans_finger=81b11b8c5ffb62d33ceb3244bdd17e7b&Expires=1589802871&ssig=OfwxFijYO6&KID=unistore,video",
4506006392782291,J2wfJbFNF,2687667753,游___客,#荣耀智慧生活新品发布会#直播开始了，先看看场地和直播间，淡黄的长裙，蓬松的头发，美好#生活与你一起升级#。,,,,"荣耀智慧生活新品发布会,生活与你一起升级",0,0,0,2020-05-18 18:52,荣耀30 Pro 5G,"['http://ww1.sinaimg.cn/large/a0328e29ly1gewsmsn1ozj20u01t04jy.jpg', 'http://ww1.sinaimg.cn/large/a0328e29gy1gewsngrq1qj20m80etgnd.jpg', 'http://ww2.sinaimg.cn/large/a0328e29ly1gewsmt9mc2j20u01t0qla.jpg', 'http://ww2.sinaimg.cn/large/a0328e29gy1gewsne7272j20m80etq4s.jpg', 'http://ww3.sinaimg.cn/large/a0328e29gy1gewsng88yoj20m80etjsm.jpg', 'http://ww4.sinaimg.cn/large/a0328e29gy1gewsnepuq6j20m80et763.jpg', 'http://ww4.sinaimg.cn/large/a0328e29gy1gewsnf7771j20m80eu76b.jpg', 'http://ww2.sinaimg.cn/large/a0328e29gy1gewsnfs7x1j20m80euq40.jpg', 'http://ww3.sinaimg.cn/large/a0328e29gy1gewsndqb2hj20m80eu3zm.jpg']",,
4506004928418035,J2wdmzjUL,1897666927,小狼老施,今天晚上会发布的荣耀平板，四边等宽设计，有官方手写笔。#荣耀智慧生活新品发布会#,,,,荣耀智慧生活新品发布会,0,1,0,2020-05-18 18:46,微博 weibo.com,['http://ww2.sinaimg.cn/large/711c196fgy1gewsltn50uj21hm0u0kjm.jpg'],,
4506004043897452,J2wbWglU8,2236185177,宋敬亭,#荣耀智慧生活新品发布会#大家感觉李熙凝客厅场景这思路画风如何？这个萌妹纸大家熟悉吗？淡黄的长裙，蓬松的头发！另外现场曝光了荣耀新款智能手表，设计非常漂亮，稍后发布会发布…#生活与你一起升级#L宋敬亭的微博视频,,,,"荣耀智慧生活新品发布会, 生活与你一起升级",0,2,6,2020-05-18 18:42,荣耀30 Pro 5G,,"http://f.video.weibocdn.com/3GUlxr3flx07DmTYGbVm010412001ZsI0E010.mp4?label=mp4_ld&template=624x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1589802871&ssig=0WKNInnqjF&KID=unistore,video",
4506003644828753,J2wbikgb7,1458427661,流氓才子Ferry,#生活与你一起升级##荣耀智慧生活新品发布会#荣耀要出平板耳机了？哈哈，其实是个颈椎按摩,,,,"生活与你一起升级,荣耀智慧生活新品发布会",1,1,1,2020-05-18 18:41,微博 weibo.com,['http://ww4.sinaimg.cn/large/56edd70dly1gewsgx7wymj20te0elkf9.jpg'],,
4506003410936134,J2waV3VwW,5059826828,荣耀智慧生活,淡黄的长裙，蓬松的头发，欢迎大家来到荣耀智慧生活的家里开狂欢的Party~在#荣耀智慧生活新品发布会#先导直播中，@是你们的康康用#荣耀MagicBook#Pro剪辑了@李熙凝自己新专辑《melody》的舞蹈首秀，简直美呆了有木有！发布会正在进心中，快点击O网页链接感受#生活与你一起升级#。L荣耀honor官方微博的秒拍视频,,,"是你们的康康,李熙凝","荣耀智慧生活新品发布会,荣耀MagicBook,生活与你一起升级",3,29,60,2020-05-18 18:40,荣耀30 5G,,"http://miaopai.video.weibocdn.com/nU8BVcv2lx07DmTPay7K010412007ukb0E013.mp4?label=mp4_ld&template=360x640.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1589802871&ssig=2k5s%2F9st%2FD&KID=unistore,video",
4506002588699270,J2w9AAv4O,1967428152,爱黑武论坛,#荣耀智慧屏#荣耀HONORlife智慧生活新品发布会直播看这里，荣耀官网：O网页链接,,,,荣耀智慧屏,1,1,1,2020-05-18 18:37,Android,['http://ww4.sinaimg.cn/large/75449238ly1gewscywvbyj20m80etgnd.jpg'],,
4506002503794510,J2w9sfV7M,3788429711,搞机的风采,直击荣耀智慧生活新品发布会：淡黄色裙子的李熙凝手腕上的荣耀手表挺漂亮的呀！L搞机的风采的微博视频,,,,,0,2,1,2020-05-18 18:36,HUAWEI Mate 30 5G,,"http://f.video.weibocdn.com/002UFQNagx07DmTyyY9x010412002RId0E010.mp4?label=mp4_ld&template=624x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1589802871&ssig=IL0oASFxu1&KID=unistore,video",
4506002320644657,J2w9a2HHH,3301141262,摄影师-Cheng怡,#摄影##人像摄影##写真##荣耀智慧生活新品发布会#有人喜欢你绑着头发的样子，也有人喜欢你披着头发的样子，你犹豫到底该绑着还是该披着，可是你忽略了真正喜欢你的人是喜欢你所有的样子出境：耿耿,,,,"摄影,人像摄影,写真,荣耀智慧生活新品发布会",0,0,0,2020-05-18 18:36,iPhone 7 Plus(亮黑色),"['http://ww1.sinaimg.cn/large/c4c36b0ely1gews3m3edvj23gg56ob2i.jpg', 'http://ww4.sinaimg.cn/large/c4c36b0ely1gews46geyej23gg56o1l6.jpg', 'http://ww2.sinaimg.cn/large/c4c36b0ely1gews5uylamj23cp511b2i.jpg', 'http://ww4.sinaimg.cn/large/c4c36b0ely1gews25kv5kj23gg56oe8b.jpg', 'http://ww4.sinaimg.cn/large/c4c36b0ely1gews6gn1yoj23gg56onpn.jpg', 'http://ww2.sinaimg.cn/large/c4c36b0ely1gews6wnoyvj256o3ggx6y.jpg', 'http://ww2.sinaimg.cn/large/c4c36b0ely1gews8d9bppj23gg56oqvf.jpg', 'http://ww4.sinaimg.cn/large/c4c36b0ely1gewsalbxjsj23gg56ob2i.jpg', 'http://ww4.sinaimg.cn/large/c4c36b0ely1gewsbuduerj23gg56ox6y.jpg']",,
4506002122718945,J2w8QbpjX,3986326725,韶倾覆华,淡黄的长裙，蓬松的头发！讲真，还是蛮可爱的！#荣耀智慧生活新品发布会#,,,,荣耀智慧生活新品发布会,0,2,1,2020-05-18 18:35,Android,['http://ww4.sinaimg.cn/large/ed9a84c5ly1gews9q45r2j21g60meq7e.jpg'],,
4506001007750790,J2w72wwkK,3554444773,爱搞机的小nv孩,你们在看荣耀智慧生活新品发布会吗？看过青春有你的应该都认识这个小姐姐吧淡黄的头发，蓬松的长裙,,,,,0,20,137,2020-05-18 18:30,,"['http://ww4.sinaimg.cn/large/d3dc85e5gy1gews5jsed6j21g60me1kx.jpg', 'http://ww4.sinaimg.cn/large/d3dc85e5gy1gews5k9bgqj20fi0brdo0.jpg']",,
4506000965590096,J2w6YnseQ,6915891722,当红炸子鸡小陈,青你2“淡黄的长裙”李熙凝要去#荣耀智慧生活新品发布会#了？？节目单上说她要再现2020最洗脑rap？okkkk，晚上6点我要去弹幕一起跟唱了哈哈哈哈哈。不过荣耀这次发布会的tag是#生活与你一起升级#，“淡黄的长裙”会不会也有升级版！？,,,,"荣耀智慧生活新品发布会,生活与你一起升级",645,733,1252,2020-05-18 18:30,微博  weibo.com,"['http://ww1.sinaimg.cn/large/007lWl7Ily1gewr8pne2rj30u0190hdu.jpg', 'http://ww4.sinaimg.cn/large/007lWl7Ily1gewr8r2a9vj30hs3yxk0c.jpg', 'http://ww2.sinaimg.cn/large/007lWl7Ily1gewr8vcktrj30u01hc1kx.jpg']",,
4506000960339993,J2w6Y1qrL,2611325007,杨品-光线摄影学院,#荣耀X10#5月18日下午6点半，正在带着最新荣耀手机前往贵州重庆交界处的四面山瀑布。#光线摄影学院曾兰老师##光线摄影学院器材点评#@跟曾兰一起学摄影#手机视频拍摄技巧大全##光线摄影学院##荣耀智慧生活新品发布会#,,重庆·中山古镇,跟曾兰一起学摄影,"荣耀X10,光线摄影学院曾兰老师,光线摄影学院器材点评,手机视频拍摄技巧大全,光线摄影学院,荣耀智慧生活新品发布会",0,0,0,2020-05-18 18:30,iPhone 8 Plus,"['http://ww4.sinaimg.cn/large/9ba5a84fly1gews5zzqa9j21400u0n4i.jpg', 'http://ww3.sinaimg.cn/large/9ba5a84fly1gews60kzu7j21400u0dlt.jpg']",,
4506000851655091,J2w6N6Wz1,1879621021,科技Milk,坐等#荣耀智慧生活新品发布会#，现在直播的这个妹纸大家熟悉吗？淡黄的长裙，蓬松的头发大家应该了解的吧，李熙凝哦。哈哈这个画风感觉有点奇特。#生活与你一起升级#,,,,"荣耀智慧生活新品发布会, 生活与你一起升级",0,9,9,2020-05-18 18:30,微博 weibo.com,"['http://ww3.sinaimg.cn/large/7008bd9dgy1gews2y03k7j215b0mp4qp.jpg', 'http://ww1.sinaimg.cn/large/7008bd9dgy1gews2y3y4fj21580muqv5.jpg']",,
4506000756046493,J2w6DpmY5,2320841425,搞某人,在线上发布会里，荣耀这场智慧生活新品发布会挺特别的，算是突破了传统发布会形势，算是正儿八经的线上发布会了。,,,,,0,3,9,2020-05-18 18:29,微博 weibo.com,['http://ww4.sinaimg.cn/large/8a553ad1ly1gews4jhfkjj21hf0u07wi.jpg'],,
4506000142901648,J2w5EcaQM,7339939662,闭嘴黄老邪,如果现在是下午两点而不是六点，我会很乐意看这个妹子跳舞。然而我只想赶紧跟完发布会然后下班回家，荣耀智慧生活新品发布会赶紧开始吧,,,,,0,3,1,2020-05-18 18:27,三星S20 Ultra 5G,['http://ww4.sinaimg.cn/large/0080JDBAgy1gews0kma57j33342bc1kz.jpg'],,
4506000076520917,J2w5xrmo5,1458427661,流氓才子Ferry,#生活与你一起升级##荣耀智慧生活新品发布会#第二波抽奖来袭,,,,"生活与你一起升级,荣耀智慧生活新品发布会",0,0,0,2020-05-18 18:27,微博 weibo.com,['http://ww2.sinaimg.cn/large/56edd70dly1gews29h8uoj20tp0gc1kx.jpg'],,
4505999744321139,J2w50i87N,2194868354,科技疯汇,荣耀智慧生活新品发布会：李熙凝有多高啊？比男主持人还要高！用荣耀智能屏做AI健康，还跳自己的新单曲：淡黄的长裙蓬松的头发,,,,,0,19,37,2020-05-18 18:25,微博 weibo.com,"['http://ww2.sinaimg.cn/large/82d30882gy1gews163cfaj20g008wjys.jpg', 'http://ww3.sinaimg.cn/large/82d30882gy1gews161lkhj20g1092gv5.jpg', 'http://ww1.sinaimg.cn/large/82d30882gy1gews161ky5j20fv092ti3.jpg', 'http://ww1.sinaimg.cn/large/82d30882gy1gews163l8qj20fs08yn6x.jpg']",,
4505999674013300,J2w4TgQ2E,1749224837,IT工程师,#荣耀智慧生活新品发布会#今晚18点准时开始，本场发布会将发布#荣耀智慧屏#X1系列，荣耀MagicBookPro、荣耀平板V6和荣耀路由3等多款产品，荣耀提出生活与你一起升级的理念。期待今晚荣耀带来更多惊喜。,,,,"荣耀智慧生活新品发布会,荣耀智慧屏",1,1,0,2020-05-18 18:25,微博  weibo.com,"['http://ww1.sinaimg.cn/large/0082pCSOly1gewqiwy87tj30hr1ljq74.jpg', 'http://ww4.sinaimg.cn/large/0082pCSOly1gewqj22s32j30u01hcgp1.jpg', 'http://ww3.sinaimg.cn/large/0082pCSOly1gewqj76ts8j30u01hcdpm.jpg', 'http://ww4.sinaimg.cn/large/0082pCSOly1gewqjc0jz7j30u01hcgod.jpg', 'http://ww4.sinaimg.cn/large/0082pCSOly1gewqjh8f8hj30u01hcgx4.jpg', 'http://ww3.sinaimg.cn/large/0082pCSOly1gewqjmxucdj30u01hctbo.jpg']",,
4505999460041284,J2w4y0aJS,1458427661,流氓才子Ferry,#生活与你一起升级##荣耀智慧生活新品发布会#比心,,,,"生活与你一起升级,荣耀智慧生活新品发布会",0,0,0,2020-05-18 18:24,微博 weibo.com,['http://ww4.sinaimg.cn/large/56edd70dly1gewrzjjacnj20tq0e9b25.jpg'],,
4505999169296483,J2w44D0rh,2945965444,邻章,#荣耀智慧生活新品发布会#淡黄本尊驾到荣耀智慧新品发布会,,,,荣耀智慧生活新品发布会,0,0,0,2020-05-18 18:23,iPhone 11 Pro Max,"['http://ww4.sinaimg.cn/large/af97dd84ly1gewryryc5vj222o0yix6t.jpg', 'http://ww2.sinaimg.cn/large/af97dd84ly1gewryuxeqxj222o0yib2d.jpg']",,
