id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4506015313481382,J2wu7eBFk,2073705005,英格玛金融张盛,#蔡徐坤睡衣走秀#明星穿就是时尚，普通人穿就是神经病。,,恩施市,,蔡徐坤睡衣走秀,0,0,0,2020-05-18 19:27,nova6 5G自拍大不一样,,,
4506014919997115,J2wttFWHN,6530537655,积极向上的爱坤,#蔡徐坤睡衣走秀#去年@蔡徐坤也是穿了睡衣去GQ盛典的红毯前面一分钟的慢镜头带着电影感吊足了胃口，当看到脸那一刻觉得，值了！！这气质气场特别适合18年“名利场”的主题L凝固时钟丨August的微博视频,,,蔡徐坤,蔡徐坤睡衣走秀,0,0,2,2020-05-18 19:26,微博国际版,,"http://f.video.weibocdn.com/002LwBV7lx07wP3PYu4w01041200w1fs0E010.mp4?label=mp4_ld&template=640x360.24.0&trans_finger=78679548d3dda0964ec12b81fbdd99c2&Expires=1589804810&ssig=pmTt1MPo0u&KID=unistore,video",
4506014734385368,J2wtbioPK,5888638164,楠楠今天也爱坤,今天打谁#蔡徐坤睡衣走秀##奔跑吧蔡徐坤#cr水印,,,,"蔡徐坤睡衣走秀,奔跑吧蔡徐坤",0,0,0,2020-05-18 19:25,蔡蔡宝贝的Android,"['http://ww1.sinaimg.cn/large/006qw7MUly1gewtqylqrlj30yi1pagq6.jpg', 'http://ww2.sinaimg.cn/large/006qw7MUly1gewtqyxsz8j30i70r9tbe.jpg', 'http://ww1.sinaimg.cn/large/006qw7MUly1gewtqz5kg2j30er0m4q4l.jpg', 'http://ww1.sinaimg.cn/large/006qw7MUly1gewtqzb3h9j30f00mhwfs.jpg']",,
4506014680768068,J2wt63dOc,1976722033,AiiiStarry,#蔡徐坤睡衣走秀#哈哈哈哈哈哈哈哈哈怎么会这样,,,,蔡徐坤睡衣走秀,0,0,0,2020-05-18 19:25,iPhone客户端,,,
4506014642912266,J2wt2cdC2,2439079757,吴世妍yuri,#蔡徐坤睡衣走秀#蔡小葵怎么这么可爱呀哈哈哈哈哈哈哈哈哈哈哈哈,,,,蔡徐坤睡衣走秀,0,0,0,2020-05-18 19:25,iPad客户端,,,
4506014600472048,J2wsY1YNG,6517027680,清浅WD,#奔跑吧蔡徐坤#你是台下暖心的蔡PD也是台上耀眼的舞台王者@蔡徐坤新版《Pullup》首秀舞台蔡徐坤舞台cxk巨c#蔡徐坤睡衣走秀#L蔡徐坤工作室的微博视频,,,蔡徐坤,"奔跑吧蔡徐坤,蔡徐坤睡衣走秀",0,0,0,2020-05-18 19:25,See微博客户端,,"http://f.us.sinaimg.cn/002VtdYjlx07sDTcC4YU01041200CNnP0E010.mp4?label=mp4_ld&template=640x360.28.0&Expires=1589804793&ssig=QE1feDifpW&KID=unistore,video",
4506014554477350,J2wsTiMLk,3809188697,娱玖,#蔡徐坤睡衣走秀#蔡徐坤奔跑吧最新路透#奔跑吧路透#撕名牌大战还未开始，坤坤已经上手练习了哈哈哈哈哈哈哈哈真是个小机灵鬼@蔡徐坤#那些治愈的笑话#,,,蔡徐坤,"蔡徐坤睡衣走秀,奔跑吧路透,那些治愈的笑话",0,1,2,2020-05-18 19:24,微博 weibo.com,"['http://ww1.sinaimg.cn/large/006rUZZfly1gewtkyvxp6j30k70zxdno.jpg', 'http://ww2.sinaimg.cn/large/006rUZZfly1gewtkza0a1j30ii0wwq9b.jpg', 'http://ww4.sinaimg.cn/large/006rUZZfly1gewtkzq40kj30ii0wwh08.jpg', 'http://ww2.sinaimg.cn/large/006rUZZfly1gewtnbvzioj30qo0s2wh8.jpg', 'http://ww3.sinaimg.cn/large/006rUZZfly1gewtnc7sy5j30pr0siq54.jpg', 'http://ww3.sinaimg.cn/large/006rUZZfly1gewtkzz0g4j30er0m4423.jpg', 'http://ww2.sinaimg.cn/large/006rUZZfly1gewtl08njjj30i70r9jwp.jpg', 'http://ww3.sinaimg.cn/large/006rUZZfly1gewtl0m1mbj30f00mhgou.jpg', 'http://ww4.sinaimg.cn/large/006rUZZfly1gewtl0yg3kj30ha0py0wl.jpg']",,
4506014274325429,J2wsri9eZ,5564024220,不哭脸的杨咩咩,奎葵#蔡徐坤睡衣走秀#互捞谢谢,,,,蔡徐坤睡衣走秀,0,9,0,2020-05-18 19:23,奎葵超话,,,
4506014101826304,J2wsa7F6w,5564024220,不哭脸的杨咩咩,蔡徐坤游泳池#蔡徐坤睡衣走秀#积分滴滴,,,,蔡徐坤睡衣走秀,0,7,0,2020-05-18 19:23,蔡徐坤游泳池超话,,,
4506014056362084,J2ws5qH4g,3732587552,SMileLee1008,#蔡徐坤睡衣走秀#好多人问：这真的是同一个人吗所以cxk82男团还有人不知道的嘛,,,,蔡徐坤睡衣走秀,1,0,0,2020-05-18 19:22,绝世小可爱蔡徐坤的ikun,"['http://ww4.sinaimg.cn/large/de7ac420ly1gewtiwq8cpg20cm0gvkjv.jpg', 'http://ww2.sinaimg.cn/large/de7ac420ly1gewtj3sl40g20m80m8e85.jpg', 'http://ww4.sinaimg.cn/large/de7ac420ly1gewtkaz710g20qo0f0npg.jpg', 'http://ww3.sinaimg.cn/large/de7ac420ly1gewtk0lpuyg20ku0ku1l1.jpg', 'http://ww1.sinaimg.cn/large/de7ac420ly1gewtk6hs9ag20u00u0e85.jpg', 'http://ww1.sinaimg.cn/large/de7ac420ly1gewtj93zsfg20ep0f2nph.jpg', 'http://ww4.sinaimg.cn/large/de7ac420ly1gewtk4hsmzg20m80goqvd.jpg', 'http://ww3.sinaimg.cn/large/de7ac420ly1gewtk92236g212j0lo7wn.jpg', 'http://ww3.sinaimg.cn/large/de7ac420ly1gewtkd3dscg20f20av1l1.jpg']",,
4506014009564233,J2ws0E85P,6529649383,桃困語,#蔡徐坤睡衣走秀#晕为什么蔡徐坤连睡衣都能穿的这么好看我本人就是穿着睡衣都不敢出门的人哈哈哈哈哈,,,,蔡徐坤睡衣走秀,0,1,6,2020-05-18 19:22,iPhone客户端,['http://ww3.sinaimg.cn/large/0077TK5xgy1gewtnp4o83j30u01hcaj1.jpg'],,
