id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4506018811623469,J2wzL6OkZ,5832379577,可可7570,"我分享了【迪丽热巴高伟光树下调情场面简直不要太甜】,快来看吧！|O网页链接",,,,,0,0,0,2020-05-18 19:41,小米浏览器,['http://ww3.sinaimg.cn/large/006mI4mlly1gewu829h9vj30qj0evaav.jpg'],,
4506018782851944,J2wzIbXV6,7232046389,寻樱记·,#迪丽热巴代言金纺#dlrb#迪丽热巴极限挑战#分享一个丸子头迪迪~（线稿待编辑）不是专业画画只是一个零基础的小萌新喜欢可以看看不喜欢划走不谢啦～真的没有学过画画so见谅（bhys）ps：上课随便摸的掰掰～👋🏻👋🏻,,,,"迪丽热巴代言金纺,迪丽热巴极限挑战",0,0,1,2020-05-18 19:40,迪丽热巴超话,['http://ww2.sinaimg.cn/large/007TqVDvgy1gewu6lxh34j30jh0t7gq3.jpg'],,
4506018719062615,J2wzBC1Bd,7199582014,ss恋愛即戰爭,想到垃圾营销号和豆八婆为了截张黑图还去仔细地看了预告就很好笑诶是真的智障吧人均宇宙级别大美女哦求求了让我的脸垮成迪丽热巴的脸让我的身材走样成迪丽热巴的身材吧,,,,,0,0,0,2020-05-18 19:40,vivo NEX AI智慧旗舰,['http://ww1.sinaimg.cn/large/007ReIaygy1gewu551s3eg30ls0heqv8.jpg'],,
4506018661128168,J2wzw4Jug,2766456673,开天窗窗,#迪丽热巴0603生日快乐#dlrb#迪丽热巴代言力士沐浴系列#积分@Dear-迪丽热巴[/cp],,,Dear-迪丽热巴,"迪丽热巴0603生日快乐,迪丽热巴代言力士沐浴系列",0,1,0,2020-05-18 19:40,迪丽冷巴超话,,,
4506018635197933,J2wztlOdD,1975240881,被汪咬过的狐狸,迪丽热巴云伴娘的视频声音也太温柔好听了吧温柔美丽的小姐姐,,,,,0,2,12,2020-05-18 19:40,iPhone客户端,['http://ww2.sinaimg.cn/large/75bbc8b1gy1gewu6tp6jgg20iy0f6nph.jpg'],,
4506018594084137,J2wzph8tb,5938349198,专追帅哥,黄景瑜和迪丽热巴的cp超话有吗🙊谁能告诉我，我要追剧磕cp了（剧中，高颜值啊～太心水了,,,,,0,0,0,2020-05-18 19:40,专搞帅哥のiPhone X,,,
4506018556716728,J2wzlsbkk,7244172434,美食风味大全,《张艺兴迪丽热巴没有CP感？曾经一个眼神就被锁CP，粉丝很慌》O张艺兴迪丽热巴没有CP感？曾经一个眼神就被锁CP，粉丝很慌,,,,,0,0,0,2020-05-18 19:40,皮皮时光机,,,
4506018498111773,J2wzfy2f3,5830090034,搭配师XiaoLi,迪丽热巴#迪丽热巴##时尚元素#这是一条金色的时尚连衣裙，采用了印花刺绣元素的图案设计，搭配了纯色的单调感，很有吸引力。大家都知道金色是很难驾驭的颜色，而且也有一种贵妇的气息，很容易穿出老气的样子。虽然迪丽热巴的颜值高、身材好，但是穿这种裙子还是不怎么适合，看着显老了几岁，不太像是27岁的女孩。,,,,"迪丽热巴,时尚元素",0,0,1,2020-05-18 19:40,迪丽热巴超话,"['http://ww1.sinaimg.cn/large/006mysKegy1gewu67qiopj30ht0qqq87.jpg', 'http://ww2.sinaimg.cn/large/006mysKegy1gewu66czghj30ht0rb0xe.jpg', 'http://ww1.sinaimg.cn/large/006mysKegy1gewu68pss2j30ht0qpq75.jpg', 'http://ww2.sinaimg.cn/large/006mysKegy1gewu69jy8kj30f50oatbg.jpg', 'http://ww3.sinaimg.cn/large/006mysKegy1gewu69zl3ej30ht0qctb7.jpg', 'http://ww3.sinaimg.cn/large/006mysKegy1gewu6aheoqj30ht0qrq4q.jpg']",,
4506018493162513,J2wzfdgIh,6283602033,仙人掌扎破了云朵,#迪丽热巴#我的宝贝要注意身体啊@Dear-迪丽热巴,,青岛·莱西,Dear-迪丽热巴,迪丽热巴,0,0,0,2020-05-18 19:40,华为畅享9S超广角三摄,,,
4506018488625200,J2wzeAbO8,6482834934,迪崽阿丝儿,#迪丽热巴0603生日快乐#@Dear-迪丽热巴#迪丽热巴代言金纺#＂因为有了黑暗，星星才会如此闪耀，经历过至暗时刻，才能成为一束光。＂@Dear-迪丽热巴一步一个脚印，悉心感悟角色，做好一个演员该做的事5.18积分,,,Dear-迪丽热巴,"迪丽热巴0603生日快乐,迪丽热巴代言金纺",0,10,0,2020-05-18 19:40,迪丽冷巴超话,['http://ww3.sinaimg.cn/large/0074JjvMgy1gewu6qeb4kj30u01iz0x4.jpg'],,
4506018468689850,J2wzcAsCS,5365000611,_荼与茶,#迪丽热巴#期待大美女明天的新剧,,,,迪丽热巴,0,0,0,2020-05-18 19:40,xxx.xxxx.Android,,,
4506018354830717,J2wz1kgGN,6025758140,青青宝琲,我为迪丽热巴贡献624影响力，超话目前还差88157影响力超越上一名！戳这里→O网页链接~跟我一起打榜应援爱豆提升排名吧~,,,,,0,0,0,2020-05-18 19:40,超话,,,
4506018316633723,J2wyXrPJx,6637088217,娱卦怪蜀黍,发布了头条文章：《罗志祥有多敢玩？众女星被“咸猪手”，迪丽热巴也没能逃过》O罗志祥有多敢玩？众女星被“咸猪手”，迪丽热巴也没能逃过,http://t.cn/A62hL6U7,,,,0,0,0,2020-05-18 19:39,微博 weibo.com,,,
4506018242151965,J2wyQ91P7,2019524007,藏龙岛的大别墅,迪丽热巴大户人家的快乐如此简单,,,,,0,3,6,2020-05-18 19:39,迪丽热巴超话,"['http://ww2.sinaimg.cn/large/785f7da7ly1gewu5d7tm4j23k02o0b2c.jpg', 'http://ww3.sinaimg.cn/large/785f7da7ly1gewu5lgz5rj23k02o0b2c.jpg']",,
4506018082869090,J2wyAc2nE,6319597657,小邬同学G,姐姐录制《快乐大本营》，啊哈哈哈，手掌是拍戏晒黑的吗，黑白分明，老可爱了（#迪丽热巴#）#快乐大本营#迪丽热巴,,大理市,,"迪丽热巴,快乐大本营",0,1,4,2020-05-18 19:38,OPPO随光而变R17,"['http://ww3.sinaimg.cn/large/006TGo2tgy1gewu33d8fjj30ni16i1kx.jpg', 'http://ww4.sinaimg.cn/large/006TGo2tgy1gewu35zktgj30ri16l7wh.jpg', 'http://ww1.sinaimg.cn/large/006TGo2tgy1gewu36sb6qj30qo0pe75i.jpg', 'http://ww4.sinaimg.cn/large/006TGo2tgy1gewu37h9asj30u00u1dhx.jpg']",,
4506018073566888,J2wyzeXUs,1947882157,甜草丫,#迪丽热巴周放##迪丽热巴0603生日快乐#被这光影和放美人迷得神魂颠倒，忍不住临摹了一下P1为原图哦～@Dear-迪丽热巴没画出宝贝你一半的美貌，只能努力多加练习啦～,,,Dear-迪丽热巴,"迪丽热巴周放,迪丽热巴0603生日快乐",0,2,3,2020-05-18 19:38,迪丽热巴超话,"['http://ww2.sinaimg.cn/large/741a52adly1gewu24iqdtj20wa0r7n27.jpg', 'http://ww3.sinaimg.cn/large/741a52adly1gewu22zvpfj21gv16t1df.jpg', 'http://ww1.sinaimg.cn/large/741a52adly1gewu23kneqj21mq1iq1kx.jpg']",,
4506018023352136,J2wyue42I,6418952694,素昧平生537,#迪丽热巴代言力士沐浴系列#dlrb#迪丽热巴代言金纺#@Dear-迪丽热巴你看我多么渺小一个我因为你有梦可做♪积分，互评甩链接，必回,,,Dear-迪丽热巴,"迪丽热巴代言力士沐浴系列,迪丽热巴代言金纺",0,4,0,2020-05-18 19:38,迪丽冷巴超话,['http://ww3.sinaimg.cn/large/0070pgP4gy1gewu4oyjxyj30qo12sgqx.jpg'],,
4506017990439190,J2wyr1QfI,2235207731,JH小逗比87,#迪丽热巴0603生日快乐#dlrb#迪丽热巴swisse品牌代言人#明天姐姐的新剧就要播啦!期待放放子@Dear-迪丽热巴,,,Dear-迪丽热巴,"迪丽热巴0603生日快乐,迪丽热巴swisse品牌代言人",0,2,1,2020-05-18 19:38,迪丽热巴超话,['http://ww1.sinaimg.cn/large/853a9033gy1gewu4n2sh6g20b40b44qp.jpg'],,
