id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4506007663884207,J2whMgisv,5313159468,紫殿花开茶都遥想,#陈芊芊回应传闻#哈哈我怕我跳戏韫色过浓,,,,陈芊芊回应传闻,0,0,0,2020-05-18 18:56,前置双摄vivo X9,,,
4506007399812140,J2whlFaAk,7392589363,娱乐龄,传闻中的陈芊芊首发预告！又有甜甜甜的恋爱可以嗑了！！#传闻中的陈芊芊##陈芊芊回应传闻#L娱乐龄的微博视频,,,,"传闻中的陈芊芊,陈芊芊回应传闻",0,0,0,2020-05-18 18:55,微博云剪,,"http://f.video.weibocdn.com/nAH0x74Qlx07DmUTlLyo01041200ccKY0E010.mp4?label=mp4_ld&template=644x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1589803014&ssig=xTu%2Bpb9auZ&KID=unistore,video",
4506004144513188,J2wc6iW5m,5487767987,壹只晛,#陈芊芊回应传闻#终于有了一部想追的剧了肉丝太可爱了,,,,陈芊芊回应传闻,0,0,0,2020-05-18 18:42,小现送的iPhone 8 Plus,,,
4506004102442316,J2wc2afmc,5181066023,海量公考资料,#陈芊芊回应传闻#四川事业单位综合基础知识2020年最新版。#四川事业单位##四川综合知识#,,,,"陈芊芊回应传闻,四川事业单位,四川综合知识",0,0,0,2020-05-18 18:42,HUAWEI nova 3,,,
4506003812791682,J2wbzbIf8,1200268132,小白董董,#传闻中的陈芊芊##陈芊芊回应传闻#传闻中的陈芊芊要开播啦！时间是2020年5月18日8点开始在腾讯视频播出。我已拿好小板凳，咱们一起来追剧吧！,,,,"传闻中的陈芊芊,陈芊芊回应传闻",0,1,3,2020-05-18 18:41,iPhone X,"['http://ww3.sinaimg.cn/large/478aa364gy1gewshs9epwj20u01a0tly.jpg', 'http://ww2.sinaimg.cn/large/478aa364gy1gewshsrp1aj20u01a07ez.jpg', 'http://ww3.sinaimg.cn/large/478aa364gy1gewshtclv9j20u01a0dx3.jpg', 'http://ww4.sinaimg.cn/large/478aa364gy1gewshrpu6zj21dr0u0qcf.jpg', 'http://ww1.sinaimg.cn/large/478aa364gy1gewshttfmvj21hm0u0k25.jpg', 'http://ww3.sinaimg.cn/large/478aa364gy1gewshua4glj21900u0te6.jpg', 'http://ww2.sinaimg.cn/large/478aa364gy1gewshur0i9j20yi0yiwln.jpg', 'http://ww2.sinaimg.cn/large/478aa364gy1gewshv9mb8j20yi0yeqa8.jpg', 'http://ww2.sinaimg.cn/large/478aa364gy1gewshvrrayj20yi0yik18.jpg']",,
4506002844395276,J2wa0irpy,5711540198,小一点的鹤LA,#陈芊芊回应传闻#之前看预告没get到男主的颜，不怎么很想追，但是然后最近韫色过浓的热搜里突然就get到了，发现原来同一个男主哈哈哈，兴趣突突上来,,,,陈芊芊回应传闻,0,0,0,2020-05-18 18:37,HUAWEI P20,,,
4506001908438053,J2w8uzp7D,1942271515,KimYeom_Tracer85,#陈芊芊回应传闻#今晚就可以看古代版的周医生啦韩少主，你好！,,,,陈芊芊回应传闻,0,1,4,2020-05-18 18:33,奶膘のiPhone XS Max,"['http://ww3.sinaimg.cn/large/73c4b61bgy1gewsa6qhc9j20tz0zxnpd.jpg', 'http://ww2.sinaimg.cn/large/73c4b61bgy1gewseybazcj20u00u01kx.jpg', 'http://ww2.sinaimg.cn/large/73c4b61bgy1gewsezagrkj20sw0tz1kx.jpg']",,
4506001381022086,J2w7E4hTg,5645097421,Diamond-4号,#陈芊芊回应传闻#谁能告诉我剧情。有点想看,,,,陈芊芊回应传闻,0,1,1,2020-05-18 18:31,'ㅅ' Android,,,
4506001330356532,J2w7z1uKw,6274757872,每天看点剧吧,#陈芊芊回应传闻##传闻中的陈芊芊# 今晚赵露思、丁禹兮来了，O今晚8点腾讯视频独播，穿越到自己剧本的陈芊芊，本剧讲述了花垣城陈芊芊和玄虎城韩烁的爱情故事，期待吗？#穿越剧#,,,,"陈芊芊回应传闻,传闻中的陈芊芊,穿越剧",0,1,2,2020-05-18 18:31,,"['http://ww1.sinaimg.cn/large/006QEfa8ly1gews3xgykej30u01a0qg4.jpg', 'http://ww3.sinaimg.cn/large/006QEfa8ly1gews3xzv21j30u01a0n7n.jpg', 'http://ww1.sinaimg.cn/large/006QEfa8ly1gews3ybiasj30u01a0tjo.jpg', 'http://ww4.sinaimg.cn/large/006QEfa8ly1gews439yctj30u00u0ae4.jpg', 'http://ww3.sinaimg.cn/large/006QEfa8ly1gews42hkyxg30ma0d2hdy.jpg', 'http://ww1.sinaimg.cn/large/006QEfa8ly1gews42z5q9j30mg1m7wsd.jpg', 'http://ww2.sinaimg.cn/large/006QEfa8ly1gews3yr42yj30u01a0wpd.jpg', 'http://ww3.sinaimg.cn/large/006QEfa8ly1gews3z5tvfj30u01a0wtd.jpg', 'http://ww1.sinaimg.cn/large/006QEfa8ly1gews402mpyj30u01a0trc.jpg']",,
4506000939317483,J2w6VD5TZ,6179910941,一起看好剧,#陈芊芊回应传闻##传闻中的陈芊芊#【丁禹兮X赵露思】又灵又可爱的赵露思搭档病弱腹黑的丁禹兮~鬼马郡主陈芊芊vs犬系少君韩烁之间逗趣暖萌的爱情故事~今晚20点，不见不散哦！,,,,"陈芊芊回应传闻,传闻中的陈芊芊",0,0,1,2020-05-18 18:30,微博 weibo.com,"['http://ww1.sinaimg.cn/large/006Keh8Vly1gewf262bxwj30hs0r9mz6.jpg', 'http://ww3.sinaimg.cn/large/006Keh8Vly1gewf264htgj30hs0auwfd.jpg', 'http://ww1.sinaimg.cn/large/006Keh8Vly1gewf2626pyj30hs0bv74w.jpg', 'http://ww1.sinaimg.cn/large/006Keh8Vly1gewf262ioej30hs07ojrx.jpg', 'http://ww3.sinaimg.cn/large/006Keh8Vly1gewf2628z4j30hs07mmxd.jpg', 'http://ww1.sinaimg.cn/large/006Keh8Vly1gewf2624syj30hs07p3yn.jpg', 'http://ww2.sinaimg.cn/large/006Keh8Vly1gewf2679knj30c8085wew.jpg', 'http://ww3.sinaimg.cn/large/006Keh8Vly1gewf2658i2j30c808c3z0.jpg', 'http://ww1.sinaimg.cn/large/006Keh8Vly1gewf265jg0j30c807jq3t.jpg']",,
