id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4506007399894119,J2whlFvUz,3515267842,一点资讯,【#马化腾因身体原因将缺席两会#已连续八年提交40余份建议】2020年全国两会将于5月21日拉开大幕。全国人大代表、腾讯董事会主席兼首席执行官#马化腾计划向两会提交七份书面建议#，涉及产业互联网、乡村振兴、金融科技、医疗服务与医生获得感、中小微企业发展、区域发展、生态环保等热点问题。马化腾本人因身体原因请假，将缺席今年两会。作为十二届、十三届全国人大代表，马化腾已连续八年向全国两会递交40余份书面建议，平均每年超过5份。O马化腾因身体原因请假，将缺席今年全国两会,,,,"马化腾因身体原因将缺席两会,马化腾计划向两会提交七份书面建议",0,4,1,2020-05-18 18:56,微博 weibo.com,['http://ww3.sinaimg.cn/large/d186bb02ly1gewswuhmqej20jg0czwmn.jpg'],,
4506007290133819,J2whb0yOn,5960410298,沧州宏伟电子有限公司,【#马化腾因身体原因将缺席两会520#，已连续八年提交40余份建议】2020年全国两会将于5月21日拉开大幕。5月18日，南都记者从腾讯公司获悉全国人大代表、腾讯董事会主席兼首席执行官#马化腾计划向两会提交七份书面建议#，涉及产业互联网、乡村振兴、金融科技,,,,"马化腾因身体原因将缺席两会520,马化腾计划向两会提交七份书面建议",0,0,0,2020-05-18 18:55,微博 weibo.com,['http://ww4.sinaimg.cn/large/60718250ly1gewocv5kr9j20ag0b10ui.jpg'],,
4506005415342673,J2we9mpS9,2418201593,新浪港股,【全国两会召开在即：马化腾带来7份建议提了啥？】#马化腾缺席两会##马化腾因身体原因缺席两会#全国两会将至，据了解，今年腾讯公司董事会主席兼首席执行官马化腾计划提交7份书面建议。其中，有3份建议提及“新基建”。O全国两会召开在即：马化腾带来7份建议提了啥？,,,,"马化腾缺席两会,马化腾因身体原因缺席两会",0,1,1,2020-05-18 18:48,微博 weibo.com,['http://ww4.sinaimg.cn/large/9022d3f9ly1gewsoeu2cjj20dw09mahy.jpg'],,
4506001061650105,J2w786VgB,1750070171,36氪,【氪星播报|5月18日午间都有哪些#今日大事件#？】科技互联网圈午间新闻12:15#中国移动拿去年全年利润投资5G#，还提出5G套餐用户突破1亿；13:03#台积电回应停止华为订单#：纯粹是市场传言；16:20#马化腾因身体原因将缺席两会#，已连续八年提交40余份建议；16:54#华为回应美国升级限制#：将受巨大影响，有信心找到解决方案；16:58#苹果支持安卓手机以旧换新#，顶配P30Pro最高抵1700元；午间疫情播报11:11#高温天能摘口罩吗#；15:10#昨日全球单日新增首破10万#15:32#广州预约限流开放影剧院等室内场馆#16:57#全球新冠肺炎超469万例#16:57#美国新冠肺炎病例超148万#17:20为“赶进度”，#美药企跳过疫苗研发关键实验环节#；17:27#北京西城区某单位33人集中发热#：已排除新冠肺炎；18:20#吉林舒兰高三学生全面核酸检测#；其他午间要闻11:19#第二批全国与湖北高校一帮一名单#出炉；12:28#湖南宁乡发现千年古墓群#，为东汉时期的平民墓；12:52#翼装飞行失联女大学生遗体已找到#，正想办法将尸体运出；13:20#对侵害儿童权益案件该判处死刑的坚决判处#14:35#N号房创建者godgod正脸公开#：同学称他“性格内向”，师生称他“做事踏实”；14:43#26岁女生涉嫌集资诈骗1400万#：请群众演员假装买房骗取信任；16:47#外交部深切哀悼杜伟大使#；17:50#上海中小学暑假时间公布#；,,,,"今日大事件,中国移动拿去年全年利润投资5G,台积电回应停止华为订单,马化腾因身体原因将缺席两会,华为回应美国升级限制,苹果支持安卓手机以旧换新,高温天能摘口罩吗,昨日全球单日新增首破10万,广州预约限流开放影剧院等室内场馆,全球新冠肺炎超469万例,美国新冠肺炎病例超148万,美药企跳过疫苗研发关键实验环节,北京西城区某单位33人集中发热,吉林舒兰高三学生全面核酸检测,第二批全国与湖北高校一帮一名单,湖南宁乡发现千年古墓群,翼装飞行失联女大学生遗体已找到,对侵害儿童权益案件该判处死刑的坚决判处,N号房创建者godgod正脸公开,26岁女生涉嫌集资诈骗1400万,外交部深切哀悼杜伟大使,上海中小学暑假时间公布",3,1,22,2020-05-18 18:31,微博 weibo.com,"['http://ww3.sinaimg.cn/large/684ff39bly1gews1x7lt2j21180mck1o.jpg', 'http://ww2.sinaimg.cn/large/684ff39bly1gews072954j210q0poh7l.jpg', 'http://ww4.sinaimg.cn/large/684ff39bly1gews06nx4ej211a0kyn6r.jpg', 'http://ww4.sinaimg.cn/large/684ff39bly1gews06r6vqj210s0pykdi.jpg', 'http://ww4.sinaimg.cn/large/684ff39bly1gews5v9oyij21180pwng8.jpg', 'http://ww3.sinaimg.cn/large/684ff39bly1gews5ulk1mj210u0mi4qp.jpg', 'http://ww1.sinaimg.cn/large/684ff39bly1gews633q9tj210s0osh9w.jpg', 'http://ww4.sinaimg.cn/large/684ff39bly1gews61ykssj211g0e4n40.jpg', 'http://ww3.sinaimg.cn/large/684ff39bly1gews6buymyj21240piwoh.jpg']",,
4505997433878190,J2w1hggTs,2615417307,凤凰网,【马化腾缺席两会原因系腰椎旧疾复发】#马化腾因身体原因将缺席两会#5月18日下午，@中国经营报记者获悉，全国人大代表、腾讯董事会主席兼首席执行官马化腾本人因身体原因请假，将不能出席今年两会。“是腰疾，旧患复发康复中。”O马化腾腰椎旧疾复发将缺席两会仍提7份建议,,,中国经营报,马化腾因身体原因将缺席两会,103,393,4522,2020-05-18 18:16,微博 weibo.com,['http://ww2.sinaimg.cn/large/9be419dbly1gewrqmjmhvj20mw0eh74u.jpg'],,
4505997157032931,J2w0PtvAn,1641561812,经济观察报,【#马化腾因身体原因将缺席两会#】2020年全国两会将于5月21日拉开大幕。5月18日获悉，全国人大代表、腾讯董事会主席兼首席执行官马化腾本人因身体原因请假，将缺席今年两会。马化腾今年计划向两会提交七份书面建议，涉及产业互联网、乡村振兴、金融科技、医疗服务与医生获得感、中小微企业发展、区域发展、生态环保等热点问题。作为十二届、十三届全国人大代表，马化腾已连续八年向全国两会递交40余份书面建议，平均每年超过5份。L经济观察报EEO视频的微博视频,,,,马化腾因身体原因将缺席两会,1,6,7,2020-05-18 18:15,,,"http://f.video.weibocdn.com/gRO4lPahlx07DmROFDsQ010412001a0j0E010.mp4?label=mp4_ld&template=360x640.25.0&trans_finger=bdef57f06ae52835a2c783ca389e8517&Expires=1589803044&ssig=l7EV%2BNOuEX&KID=unistore,video",
4505993876211109,J2vVxq3Nb,6077299654,咪咕头条资讯,#马化腾因身体原因将缺席两会#，但是其将提交7份书面建议，其中有3份涉及新基建！现在的马化腾已经是成功人士了，那你知道马化腾的青年经历吗？（cr：听CEO谈创业）L咪咕头条资讯的微博视频,,,,马化腾因身体原因将缺席两会,9,11,91,2020-05-18 18:02,咪咕全媒体Android,,"http://locallimit.us.sinaimg.cn/003Y6HIvgx07DmRcDI48010412004ga00E010.mp4?label=mp4_ld&template=360x640.24.0&trans_finger=81b11b8c5ffb62d33ceb3244bdd17e7b&Expires=1589803048&ssig=TvgpNKYhaB&KID=unistore,video",
4505989142093356,J2vNU8MzO,7310345737,财联社CC新闻,#2020全国两会# 【#马化腾因身体原因将缺席两会#，将提交七份书面建议】今年马化腾计划提交7份书面建议，其中3份建议提及“新基建”。马化腾建议，要借助发展“新基建”机遇，突破地理条件限制，帮助数字教育、数字医疗等资源更深入地扩大到农村；此外在医疗卫生领域，进一步加快智慧医院建设，帮助医务人员实现“技术性减负”等L财联社CC新闻的微博视频,,,,"2020全国两会,马化腾因身体原因将缺席两会",0,1,4,2020-05-18 17:43,微博视频,,"http://f.video.weibocdn.com/004v1BYugx07DmPUvb4X010412001ACh0E010.mp4?label=mp4_ld&template=360x640.25.0&trans_finger=bdef57f06ae52835a2c783ca389e8517&Expires=1589803037&ssig=gpAibf2YBj&KID=unistore,video",
4505988672295814,J2vN99Dfg,6557003785,巨牛汇-技术发包接包专业平台,#马化腾因身体原因将缺席两会#连续八年向全国两会递交40余份书面建议的马化腾，今年因为身体原因要请假了！工作重要，身体更重要！马boss要注意休息呀！,,,,马化腾因身体原因将缺席两会,0,0,4,2020-05-18 17:41,专业版微博,"['http://ww3.sinaimg.cn/large/0079Kwdzgy1gewqrf9l2zj30jr0cjq5c.jpg', 'http://ww3.sinaimg.cn/large/0079Kwdzgy1gewqrex9lwj30ag0b13yz.jpg']",,
4505988163711516,J2vMkfzxa,2397336364,长兴新闻网,【#马化腾因身体原因将缺席两会#】2020年全国两会将于5月21日拉开大幕。5月18日，南都记者采访获悉，全国人大代表、腾讯董事会主席兼首席执行官马化腾本人因身体原因请假，将缺席今年两会。马化腾今年计划向两会提交七份书面建议，涉及产业互联网、乡村振兴、金融科技、医疗服务与医生获得感、中小微企业发展、区域发展、生态环保等热点问题。作为十二届、十三届全国人大代表，马化腾已连续八年向全国两会递交40余份书面建议，平均每年超过5份。,,,,马化腾因身体原因将缺席两会,0,0,0,2020-05-18 17:39,iPhone客户端,['http://ww1.sinaimg.cn/large/8ee4732cly1gewqp3m67sj20m80xc77g.jpg'],,
