id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4506007852791975,J2wi5bIjR,6241009016,一只小小颖火虫吖,#高温天能摘口罩吗#我在教室，开着空调戴太久口罩还是会觉得很闷，戴久了真的很难受，偶尔摘一下透透气我觉得还是可以的吧,,,,高温天能摘口罩吗,0,0,0,2020-05-18 18:57,荣耀10青春版,,,
4506007852214851,J2wi59ibp,6052638404,恋濃讯号,#高温天能摘口罩吗#天气热戴口罩真的受不了希望赶紧完全好起来,,,,高温天能摘口罩吗,0,0,0,2020-05-18 18:57,OPPO R15x,,,
4506007797516828,J2whZvxta,5444650620,CatsEye·霖,#高温天能摘口罩吗#划重点，通风的地方可以不带，空气不流通的地方必须戴！贺峻霖知道了吗....#跟贺峻霖学穿搭#,,,,"高温天能摘口罩吗,跟贺峻霖学穿搭",0,0,0,2020-05-18 18:57,小樱🌸iPhone客户端,,,
4506007772917511,J2whXceYD,6142709494,小晗同学xxxf,#高温天能摘口罩吗#在学校呢,,,,高温天能摘口罩吗,0,0,0,2020-05-18 18:57,vivo智能手机,,,
4506007646882688,J2whKsSv6,1860862610,惊慌失措的青春,#高温天能摘口罩吗#不管怎么说，疫情还没有彻底的消灭。为了自己的安全和健康，也为了他人，还是继续戴着口罩吧！毕竟，健康最重要啊！朋友们,,,,高温天能摘口罩吗,0,0,0,2020-05-18 18:56,华为手机 畅享玩不停,,,
4506007588481133,J2whEzAkt,6394028965,秦眼眼儿,美好的一天带习惯了口罩不知道过几天怕不怕热#高温天能摘口罩吗#,,,,高温天能摘口罩吗,0,0,0,2020-05-18 18:56,小米8周年旗舰手机,"['http://ww1.sinaimg.cn/large/006YIH1rly1gewsw5wh0uj31400u0wox.jpg', 'http://ww4.sinaimg.cn/large/006YIH1rly1gewsw7hsfpj31400u0q8t.jpg', 'http://ww3.sinaimg.cn/large/006YIH1rly1gewsw8bdphj31400u0jxp.jpg', 'http://ww1.sinaimg.cn/large/006YIH1rly1gewsw7ve26j31400u0q95.jpg']",,
4506007529053399,J2whyBZcz,3648720994,四川商务,【天越来越热，那么#高温天能摘口罩吗#】据专家吴尊友介绍，在低风险区，通风好的地方可不戴口罩。当在空气流通不好、密闭的地方，像飞机、地铁、公交车、高铁、电梯等，应戴口罩。另外，去医院或者一些公共服务窗口，像超市的收银、银行的柜台也要戴口罩。所以就算天热，口罩该戴还是要戴的！转发提醒~#新型冠状病毒#@新京报动新闻L新京报动新闻的秒拍视频,,,新京报动新闻,"高温天能摘口罩吗,新型冠状病毒",0,0,0,2020-05-18 18:56,HUAWEI Mate 20,,"http://miaopai.video.weibocdn.com/rPcws5g5lx07Dmt5SBXG01041200bQjh0E013.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1589802999&ssig=Yb%2BTjTM0HO&KID=unistore,video",
4506007508604180,J2whwA6l6,7399242727,养只刺猬当宠物吖,#高温天能摘口罩吗#气温是越来越热了，但是口罩该戴还是戴着吧……毕竟安全第一位吖,,,,高温天能摘口罩吗,0,0,0,2020-05-18 18:56,iPhone客户端,,,
4506007503818774,J2whwg1r8,1880632402,i爱KUN猫尐女,#高温天能摘口罩吗#不能病毒依然存在还是为健康保持佩戴口罩出门,,,,高温天能摘口罩吗,0,0,0,2020-05-18 18:56,蔡PD蔡徐坤的ikun,,,
4506007465641808,J2whsnFGU,1931354227,桃子桃子一颗桃子,#高温天能摘口罩吗#真的又热又闷，只有在没人的时候才偷偷的摘下来透气,,,,高温天能摘口罩吗,0,0,0,2020-05-18 18:56,,,,
4506007424775999,J2whok2sf,3479598825,爱看甜文的柚子菇凉,#高温天能摘口罩吗#疫情未过去，风险没排除。天气再炎热，口罩不能摘。,,,,高温天能摘口罩吗,0,0,0,2020-05-18 18:56,华为畅享10 Plus,,,
