id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4505527885177576,J2jNWlIVi,【你见过#珠穆朗玛的夜空#吗？】#梦幻般的珠峰夜空#↓↓脚踏实地，仰望星空。加油，珠峰高程测量登山队！加油，每一位人生路上的攀登者！ 人民日报的微博视频 ,,,"http://f.video.weibocdn.com/u0JeyVwTlx07DkO2LIPK010412003iqt0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1589689587&ssig=zsgdZOuvl2&KID=unistore,video",,2020-05-17,专业版微博,1469,323,361,"珠穆朗玛的夜空,梦幻般的珠峰夜空",
4505519212099253,J2jzX8O6V,【全国助残日，为他们呼吁#请给盲道让个道#！】目前，中国有1700多万视力残疾人，无障碍建设，给残疾人以及特殊群体出行带来了方便。然而，日常生活中#盲道被占现象严重#，还有一些盲道设计不合理，给视力障碍残疾人出行带来不便。今天，全国助残日，为他们呼吁，关爱残疾人群，请为盲道让道！ ,,"https://wx3.sinaimg.cn/large/a716fd45ly1gev8ua6xywj20dw0dwaef.jpg,https://wx2.sinaimg.cn/large/a716fd45ly1gev8ua5xk7j20dw0dwju3.jpg,https://wx2.sinaimg.cn/large/a716fd45ly1gev8ua64g3j20dw0dwmzv.jpg,https://wx4.sinaimg.cn/large/a716fd45ly1gev8ua6zxej20dw0dwjue.jpg,https://wx1.sinaimg.cn/large/a716fd45ly1gev8ua7b6vj20dw0dwq6z.jpg,https://wx3.sinaimg.cn/large/a716fd45ly1gev8ua6yewj20dw0dwtav.jpg,https://wx2.sinaimg.cn/large/a716fd45ly1gev8uaal27j20dw0dwju4.jpg,https://wx4.sinaimg.cn/large/a716fd45ly1gev8uab694j20dw0dwacd.jpg,https://wx3.sinaimg.cn/large/a716fd45ly1gev8uabdv3j20dw0dwac6.jpg",,,2020-05-17,微博 weibo.com,3975,610,1266,"请给盲道让个道,盲道被占现象严重",
4505513968065071,J2jruxQ5N,【#武汉最后一所新冠定点医院恢复正常诊疗#】16日，武汉大学人民医院东院在历经110天抗击新冠肺炎后正式全面恢复，至此#武汉所有定点医院恢复正常诊疗秩序#。截至当天17时30分，已有952人通过网络预约和现场挂号方式到东院门诊就诊。（杜巍巍 胡弘） 人民日报的微博视频 ,,,"http://f.video.weibocdn.com/zdWXBmmzlx07DkKfdzz201041201gqpA0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&Expires=1589689608&ssig=eguopHpgvP&KID=unistore,video",,2020-05-17,专业版微博,1247,235,234,"武汉最后一所新冠定点医院恢复正常诊疗,武汉所有定点医院恢复正常诊疗秩序",
4505506586647008,J2jfArTbO,【#吉林市丰满区由中风险调整为高风险#】据@吉林发布 ：2020年5月17日，吉林省公布吉林市丰满区新增3例本地新冠肺炎确诊病例。按照国家新冠肺炎疫情分区分级标准，将吉林市丰满区风险等级由中风险调整为高风险。吉林省将根据疫情发展态势，适时对各地分区分级做出调整。同时提醒广大群众，要提高防范意识，做好个人防护，保护好自己和家人的健康。如出现发热、咳嗽等急性呼吸道症状，要及时到当地定点医疗机构发热门诊就诊。,,https://wx1.sinaimg.cn/large/a716fd45ly1gev7iu171lj20go0i146d.jpg,,,2020-05-17,微博 weibo.com,1842,503,283,吉林市丰满区由中风险调整为高风险,吉林发布
4505504094963617,J2jbzkPgl,【为爱转发！这场迟到的婚礼终于来了】他们说：“打赢这场仗，我们就结婚…”我们将在520举办#百对战疫新人云婚礼#，邀请重量级嘉宾证婚，实力唱将、艺术大家助演，明星云伴郎伴娘团助力，还将用@李宇春 创作的《一而再再而三地喜欢你》定制主题曲音乐短片。期待！@警民携手同行@中国家庭报@微博小秘书 ,,https://wx2.sinaimg.cn/large/a716fd45ly1gev73svef3j20rs1enqjv.jpg,,,2020-05-17,微博 weibo.com,16474,1783,6374,百对战疫新人云婚礼,"李宇春,警民携手同行,中国家庭报,微博小秘书"
4505500500968383,J2j5M43V5,【#湖北新增10例无症状感染者#】据湖北省卫健委通报，5月16日，湖北省新增无症状感染者10例，转确诊0例，解除隔离49例，#湖北尚在医学观察无症状感染者400例#。截至2020年5月16日24时，全省现有确诊病例6例（均为武汉市），其中重症1例、危重症1例，现有疑似病例0例。 ,,https://wx1.sinaimg.cn/large/a716fd45ly1gev6osak0fj20ob0obk0y.jpg,,,2020-05-17,微博 weibo.com,10053,640,250,"湖北新增10例无症状感染者,湖北尚在医学观察无症状感染者400例",
4505493941031936,J2iVc4ks8,【#31省区市昨日新增12例无症状感染者#】5月16日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者12例（境外输入1例）；当日无转为确诊病例；当日解除医学观察58例（境外输入1例）；#尚在医学观察无症状感染者515例#（境外输入30例）。 ,,https://wx4.sinaimg.cn/large/a716fd45ly1gev6cdh05vj20j60wbtor.jpg,,,2020-05-17,微博 weibo.com,908,256,174,"31省区市昨日新增12例无症状感染者,尚在医学观察无症状感染者515例",
4505493605699760,J2iUEnULC,【#31省区市新增5例确诊病例#，#吉林新增3例本土病例#】5月16日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例5例，其中境外输入病例2例（天津1例，广东1例），本土病例3例（均在吉林）；无新增死亡病例；新增疑似病例2例，均为境外输入病例（内蒙古1例，上海1例）。　　当日新增治愈出院病例8例，解除医学观察的密切接触者633人，重症病例减少1例。　　境外输入现有确诊病例44例（含重症病例3例），现有疑似病例4例。累计确诊病例1700例，累计治愈出院病例1656例，无死亡病例。　　截至5月16日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例86例（其中重症病例10例），累计治愈出院病例78227例，累计死亡病例4634例（吉林核增1例），累计报告确诊病例82947例（吉林核增1例），现有疑似病例4例。累计追踪到密切接触者739545人，尚在医学观察的密切接触者4724人。　　31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者12例（境外输入1例）；当日无转为确诊病例；当日解除医学观察58例（境外输入1例）；尚在医学观察无症状感染者515例（境外输入30例）。　　累计收到港澳台地区通报确诊病例1537例。其中，香港特别行政区1052例（出院1022例，死亡4例），澳门特别行政区45例（出院44例），台湾地区440例（出院389例，死亡7例）。,,"https://wx1.sinaimg.cn/large/a716fd45ly1gev6cz66x8j20j60wbn59.jpg,https://wx1.sinaimg.cn/large/a716fd45ly1gev6cz8t1vj20j60wbtor.jpg,https://wx3.sinaimg.cn/large/a716fd45ly1gev6czkfzgj20u01ekb29.jpg",,,2020-05-17,微博 weibo.com,4444,794,389,"31省区市新增5例确诊病例,吉林新增3例本土病例",
4505490753737040,J2iQ3fGaQ,【疑点重重！#起底美国去年被关生物研究基地#】位于马里兰州德特里克堡的美国陆军传染病医学研究所储存有致命“特定生物制剂与毒素”。2019年7月，美疾控中心在该机构发现6处违反联邦安全规范，但美国疾控中心以“国家安全”为由拒绝公布更多细节。据报道，该#美国生物研究基地曾多次出现安全事故#，包括生炭疽等致命菌株、毒株丢失事件。起底↓CGTN的微博视频,,,"http://f.video.weibocdn.com/O38kX7sYlx07DjWypnEY01041200JEGv0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1589689636&ssig=w3OuL%2FrTfe&KID=unistore,video",,2020-05-17,微博 weibo.com,5506,746,1150,"起底美国去年被关生物研究基地,美国生物研究基地曾多次出现安全事故",
4505484881305958,J2iGA5tJQ,【#过去那些全球性危机给人类哪些教训#？】在人类历史上，我们曾一起经历多次全球性危机：20世纪三次大流感，08年金融危机，09年H1N1流感……我们应吸取哪些教训抗击新冠疫情？病毒没有国界，疫情不分种族，我们唯有相信科学，相信团结。 人民日报的微博视频 ,,,"http://f.video.weibocdn.com/RsWgWBdplx07DkCjAVJS01041200UEcU0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1589689643&ssig=268APAvP%2Fz&KID=unistore,video",,2020-05-17,专业版微博,2838,382,725,过去那些全球性危机给人类哪些教训,
4505481941212570,J2iBQ55rA,【#黑龙江确诊病例清零#】2020年5月16日0-24时，黑龙江省省内无新增确诊病例，无新增无症状感染者，现有最后1例确诊病例治愈出院。截至5月16日24时，#黑龙江本土及境外输入确诊病例全部清零#。网页链接 ,,https://wx3.sinaimg.cn/large/a716fd45ly1gev4jjzhpej21g70sh7gq.jpg,,,2020-05-17,微博 weibo.com,3401,663,379,"黑龙江确诊病例清零,黑龙江本土及境外输入确诊病例全部清零",
4505472621527208,J2imO6pio,【#武汉卫健委回应集中核酸检测#】#武汉卫健委集中核酸检测十问十答#：①为什么要在全市范围内开展核酸检测？最大限度地摸清无症状感染者底数，实行全流程严格闭环管理，全力阻断可能的传染源；②核酸检测的对象包括哪些？按照“愿检尽检”原则，全市未进行过新冠病毒核酸检测的常住居民和暂住居民均纳入本次检测范围，优先排查曾经的有疫小区、老旧小区、人口密集小区的居民……全文↓↓ 武汉市集中核酸检测十问十答,,,,,2020-05-17,微博 weibo.com,5977,827,670,"武汉卫健委回应集中核酸检测,武汉卫健委集中核酸检测十问十答",
4505462219060453,J2i61C12l,【#全球累计新冠确诊病例超460万#】据新华社，美国约翰斯·霍普金斯大学发布的新冠疫情最新统计数据显示，截至美国东部时间16日15时32分（北京时间17日3时32分），全球累计确诊病例超过460万例。死亡病例为310180例。 ,,https://wx3.sinaimg.cn/large/a716fd45ly1gev2aqx56yj20j60j6767.jpg,,,2020-05-17,专业版微博,2168,409,400,全球累计新冠确诊病例超460万,
4505353235055854,J2fgfldg2,【#你好，明天#】“切断对华关系可省下5000亿美元”，美国总统一语惊人。切断关系是假，打“甩锅”牌是真。全球化势不可挡，无论“断流”还是“逆流”都不可取。今天脱钩明天“退群”，损人不利己，害人必害己。尊重彼此利益，相向而行；照顾双方舒适度，互利共赢，才能越走越宽敞。 ,,https://wx2.sinaimg.cn/large/a716fd45gy1geupndfi77j218y0u0kjl.jpg,,,2020-05-17,微博 weibo.com,6150,1200,1070,你好，明天,
4505351166177478,J2fcUpV2K,【辽宁#抚顺石油三厂火灾明火已被扑灭#】据@抚顺市消防救援支队：2020年5月16日21时33分，抚顺市消防救援支队指挥中心接到报警，抚顺石化公司石油三厂发生火灾，支队指挥中心调派34辆消防车，120名消防指战员到场处置。现场为露天污水缓冲池起火，21时58分明火被扑灭。火灾未造成人员伤亡。火灾原因正在调查中。网页链接,,,,,2020-05-17,微博 weibo.com,2334,616,528,抚顺石油三厂火灾明火已被扑灭,抚顺市消防救援支队
4505346326434782,J2f56qZYO,【#珠峰高程测量队再次出发冲顶#】5月16日，2020珠峰高程测量登山队经过休整后，向5800米过渡营地进发。攻顶队员包括此次登山队队长次落、攀登队长袁复栋、攀登教练李富庆、5名高山向导以及一至两名测绘科技工作者。致敬，一定平安归来！  人民日报的微博视频 ,,,"http://f.video.weibocdn.com/DYh6Nls1lx07Dk0wkq6A01041200YIuR0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1589689586&ssig=lf%2F7lluydu&KID=unistore,video",,2020-05-16,微博视频,5849,689,817,珠峰高程测量队再次出发冲顶,
4505340475018552,J2eVFl3yo,【夜读：你是谁，就会遇到谁】人和人的相遇，真的是一种很奇妙的化学反应。与凤凰同飞，必是俊鸟；与虎狼同行，必是猛兽。想遇到更优秀的人，你必须变成更优秀的自己。让我们将自己打磨成更优秀更自立的人吧。希望往后余生，无论面对爱人、朋友还是工作伙伴，我们都能有底气说出：你很好，我也值得。 【夜读】你是谁，就会遇到谁,,,,,2020-05-16,微博 weibo.com,7759,1327,3647,,
4505328719605434,J2eCHEiOm,【#多地向湖北籍毕业生发放补贴#】5月15日，天津市人社局、天津市教委联合印发通知，明确天津高校对湖北籍应届毕业生每人一次性发放求职补贴3000元。目前，广东、河北、安徽、北京、江西、浙江、山东、辽宁、山西、重庆等地已开始为湖北籍高校毕业生发放求职创业补贴，金额从800元到2000元不等。网页链接,,https://wx2.sinaimg.cn/large/a716fd45ly1geumyn70zzj20ob0obk0y.jpg,,,2020-05-16,微博 weibo.com,5382,917,346,多地向湖北籍毕业生发放补贴,
